"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26963076739457,0.266232741205427,0.0223712817773397,0.881819559398968,0.405069529711617,0.527936279631298,-0.590506774509855,0.691090196020288,-0.703681115506152,2.63975344339903,1.33648649398261,1.10563329426691,-0.223697700247906,0.517094784819638,-0.636450728424139,0.824077093323175,0.607802615968066,0.527936279631298,-0.0977363009286183,0.792815518325995,0.079536679755497,0.974061232522883
"PTHR10003_SF33",9.85929297697503,0.00309031506137211,0.0466655618808387,0.830016244638774,0.0150289235211794,0.903014527226708,1.44006499989197,-0.0644058452441052,-0.0721409695980877,1.4049804936492,0.711330620201158,0.588461477513565,1.02497152551324,-0.0905427707103228,-0.122592510053345,0.311244016023316,0.928286345244598,0.903014527226708,-0.018913051441249,0.970256602477299,-0.0139696895279093,0.963271764788352
"PTHR10010",61.6609841824722,9.00231295100243e-10,2.16799704142942,0.148364347601117,0.136881023683095,0.713260747647459,5.21734372735892,-1.020545363644,0.226905698655384,1.46428643026364,0.741356751428067,0.613301152685718,3.56306226673121,-1.37659144761026,0.3699743554398,0.000928854049715495,0.175933251843992,0.713260747647459,0.0569954818046899,0.891630051459752,-0.207777023511404,0.590387848510568
"PTHR10015_SF142",20.6860857741739,4.5489710755168e-05,6.20431861756074,0.0167819638736849,0.253925394884491,0.616957708288197,0.571234911425911,0.680013724134932,0.175306153521076,0.830608458286951,0.420530557148863,0.34789172006885,0.68773066988028,1.61703760303491,0.503910105955905,0.495403135331173,0.113357435866137,0.616957708288197,0.0775210305779599,0.84286859052706,0.24209208588088,0.170258397033764
"PTHR10024_SF10",58.2098459526241,1.85327939394649e-09,5.0202929418039,0.0303983595064588,1.16375504598016,0.286844797764021,2.20463958244502,-0.608630254650651,0.224475377984225,0.496809829395914,0.251530925634661,0.208083633595682,4.43759251930606,-2.4197034742943,1.07877478927724,6.45731928257164e-05,0.0199407934002288,0.286844797764021,0.164199253710135,0.611985411407316,-0.349782958735466,0.259235699393589
"PTHR10024_SF173",3.52299237656461,0.0674811619171073,21.5633859490503,3.35612540206616e-05,11.6553269724541,0.00142973154995238,2.18001821688895,1.39765376237425,2.7115575117129,1.89630786470272,0.960085820115387,0.79424884041285,1.14961196832388,1.45575919682501,3.41398989050263,0.256808098472496,0.152893973341577,0.00142973154995238,0.466074999585269,0.0268907043573236,0.219167198615944,0.00135701594816107
"PTHR10024_SF185",8.27066422226025,0.00630290484291772,21.7515942466953,3.14606571230455e-05,21.3060582590031,3.66747342262347e-05,2.19498453645182,0.325027790044949,1.73742987517964,0.898686021658827,0.454997694304143,0.376405299943034,2.44243760729719,0.714350411252158,4.61584859576255,0.0188772661482098,0.478962163180631,3.66747342262347e-05,0.58013480093421,0.0143427540773803,0.109563079874713,0.00132231068050841
"PTHR10024_SF188",9.98725254553923,0.00292177086847821,22.6665211452525,2.30464465738475e-05,15.470109649788,0.000308306388957667,1.82144831413171,0.582028975558281,1.55259423973589,0.942461311826737,0.477160780870383,0.394740125264264,1.93265048790307,1.21977538576538,3.93320602686765,0.0600412283757226,0.229355474080817,0.000308306388957667,0.518830720373136,0.0143427540773803,0.18496769597526,0.00122375892779646
"PTHR10025_SF29",3.165712796044,0.0824371200579721,0.898593777666705,0.34858166435862,5.18891504372363,0.0278839891425198,-1.96504788097602,0.849679168970552,-2.29140638948446,2.40168528104268,1.21595444791893,1.00592091875535,-0.818195413232036,0.698775493131961,-2.27791901605909,0.417863593427284,0.488543929004115,0.0278839891425198,-0.331602872509553,0.166214401270679,0.107202040879137,0.810760225588612
"PTHR10025_SF30",5.83742621846237,0.0201153867575826,1.81797876059809,0.184780777698244,4.26375601796404,0.0451431538562429,-0.400450272463443,0.2099822487692,-1.41427599502428,1.63527295460751,0.827925889545889,0.684917081309012,-0.244882832150525,0.253624450473911,-2.06488644190523,0.807739686955685,0.801023172595321,0.0451431538562429,-0.303581797592153,0.215963589702514,0.0391051679157228,0.657508264121051
"PTHR10026_SF45",6.51213966563211,0.014442005226994,0.0341037936328259,0.854375058554575,0.627497831051181,0.43272619638983,2.2697213009735,-0.472331198511913,0.481801709127207,1.45216002904273,0.735217249463257,0.608222135566523,1.56299667776265,-0.642437590870912,0.792147606858205,0.125557752793846,0.524080691280526,0.43272619638983,0.121328043407774,0.731090731308331,-0.098646765784056,0.971341668834197
"PTHR10026_SF60",1.936333955219,0.171393917387958,2.34334846410838,0.133316887210576,0.855438477130428,0.360302225581166,1.22969932737606,-0.862494428441965,-1.08857960668121,2.81007596573979,1.42271945308668,1.17697111255231,0.437603588788506,-0.6062294478161,-0.924899171331896,0.663915846416136,0.547625186995183,0.360302225581166,-0.141283491464464,0.67536364178645,-0.0931366337257806,0.5626355106766
"PTHR10029_SF5",20.7980121806214,4.37470546069864e-05,0.510177503769178,0.479013126543908,0.500785076267597,0.483064019979584,3.69266858489834,-0.778615821597151,0.455586605693472,1.53708369255465,0.778213435181668,0.643791529399377,2.40238615684036,-1.00051706433902,0.707661696199248,0.0207869519627449,0.322790072236898,0.483064019979584,0.108549346408726,0.764866835134743,-0.152575586758185,0.897744127940474
"PTHR10030",190.514437648935,3.32374399172885e-17,0.344779086436456,0.560227035761918,19.7037477756023,6.43091856169174e-05,0.599079442809528,0.613137453143594,-0.962085954369808,0.517477786022715,0.261994950204459,0.216740192422491,1.15769112992076,2.34026439313088,-4.43889037661467,0.253531461059591,0.0240954777163835,6.43091856169174e-05,-0.565091335327812,0.0143427540773803,0.33964406817446,0.929740150655385
"PTHR10031_SF3",16.4342516695681,0.000213294755460814,0.00994612442570892,0.921032997999436,0.318601761379857,0.575451430786992,1.71399385049643,0.266249644744231,-0.447018392748834,1.89083469802737,0.957314798693211,0.791956461434627,0.906474718432329,0.278121308797981,-0.564448191936034,0.369856025282453,0.782283875328443,0.575451430786992,-0.0867677690848608,0.821433186135779,0.0428755857901417,0.979132651669608
"PTHR10032_SF11",93.4686317896071,3.04513083343779e-12,3.62421256611839,0.063811379589527,0.0577366247949977,0.811278721864135,0.723254953392934,0.294103945787913,-0.0358689736815236,0.356406414036517,0.180445776070373,0.149277122313988,2.02929836531738,1.62987437108649,-0.240284466403881,0.0487964537840989,0.11060622513384,0.811278721864135,-0.0370512400282553,0.931882177257975,0.243900020168485,0.406242770524367
"PTHR10032_SF206",36.8561355005905,3.14019322919484e-07,0.00677105834121995,0.934809850257533,0.0823376225068012,0.775565089579004,1.30317263811457,-0.071861051596194,0.0697206929254365,0.580115928464017,0.293708151143849,0.242975527372926,2.2464003730513,-0.244668223596555,0.286945330170751,0.0299948254749508,0.80790476586006,0.775565089579004,0.0442332890274162,0.920355114945525,-0.0377262505180762,0.980561075514734
"PTHR10032_SF26",5.92099915084374,0.0192979209791391,4.65976321646969,0.0366393048577191,13.3428483499995,0.000713814529487757,-1.73173739273652,0.48008268020944,-2.32265665456726,1.51814410308292,0.768624469366005,0.635858879192197,-1.14069368594184,0.624599787468949,-3.65278638165435,0.260460296478603,0.535612320536065,0.000713814529487757,-0.491013600034753,0.0178194063452125,0.0959333221049311,0.294760345134658
"PTHR10032_SF71",7.7201533329227,0.0081308075824726,0.461139353200806,0.500817244716659,4.12529022985352,0.0486075104908746,-1.39430206211127,1.18455903036225,-1.1015458208396,1.29487417634426,0.655584654096557,0.542344590868002,-1.07678575075744,1.8068742502746,-2.03108104955305,0.287722321607861,0.0779494040779181,0.0486075104908746,-0.299059565635073,0.226230887810071,0.268563910545317,0.903972932071831
"PTHR10033",1068.09936653462,1.7035485513409e-31,0.265401885351385,0.60913403773394,4.78333913202047,0.0343560574169986,1.6425147517279,0.17201509845927,-0.175057850330673,0.191103332970839,0.0967541207718692,0.0800416448385689,8.59490374235666,1.77785811174755,-2.18708461930957,8.40790383881637e-11,0.0826679957330898,0.0343560574169986,-0.319756939412066,0.18595611103892,0.264555249190507,0.934954946022222
"PTHR10036_SF6",8.02242448178881,0.00706616679615806,2.73563800989964,0.105588266323975,6.55864003135672,0.0141200772427283,2.1151879773467,-0.159515126678899,1.02795271813573,0.95833753480788,0.485198788223991,0.401389716255063,2.20714299557383,-0.328762417694373,2.56098419193808,0.032822139136352,0.74396896790411,0.0141200772427283,0.367513790588588,0.116554304935466,-0.0506639937558737,0.507849032353969
"PTHR10037_SF133",95.7089379648277,2.15046526867278e-12,0.730755098757696,0.397488660232536,7.22467374453249,0.0102632113786132,0.920293964007217,0.341379123378047,-0.737457255398805,0.655058354074517,0.331650914285304,0.274364383447832,1.40490378953709,1.02933267684097,-2.68787532161231,0.167403220582633,0.309214932584534,0.0102632113786132,-0.383104891145839,0.0960776537920628,0.156863224715428,0.854517636481115
"PTHR10037_SF137",21.823553050791,3.06944407496578e-05,0.358383428108819,0.5526206445373,0.547052181841961,0.46363890616509,0.473384554586993,0.355214784655516,-0.233488551017285,0.753708598045218,0.38159676018414,0.315683012842673,0.62807370887733,0.930864257034328,-0.739629759975869,0.533356184635387,0.357243786113132,0.46363890616509,-0.113391275169012,0.750089809306366,0.142176330209435,0.925591657513029
"PTHR10037_SF161",11.7607918464046,0.00136789522373738,0.00376572753329083,0.951359202915468,0.38606013560888,0.537735617814487,0.654887106041987,0.178449502742631,-0.266834168156002,1.02533602766246,0.519119600427586,0.429451338658079,0.63870486199045,0.343754122548342,-0.621337376639197,0.526482842939873,0.732746224805254,0.537735617814487,-0.0954368187835543,0.802221300173079,0.0529679524071913,0.987078369228605
"PTHR10037_SF188",16.6633608903216,0.000195619571304965,3.83340753677578,0.0569058976791466,3.31317998470462,0.0758574776571281,1.54317339185972,0.156724039586662,0.631121118094987,0.827832466217565,0.419125094105557,0.346729024642044,1.8641131567485,0.373931415204624,1.8202142688993,0.0693055535857045,0.710336455561822,0.0758574776571281,0.27040221447858,0.291471035885924,0.0576030647954779,0.381751453648868
"PTHR10037_SF189",1.20719371018737,0.278147259815697,0.844259920896316,0.36342826264938,4.78053214585648,0.0344061694939346,-2.61505020261203,0.8976582538545,-2.44617940464964,2.67117561066327,1.35239529117173,1.11879414244848,-0.978988499360659,0.66375434735266,-2.18644280644532,0.333191357898121,0.510474892660148,0.0344061694939346,-0.319672695130963,0.185982955571544,0.101886530908516,0.822958226417151
"PTHR10037_SF200",8.44434546871431,0.00582133744426847,7.10674206650732,0.0108541139979112,13.0861653812997,0.000792002908389324,3.19298796635676,-0.129461103114902,1.85861047668273,1.22668889976053,0.621062982585721,0.51378589643452,2.6029321427626,-0.208450844350611,3.61748052949835,0.0127184839566372,0.835884584158332,0.000792002908389324,0.48739933405592,0.0184308473426871,-0.0321480382576318,0.1241891543261
"PTHR10037_SF22",18.9761183561691,8.34434072766849e-05,0.368937905905348,0.546853929288822,0.95775280279673,0.333357424368922,0.654888381517812,0.0526098742541545,-0.294209169704325,0.717764121003065,0.363398352972954,0.300628042211914,0.91240055382347,0.144771911660452,-0.978648457208578,0.366765600582232,0.885583461752066,0.333357424368922,-0.14931585949831,0.653856776655044,0.0223332192654405,0.924668035607823
"PTHR10037_SF28",13.7653348722731,0.000602339112645452,0.46527795895218,0.498912324330366,0.281003363231112,0.598835840948399,1.3001816754369,-0.116820587615843,-0.261621306830424,1.17833725430972,0.596582923181525,0.493534312266051,1.10340369082072,-0.195816177561451,-0.530097503513374,0.276134022759113,0.84569838334544,0.598835840948399,-0.0815235562692578,0.831844463546265,-0.0302013091498936,0.90322626914382
"PTHR10044_SF79",32.8032390022294,9.78985336744602e-07,2.18599695779511,0.146732001932835,0.333317444548164,0.566794342309784,2.50591709628601,-0.472985080186801,-0.287933487074624,1.19073580225466,0.602860210901271,0.498727315212127,2.10451142187969,-0.78456841508862,-0.577336508934057,0.0413586280473133,0.437109665729918,0.566794342309784,-0.088733552715857,0.817958830869997,-0.120184035844511,0.587879477668563
"PTHR10046",142.472601247092,4.41196214298905e-15,0.154965850633241,0.695825704001453,0.000334996496941712,0.985483880738268,1.90127247726667,0.0764392103559407,0.0039340859871305,0.513187384836537,0.259822753686094,0.214943202476683,3.70483089305142,0.294197522239685,0.0183029095212131,0.000611952525694903,0.770056101595664,0.985483880738268,0.00282418899018182,0.995147856033568,0.0453489604772206,0.952010601127363
"PTHR10048_SF15",8.17659682550988,0.00658126616654536,6.64567045810413,0.0135380290221484,12.000702108618,0.00123751749831284,-0.708197604715784,0.0999077529785382,-1.58906022626548,1.09518953829745,0.554485885773055,0.458708755585633,-0.646643873001864,0.18018087663178,-3.46420295430536,0.521380781329679,0.85787713993393,0.00123751749831284,-0.471415246641754,0.0243891606485674,0.0277917736995308,0.145595669823052
