"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.27328926566671,0.26555509433712,0.023176985961673,0.879726722183585,0.420014525809426,0.520457288365219,-0.633798497525956,0.718062085175942,-0.717009523433243,2.65542456340842,1.342450187725,1.10635058265857,-0.2386806638229,0.534889183778813,-0.648085276649166,0.812513999146224,0.595547198361742,0.520457288365219,-0.099505422650409,0.796586626892434,0.0822555037876125,0.982983639778067
"PTHR10003_SF33",9.70191740678492,0.00331185380788444,0.129874815189284,0.720368006936974,0.0284400153436647,0.866888040907157,1.47639675638742,-0.119398680563151,-0.0998839497188111,1.42158225443903,0.71868106917285,0.592285082080037,1.03855879726778,-0.166135836443515,-0.168641677362581,0.30495226150195,0.868847253526862,0.866888040907157,-0.0260131699298658,0.954978381466881,-0.0256268968883374,0.962604180799615
"PTHR10010",61.5916470406111,9.13163298160802e-10,2.11725728964837,0.153081055357309,0.16222560091328,0.689158545995183,5.23759851592245,-1.02138678389891,0.247311433017994,1.47375637771748,0.745057703084694,0.614022800591882,3.55391067011653,-1.37088279158803,0.402772393434902,0.000953992780532892,0.177693180036837,0.689158545995183,0.0620294502142233,0.881849838813176,-0.206952359559463,0.622895226675503
"PTHR10015_SF142",20.6776822072916,4.56234626279796e-05,6.13907122421626,0.0173284040471302,0.182117391196836,0.671739492978841,0.542393543036749,0.683286969339126,0.148746407739246,0.836588663741878,0.42293749337294,0.34855456574837,0.648339580183578,1.6155743580213,0.426752142580252,0.520294449300123,0.113674558706573,0.671739492978841,0.0657069823427853,0.873293224732528,0.241885841415626,0.181268267146182
"PTHR10024_SF10",58.1331823407851,1.88378807808224e-09,4.84901659876113,0.0332058814832825,1.26407563959355,0.267265924395541,2.21405206713674,-0.608727344971779,0.234311621288733,0.500205540045197,0.252878967223547,0.208404598761305,4.42628457680954,-2.40718851257273,1.12431118450078,6.69188177574186e-05,0.0205491079812952,0.267265924395541,0.17093178047319,0.598474803815331,-0.348193680005268,0.2857488539509
"PTHR10024_SF173",3.41446120572229,0.0716779937730739,20.3549090484364,5.10866564993093e-05,10.5747851882028,0.00226380836293817,2.19185874971431,1.3156085597964,2.62537033853787,1.93774219649826,0.979625786135218,0.807336889806499,1.13114053751592,1.34297052855937,3.25188947970296,0.264413622108382,0.186494328919605,0.00226380836293817,0.448484071974934,0.0396358311680531,0.202913867944737,0.00210123884288177
"PTHR10024_SF185",7.92460768717391,0.0073934399477036,20.1578416898039,5.4756667620356e-05,19.5965744637031,6.68097236525342e-05,2.22942331213153,0.264470183110594,1.70099028072106,0.92225910274806,0.466248193481367,0.384248119772532,2.41735029287161,0.567230472542652,4.42680183244102,0.0200539164302449,0.573577102304479,6.68097236525342e-05,0.564042463475587,0.0219463482038149,0.0871922215303968,0.00210123884288177
"PTHR10024_SF188",9.659058011786,0.00337506123687935,21.4017989048646,3.5482301223745e-05,14.1530137086476,0.000516140617244066,1.83385364508638,0.536461993940165,1.51089086439,0.963939619711486,0.487319783536333,0.401613803913379,1.90245696679142,1.10084181283843,3.76204913692626,0.0639827973554062,0.277234805545896,0.000516140617244066,0.502039546791177,0.0219463482038149,0.167464776182563,0.00204409944535409
"PTHR10025_SF29",3.09049145626036,0.0860372762149408,1.35632242679855,0.250748432681806,5.13216659589764,0.0287040897035508,-1.78374168267754,0.701168334321476,-2.27835944160409,2.41386549892837,1.22032997541452,1.00570791503523,-0.738956534019575,0.574572737249453,-2.26542856782059,0.464043287714217,0.568645310875827,0.0287040897035508,-0.329983079178345,0.178086034016625,0.0883120964505125,0.747291957572029
"PTHR10025_SF30",5.85250604687188,0.0199651721261452,1.80244523029517,0.186628869643694,4.26408390173496,0.0451352781743406,-0.455523435044334,0.25724690938401,-1.41564844125638,1.64544641482114,0.831855620719555,0.685555381559832,-0.276838814647058,0.309244660944278,-2.06496583548856,0.783261807841072,0.758664403549192,0.0451352781743406,-0.303592394302228,0.223742839963258,0.0476632543675149,0.679336546762939
"PTHR10026_SF45",6.42313510672269,0.0150803444552417,0.0936230103218327,0.761132391487006,0.582709334840728,0.449519107437637,2.3306300686923,-0.538707224280591,0.466352222403602,1.46632170229727,0.74129910208692,0.610925232844571,1.58943979690196,-0.726706969918096,0.76335400361872,0.119461452068185,0.471436576658299,0.449519107437637,0.116979387390617,0.746356847466632,-0.111434923670136,0.962604180799615
"PTHR10026_SF60",1.88725205994383,0.176800486221011,2.95421230711091,0.0930179436148185,0.87627457980205,0.354575642222786,1.38545447552166,-1.01359015350421,-1.10566098175798,2.83493480951244,1.43320161290259,1.18114135928505,0.488707701804239,-0.707220913219206,-0.936095390332658,0.627590872603297,0.483335022805546,0.354575642222786,-0.142959027411506,0.675475589518005,-0.108482529949328,0.506754467049284
"PTHR10029_SF5",20.2815098772261,5.2422407783368e-05,0.107766045805099,0.74433301490433,0.549059737516038,0.462825089902794,3.49796930008673,-0.581465289795126,0.486895301612745,1.57712815213639,0.797317315308812,0.657091402289234,2.21793599673455,-0.729277138011127,0.740985652705933,0.032022161568696,0.469879780461163,0.462825089902794,0.113596464627232,0.755289601689709,-0.111824119482295,0.962604180799615
"PTHR10030",190.951499808389,3.19459148032723e-17,0.32729402949998,0.5703064691001,19.8359224523939,6.13601199075844e-05,0.563792883323354,0.641685342718547,-0.965053385976267,0.520075430592369,0.262924192632206,0.216683148748057,1.08405983086183,2.44057169594954,-4.45375374851304,0.284522245480237,0.0189625800893316,6.13601199075844e-05,-0.566377221928321,0.0219463482038149,0.352426314038025,0.924635275169105
"PTHR10031_SF3",16.0657426353015,0.000245339552090248,0.07514948095553,0.785325412339623,0.455492994351389,0.50343647822338,1.67693714637822,0.22060590531031,-0.541116796180216,1.92438234145194,0.972871709908744,0.801770667508788,0.871415783784931,0.226757447116026,-0.674902210954587,0.388481267784099,0.821712427569065,0.50343647822338,-0.103579523009889,0.783487228969343,0.0349680352744844,0.964198183967911
"PTHR10032_SF11",93.3689447682925,3.09305059876831e-12,3.54849944520056,0.0665348545181945,0.0870941133980901,0.769358399724762,0.714014507200199,0.29537363656233,-0.0441125549337893,0.358764126260032,0.181373244521238,0.149474741476107,1.99020597361143,1.62854029182757,-0.295117118104135,0.0531032649284393,0.110889581221105,0.769358399724762,-0.0454904183375111,0.917552844134296,0.243712246041588,0.424918112626246
"PTHR10032_SF206",36.8523403069456,3.14344737402538e-07,0.00555526260142747,0.940939650706025,0.0807791021826078,0.777640932210475,1.30158947114858,-0.0709700112011637,0.069118604642634,0.583695910416407,0.295087533387519,0.243189853510928,2.22991021167174,-0.240504945723896,0.2842166465614,0.0311549318659982,0.811108942746415,0.777640932210475,0.0438134674360223,0.921483318581498,-0.037085190630677,0.990386583643408
"PTHR10032_SF26",5.90164498440497,0.0194840006308702,4.59673705840664,0.0378669335590608,13.1228437722961,0.000780298028745242,-1.79440441743877,0.544774897483386,-2.31109217525151,1.53124430767525,0.774120732562988,0.637974452497584,-1.17186030239881,0.703733764731665,-3.62254658662882,0.247857953066058,0.485482007799714,0.000780298028745242,-0.487919496270123,0.0231324936413402,0.107953875851214,0.311065943272443
"PTHR10032_SF71",7.77995434143204,0.00790734915067871,0.476691675540983,0.493722715701747,4.29448191285159,0.0444116115174448,-1.46102125925943,1.22600941239668,-1.12222824048207,1.29977148137603,0.657099619103161,0.541534094230708,-1.12406009840491,1.86578926049294,-2.07231317923995,0.267371207533882,0.0690652401994201,0.0444116115174448,-0.304572560844686,0.22270482862874,0.276660257514754,0.898433125612009
"PTHR10033",1076.76137552092,1.44678409676593e-31,0.316459071636826,0.576733955054736,4.9984514507473,0.0307416113141821,1.62868153641157,0.18140791007762,-0.178385126315494,0.191505874445571,0.096815816439503,0.0797886103393734,8.50460353306013,1.87374250147418,-2.23572168454558,1.11840511781944e-10,0.0679345786639636,0.0307416113141821,-0.326118897011453,0.181806476708839,0.277748769493382,0.924635275169105
"PTHR10036_SF6",7.96418008499139,0.00725913585212045,2.63866073535497,0.111773717803203,6.33039834978194,0.0157777581254327,2.13502547364644,-0.188527311391003,1.01402524521274,0.9673295325167,0.489033554337597,0.40302617015375,2.20713355881087,-0.385509971082384,2.51602828874835,0.0328228462769637,0.701805317710836,0.0157777581254327,0.361913957547947,0.128068647694643,-0.0593805131209143,0.543229040130647
"PTHR10037_SF133",95.4961146561815,2.22216607858511e-12,0.727310180672749,0.398593870936267,7.15035049951285,0.0106314831508992,0.902661153437441,0.359000297693343,-0.734902884236781,0.659640763690925,0.333481462531664,0.274831359667041,1.36841323811878,1.07652249983537,-2.67401393031391,0.178458716860188,0.287838603075376,0.0106314831508992,-0.38141727213932,0.106293541850787,0.163865649664355,0.848286381589995
"PTHR10037_SF137",21.8056676910478,3.0883034406439e-05,0.33082236077402,0.568243988310417,0.580959158642752,0.450196036931342,0.464276424442319,0.357114516625641,-0.240834221282072,0.758379519333426,0.383398851590485,0.31596967003043,0.612195362093102,0.931443887075282,-0.762206768956267,0.543708819579541,0.356947501595535,0.450196036931342,-0.116805981036804,0.746356847466632,0.142263069289436,0.924635275169105
