"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2416489384868,0.271489591470343,0.0189855978361114,0.891066256837239,0.42056838916901,0.520183774769476,-0.611071087680051,0.70262997782436,-0.724110797804898,2.64547090710928,1.33322013087688,1.11657194127789,-0.230987642327835,0.527017228101879,-0.648512443341691,0.818445970167104,0.600954401318449,0.520183774769476,-0.0995703587502672,0.793496216560828,0.0810529626631091,0.97987918184099
"PTHR10003_SF33",9.04246775863448,0.00444074465294046,0.160868131475649,0.690391824892459,0.00726543771266249,0.932477580616263,1.55984420393202,-0.177058902838591,-0.0508090609368105,1.4122986893156,0.711746645312403,0.596087859048299,1.10447189091985,-0.248766754300438,-0.0852375369931727,0.275675954014285,0.804753677624762,0.932477580616263,-0.0131513000503322,0.978475312511331,-0.0383572951721728,0.937834164004701
"PTHR10010",64.8017265566658,4.76573935718601e-10,2.01531072310363,0.163099461791315,0.0483755870237311,0.826979932891221,5.04825665097679,-0.890535577182587,0.134423116135156,1.44802851595459,0.729753165066538,0.611168320445405,3.48629643363673,-1.22032437790302,0.219944508964718,0.00116100899472811,0.229149540950962,0.826979932891221,0.0339186464172943,0.941325593163661,-0.185048095493634,0.63334596362771
"PTHR10015_SF142",19.0394600199246,8.15613367743197e-05,5.79547223960164,0.0205397391104636,0.445095655020498,0.508322256307672,0.698848863223523,0.575310249807436,0.230957700848548,0.820204315335324,0.413352836993408,0.346183026302558,0.852042412063892,1.3918139621154,0.667154895822925,0.399023038502169,0.171306118874671,0.508322256307672,0.102403056385071,0.783800124242152,0.209973876747875,0.209680804034708
"PTHR10024_SF10",57.2853202489605,2.25855350093155e-09,4.73689864306212,0.0351954420291872,1.16962921774873,0.28564817931504,2.19026208547489,-0.592387910540803,0.227761569750587,0.498967917973865,0.251461496369804,0.210599018613381,4.38958499449982,-2.3557797877319,1.08149397490172,7.51211545666058e-05,0.0232275453807897,0.28564817931504,0.164601938300809,0.610836080293162,-0.341633781336114,0.296064349823163
"PTHR10024_SF173",3.39831408350373,0.0723268084333601,19.7205965942786,6.39251115184142e-05,10.7632431211456,0.00208759389308737,2.35729093154021,1.2018571649798,2.68064562416343,1.93590530324802,0.975625139110615,0.817086113768594,1.21766851280649,1.23188417026177,3.28073819759298,0.230147052320559,0.224844947170844,0.00208759389308737,0.45165397230792,0.0351945808614689,0.18674015412563,0.00243309120418599
"PTHR10024_SF185",7.65520328533843,0.00838115315520813,19.9655613313315,5.86054534918064e-05,20.7157346097454,4.50210997717474e-05,2.32922416225477,0.195579423105912,1.75446947127331,0.913296779204248,0.460268018154329,0.385474493398693,2.55034750509491,0.424925077110905,4.55145412036037,0.0144972449574322,0.673060427681264,4.50210997717474e-05,0.574727413172446,0.0188596808784297,0.0654268760532781,0.00243309120418599
"PTHR10024_SF188",9.40216234541514,0.00378174557146974,20.8401383068139,4.31094635627102e-05,14.679260291259,0.000419381954035233,1.93282506244914,0.468287576363823,1.55310505758969,0.960428475769593,0.484020661396194,0.40536733356876,2.01246122039475,0.967495013566183,3.8313522797126,0.0506127145160104,0.338835103610709,0.000419381954035233,0.508908844679548,0.0188596808784297,0.147651447367478,0.00236962916254337
"PTHR10025_SF29",2.6497323363115,0.111047106813461,1.22727655883468,0.274241490748595,4.84601090587183,0.033257595626599,-1.81056968744733,0.718889823910776,-2.23273273173337,2.40303903366565,1.21104337468098,1.01424890047969,-0.753449969843164,0.593611953907225,-2.20136569108175,0.455382691935487,0.555955364943702,0.033257595626599,-0.321629507713448,0.184345990492321,0.0912144728424222,0.757831241326134
"PTHR10025_SF30",5.88774149927669,0.0196188658941234,1.85914268764662,0.179988132239559,4.47618560467945,0.0403417145083176,-0.492743128944941,0.283260442284784,-1.45978022923967,1.63474385696631,0.82385083618868,0.6899751257743,-0.30141916536047,0.343824913251543,-2.1156997907736,0.764582239283788,0.732693369038335,0.0403417145083176,-0.310340749318538,0.204629695439818,0.0529788297032323,0.652356629160864
"PTHR10026_SF45",6.37964939784104,0.0154031645073431,0.0913051595598947,0.764015755449888,0.56131855401334,0.457905334004965,2.31515295959976,-0.52807495026109,0.461918888993158,1.46075473528043,0.736166711989156,0.616539666385969,1.58490190288879,-0.717330655761665,0.749211955332628,0.120490227090736,0.477140891203673,0.457905334004965,0.114841051921605,0.752008638667006,-0.110014652198969,0.954167077421888
"PTHR10026_SF60",1.87650663782945,0.178011033795741,2.87734915580167,0.097234916900203,0.934948875390713,0.339115390475992,1.27160376117983,-0.935187317609196,-1.15265059878493,2.82435984398235,1.42337358188986,1.19207546202375,0.450227248446809,-0.657021690937607,-0.966927544023187,0.654862053377856,0.514751366055346,0.339115390475992,-0.147566731044855,0.669802497137245,-0.100863632974008,0.515078836200162
"PTHR10029_SF5",19.9284877294747,5.93796917132407e-05,0.156327378068625,0.694561713106678,0.556490984783156,0.459832643894049,3.55892852755349,-0.62322339784741,0.49540891919001,1.57344307155347,0.792957492802693,0.664101948796116,2.26187308069541,-0.785948053337183,0.745983233580458,0.0289414378919927,0.436309777451056,0.459832643894049,0.114352630984196,0.753373931146984,-0.120392315020441,0.938663704276557
"PTHR10030",186.025712045233,5.01543815473135e-17,0.46172789248119,0.500545587785019,18.1940820848704,0.000110837506750187,0.655708181556686,0.578195701687866,-0.912628977012989,0.506927041533958,0.255472602190676,0.213958319984067,1.29349615986655,2.26323956749116,-4.26545215479794,0.202908480048754,0.0288500111595216,0.000110837506750187,-0.549779037705547,0.0188596808784297,0.329698903086471,0.887310961243688
"PTHR10031_SF3",14.8696858229792,0.000389253296474507,0.162654268621667,0.688770345463367,0.314596619333501,0.577853410916143,1.91379396636691,0.057661712632216,-0.455872668595757,1.92567418901631,0.970469033474237,0.812767874982282,0.993830616457778,0.0594163344149062,-0.560889132835983,0.325996817015447,0.952902318495743,0.577853410916143,-0.08622474588286,0.827248838239594,0.00916775415400102,0.936570921558788
"PTHR10031_SF4",1.73310492183326,0.195154041925441,2.28411000610431,0.138193259526774,1.19784910894404,0.279989115897313,0.750913375980792,-0.679517907389285,-1.43640470724276,3.10951060521953,1.56707908785276,1.31242883207059,0.241489247446313,-0.433620684914104,-1.09446293173595,0.810351097971621,0.666783081698858,0.279989115897313,-0.166521377770379,0.606071272184754,-0.066759854880953,0.594787302391191
"PTHR10032_SF11",95.0280574400621,2.3888120076354e-12,3.5519215183182,0.0664090187959072,0.163001125517625,0.688456668920879,0.703857717205707,0.30252915580633,-0.0604259096250061,0.354604444771139,0.178707610428382,0.149667634680786,1.98490946062443,1.69287225698522,-0.403733978651321,0.0537113850968105,0.0978860514873337,0.688456668920879,-0.0621769684764589,0.880645787212553,0.252735588143718,0.421830290400245
"PTHR10032_SF206",36.2648560473049,3.69243310884995e-07,0.00620437436262416,0.93759136963856,0.0725100847422426,0.789035063180589,1.29863016150153,-0.0689078988057466,0.0660765453060365,0.581385775646358,0.292997068239986,0.245385062598985,2.23368065731876,-0.235182895240801,0.269276966601755,0.0308862132618999,0.815209715871723,0.789035063180589,0.041514517501568,0.9269610033622,-0.0362656368220579,0.986982908464878
"PTHR10032_SF26",5.93946919494038,0.0191221231395536,4.64795091059508,0.0368660466677714,13.7106799324758,0.000615662256812107,-1.86504491788268,0.593834961203985,-2.3713825329888,1.51735919247991,0.764693278519484,0.640430667602559,-1.22913870830711,0.776566210119832,-3.70279353090012,0.225861834461883,0.441766414862663,0.000615662256812107,-0.496089764766153,0.0189502708289969,0.118975658676262,0.304444608965763
"PTHR10032_SF71",7.74147773049262,0.00805036217442691,0.427863573631248,0.51660498723917,4.41944864649867,0.0415670210492254,-1.44668606853147,1.2165585322139,-1.14799012744092,1.29380965295777,0.652032524799517,0.546077279460874,-1.11815989718752,1.86579424483152,-2.10224847401507,0.269853732981655,0.0690645266227057,0.0415670210492254,-0.308556043450774,0.207223075488347,0.276660940025128,0.896622036079847
"PTHR10033",1053.3188719231,2.25793438851994e-31,0.255747711544341,0.615700707297887,5.1051873424417,0.0291031045665764,1.63307870738815,0.178451690214233,-0.181978622873312,0.190823040748458,0.096167800854396,0.0805405391064667,8.5580792601501,1.85562827296446,-2.25946616315485,9.44435434490758e-11,0.0705330267727507,0.0291031045665764,-0.329208829183143,0.171619613721337,0.275268034117082,0.919364929713836
"PTHR10036_SF6",8.88208589961995,0.00477294057571087,2.73373864027288,0.105705617009296,5.75092354525857,0.0210009082144161,2.07720783398567,-0.14842034560534,0.968259096748807,0.956619145794638,0.482100899060455,0.40375953249498,2.17140524849123,-0.307861582284103,2.39810832642284,0.0355989441282481,0.759709268798233,0.0210009082144161,0.347038701080989,0.144132922424278,-0.0474505642923142,0.528360825036571
"PTHR10037_SF133",94.5579219245938,2.5694286176953e-12,0.714490386824152,0.402746919859079,7.50252382134625,0.00900259429836939,0.876536659918179,0.377139116850004,-0.75684381591479,0.654664595761622,0.329926900990001,0.276313799789318,1.33890952037575,1.14309901895946,-2.73907353339523,0.187802174464338,0.259471621393359,0.00900259429836939,-0.389305035163863,0.0928363975489209,0.17370264429546,0.835494830620485
"PTHR10037_SF137",21.4758762772124,3.45876651045566e-05,0.319712271705104,0.574788970419426,0.608425067505243,0.439755228134122,0.465077209385545,0.356671068666337,-0.248631127044336,0.755210864099976,0.380598525717759,0.318751288602785,0.615824310128008,0.937132029068432,-0.780016068748102,0.541333651727166,0.354048455362609,0.439755228134122,-0.11949667154469,0.740063930348904,0.143114100490276,0.913226792539022
"PTHR10037_SF161",10.6581416512943,0.002184000368226,0.0117517010211292,0.914190476916766,0.224408309536001,0.638154636913674,0.744964195595645,0.115902457120119,-0.203138605479171,1.01598963973544,0.512021446471985,0.428817992784967,0.733239952908996,0.226362504771488,-0.47371754193401,0.467485210618914,0.822017557253287,0.638154636913674,-0.0729017042082361,0.856835537964892,0.0349072058938074,0.984456906364384
