"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.29733582377423,0.261155394772556,0.00775436059101631,0.930248442686915,1.00059974656015,0.322893920098912,-1.49587510858436,0.992777220743407,-1.23695246899366,2.79113066249862,1.352407272133,1.23658170676368,-0.535938760833668,0.734081545700067,-1.00029982833156,0.594827989996572,0.466977573498123,0.322893920098912,-0.152543229922671,0.632425669607813,0.112551503959428,0.99014998191854
"PTHR10003_SF33",9.80419149812206,0.00316603944784106,0.19270357553828,0.662926058369568,0.230099208491962,0.633938892544922,1.11410648912456,-0.00429353164921897,-0.318739730344114,1.4998091153735,0.726713651100341,0.664474988801856,0.742832189579747,-0.0059081477865704,-0.479686573182909,0.461718113969479,0.99531398167238,0.633938892544922,-0.0738153208012991,0.843341374648071,-0.000911646616704147,0.938303707015428
"PTHR10010",61.5480468461031,9.21394710179728e-10,2.08843252422404,0.155838614868172,0.129543271526772,0.720709662723795,5.21419613588042,-0.99769666045632,0.249594200753883,1.56525251534487,0.758423427795338,0.693469013452988,3.33121722199027,-1.31548766018018,0.359921201830028,0.00181017504663956,0.195482353301789,0.720709662723795,0.0554515965609965,0.888599079495203,-0.198927359715356,0.645453323065452
"PTHR10015_SF142",21.3623744795881,3.59683151484013e-05,5.29821851399226,0.0263749189258867,0.0379680790433668,0.84644678409327,0.194608531591442,0.779855328070701,-0.0754165926936038,0.873604665946214,0.423294157836857,0.387041553936216,0.222764986472066,1.84234843224854,-0.194853994168369,0.824798253255504,0.0724912269898046,0.84644678409327,-0.0300530431185084,0.944060842031476,0.273445863056879,0.266585120955334
"PTHR10024_SF10",58.1283026916,1.88574769313254e-09,4.83443908640025,0.0334575112677639,1.27767291253603,0.264746030194118,2.25515113938624,-0.615103000602489,0.265889149172145,0.530943270668685,0.257261886729305,0.235228950281541,4.24744273817811,-2.39096046609387,1.13034194496003,0.000117238860465191,0.0213628481263559,0.264746030194118,0.17182165333401,0.581735277013209,-0.346128397230468,0.311866394622596
"PTHR10024_SF173",3.45368934275512,0.070128522691533,17.835805722483,0.000126410530859485,6.79012277894455,0.0126279114766877,1.8319519608174,1.39207760856297,2.36969089041946,2.0526279377579,0.994575061391822,0.909395677073481,0.892491000009698,1.3996707363795,2.60578640316979,0.3772150061978,0.168955139665081,0.0126279114766877,0.373054993970382,0.137765806273272,0.211106494591253,0.0053231249149467
"PTHR10024_SF185",8.00704570517116,0.0071165814581799,17.5440152255263,0.000140790818845868,14.0806978213114,0.00053117413365454,2.12271937624252,0.28787476162876,1.62592805379658,0.978017409194044,0.473886039889886,0.433300544956613,2.17043107442412,0.607476771621405,3.75242559170884,0.0356774609316163,0.546805178625468,0.00053117413365454,0.501078056995707,0.119665604498767,0.0933265960139422,0.00535046019277287
"PTHR10024_SF188",9.72155554180635,0.00328331260537473,18.7008681745699,9.2168310401923e-05,9.743981553246,0.00325103822481407,1.70368238887308,0.560050887836593,1.41430681781297,1.02266350679952,0.495518745189304,0.453080538892079,1.66592664893739,1.13023148624304,3.12153512766491,0.10317052256742,0.264792031275373,0.00325103822481407,0.433948613253251,0.119665604498767,0.171805358298401,0.00520856793650645
"PTHR10025_SF29",3.14064325360134,0.0836178850366602,0.830526829768604,0.36732140084599,2.94078721788103,0.0937393961543924,-1.28475509209829,0.579372541136893,-1.9398138671283,2.55320454521335,1.23712316323396,1.1311709898276,-0.503193171305799,0.468322442223423,-1.71487236197946,0.617457319893168,0.641975494022414,0.0937393961543924,-0.255806433793324,0.353236237470982,0.0720757752562578,0.834269113277553
"PTHR10025_SF30",5.80241193677883,0.0204688861090438,1.60386348341036,0.21233544218958,3.32903570734324,0.0751856305908236,-0.427434430390524,0.234909911263392,-1.41222906768285,1.74704169424521,0.846507088959311,0.774008837738573,-0.244661837092098,0.277504954568293,-1.82456452539866,0.807909678554765,0.782753815803375,0.0751856305908236,-0.271001058106176,0.317639334476662,0.0427807418190031,0.72675439320254
