"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28637690923714,0.263148885751217,0.379796277228158,0.54103830448835,0.0354565418808438,0.851549083263922,-0.307264210285474,0.841805737974642,-0.23830713215563,2.64496999487789,1.33172156352943,1.2655778121371,-0.116169261231887,0.632118425524043,-0.188299075623976,0.908072090535887,0.530735631188487,0.851549083263922,-0.0290429216834418,0.974775215506917,0.0970773035313338,0.999967134437814
"PTHR10003_SF33",9.76079211227653,0.00322706593156897,0.000431323337699528,0.983528819158214,0.0248092845361622,0.875598028731254,1.61784314988552,-0.0662506121111787,0.106951154207635,1.41909102442126,0.714501155586875,0.679013416934194,1.14005593865645,-0.0927228900795296,0.157509633153538,0.260722885012025,0.926564600019938,0.875598028731254,0.0242970889944692,0.974775215506917,-0.0143059883915722,0.999967134437814
"PTHR10010",62.4483473142828,7.66143278316362e-10,2.86165324345837,0.0981223157325912,0.00294334096466328,0.956991188988737,5.0287894349594,-1.08264232305944,-0.0380940686655154,1.46746911701985,0.738859144237303,0.702161596575116,3.42684515580943,-1.4652891982233,-0.0542525664338866,0.00137797094925278,0.150288612220815,0.956991188988737,-0.00837105942990295,0.993367327560013,-0.220532394788658,0.999967134437814
"PTHR10015_SF142",38.4282401135076,2.05376438903484e-07,0.00516565519233874,0.943044552272949,6.14024058959962,0.017318444282265,0.0731562867255473,0.342398085850908,-0.728095606243815,0.614083761929519,0.309186338279262,0.293829716555087,0.119130794951624,1.10741660759166,-2.47795088522747,0.905739733486844,0.274415973930632,0.017318444282265,-0.357140058882115,0.395129947509319,0.168436667820744,0.999967134437814
"PTHR10024_SF10",59.080379229221,1.54101729091867e-09,6.63246907664262,0.0136246391225358,0.267534702952747,0.607703814561433,2.12926075194598,-0.629569661832623,0.123088114433265,0.497345226843707,0.250409405168613,0.237972107541714,4.28125301505127,-2.51416140463536,0.517237569162128,0.00010550328317776,0.0158502854893963,0.607703814561433,0.0795585030662926,0.948313925865111,-0.361680558333216,0.999967134437814
"PTHR10025_SF29",3.20564297117097,0.0805947312538312,0.0160363634146278,0.899833796764524,2.2592762659795,0.140298720521579,-1.56971721143626,0.991060709913198,-1.72268971478889,2.39526896907336,1.2059990634091,1.14609967872233,-0.655340686872222,0.821775687877967,-1.50308890820853,0.515822114010938,0.415845345883641,0.140298720521579,-0.225934481082832,0.745143709628996,0.125795446053234,0.999967134437814
"PTHR10025_SF30",5.92782783222044,0.0192327239129869,0.0657236537245491,0.798919654876213,1.86688085044113,0.179103833141356,-0.217645649037032,0.345491542607005,-1.06912071137483,1.63531093150708,0.823366176093019,0.782471345561015,-0.13309129465456,0.419608617208941,-1.36633848311505,0.894756819831239,0.676910066543421,0.179103833141356,-0.206295579944864,0.788441313008923,0.0646117250887738,0.999967134437814
"PTHR10026_SF45",6.43922632449909,0.0149627352883785,0.0999973454733906,0.753399093762402,0.669717685162787,0.417769097908783,2.38331898009185,-0.491781377444571,0.574830311021887,1.4679987110809,0.739125790676543,0.702414999258101,1.6235157170792,-0.665355455929132,0.81836280778319,0.111962125561746,0.50946073416471,0.417769097908783,0.125281227230926,0.907159327801185,-0.102129741195041,0.999967134437814
"PTHR10026_SF60",1.93625823627512,0.171402105798701,0.58587339585363,0.448299407349222,0.106822205136746,0.745414733095263,1.72071540322787,-0.735511286596552,-0.439177586114029,2.80828574393742,1.41394975708464,1.34372190782913,0.612728034154852,-0.5201820523758,-0.326836664309171,0.543359846443295,0.605667999708772,0.745414733095263,-0.0503679802654389,0.968521347826727,-0.0800085154650163,0.999967134437814
"PTHR10029_SF5",21.6241962884452,3.28668844012921e-05,1.85648778863399,0.18029272630873,0.0404021156677463,0.841666670549609,3.18377737581081,-0.849924958479747,-0.146806497955182,1.52642377686765,0.768542351208237,0.730370502373657,2.08577553891632,-1.10589215694303,-0.201002775273742,0.0431119413978374,0.275067743501161,0.841666670549609,-0.0310004946180186,0.974775215506917,-0.168211365887642,0.999967134437814
"PTHR10030",190.257721948658,3.40214357044296e-17,0.454285451068449,0.503999712625758,14.3649007668022,0.000474619085324104,0.597690135208861,0.627095653043445,-0.947147531725481,0.522273769023658,0.262960729846277,0.249900034865262,1.1444000649816,2.38475019981134,-3.79010564058605,0.258937969895972,0.0216818696998805,0.000474619085324104,-0.504832076511984,0.395129947509319,0.345336704569436,0.999967134437814
"PTHR10031_SF3",15.7583636104537,0.000275941913338775,0.103778718716821,0.748939357320514,0.500995050696881,0.482972835141913,1.75800785992579,0.0492748804906634,-0.656374312156055,1.93805793686159,0.975796909184632,0.927331171347168,0.907097680873582,0.0504970655541808,-0.707810038567468,0.369530353219645,0.95996568234457,0.482972835141913,-0.108571832680774,0.933109305739106,0.00779162985453605,0.999967134437814
"PTHR10031_SF4",1.72812395555267,0.195784286045778,0.042535455916924,0.837598988756883,0.00333762674768345,0.954204075820603,1.74592918303419,-0.316437226116461,0.0830996636461811,3.00616130119756,1.51357854191359,1.43840234477838,0.580783600114427,-0.209065613282542,0.0577721970127798,0.564489939097661,0.835407732216941,0.954204075820603,0.00891408935145619,0.993367327560013,-0.0322427517102246,0.999967134437814
