"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.24203328616554,0.27141648826538,0.0209764308278066,0.885535979255127,0.411868375551873,0.524510062402423,-0.607262990021498,0.7080234217726,-0.709029181068795,2.6525617500729,1.36176208951509,1.1048031049366,-0.228934534702089,0.51993180543359,-0.641769721591688,0.820030927753053,0.605840897313091,0.524510062402423,-0.0985452103739147,0.799969545674875,0.0799702715256443,0.973556343298808
"PTHR10003_SF33",9.08126460085607,0.00436413201703278,0.293004263224365,0.591161601678945,0.0184468183528397,0.892613215543064,1.59837510368298,-0.240444887287593,-0.0799642297590564,1.41356453112965,0.725690397036987,0.588755561666892,1.13074081054202,-0.331332601711881,-0.135819064762056,0.264579968146101,0.742040851084505,0.892613215543064,-0.0209527358614816,0.967192475825474,-0.0510590438508894,0.922150755185283
"PTHR10010",62.8428491885133,7.06997713465535e-10,4.18512537465316,0.0470759842209536,0.246033555152595,0.622467781588321,5.54014535693989,-1.35814642416182,0.288543942833259,1.39667515460775,0.717019792983214,0.581721065440245,3.96666707978765,-1.89415471853454,0.496017696410717,0.000278485789488673,0.0651046597486845,0.622467781588321,0.0763139971089297,0.851768806856061,-0.280537568035508,0.342661484760173
"PTHR10015_SF142",20.9839092569909,4.10059905535865e-05,6.88437793886022,0.0120695132824222,0.184603524489252,0.669642851714785,0.505317264963261,0.744975738272758,0.148263856500855,0.828506490244382,0.425335519258317,0.345076431437256,0.609913465873042,1.7515013549111,0.429655122731305,0.545205080471876,0.0871597799909005,0.669642851714785,0.0661520044826235,0.87419137820892,0.260902058480532,0.136582765078358
"PTHR10024_SF10",57.4838604163336,2.16429644339275e-09,4.81208767874724,0.0338473602531251,1.24852542181103,0.270185488893894,2.21360497384351,-0.616283911986613,0.232447987141007,0.499468049083634,0.256415012448801,0.208030539318853,4.43192508090312,-2.4034626759994,1.11737434273883,6.57385486826169e-05,0.020733420593014,0.270185488893894,0.169907692780516,0.599012522804951,-0.347719953548136,0.284029471333019
"PTHR10024_SF173",3.04008916026406,0.0885480901710877,19.9491258609021,5.89473711112237e-05,10.7094787515227,0.00213633484425633,2.19911585199824,1.35623242240978,2.6372598084308,1.93485919706402,0.993310675251566,0.805876978536961,1.13657668492633,1.36536579763053,3.27253399547242,0.262158787242562,0.179406894121251,0.00213633484425633,0.450754224880468,0.0379314045093924,0.206154963431557,0.00186384947817756
"PTHR10024_SF185",7.67934565004416,0.00828715160698828,21.0548387031436,4.00082409864572e-05,19.8329405133927,6.14250611908458e-05,2.17773634646558,0.332664183238803,1.69633254564098,0.914530210633218,0.46949805052506,0.380905672125497,2.38126233682069,0.708552853130637,4.45341896899368,0.0218629189918664,0.4825163788269,6.14250611908458e-05,0.566348304303822,0.0208447970907023,0.1086844286883,0.00141465036718781
"PTHR10024_SF188",9.63305703334756,0.00341402880701238,22.93667238401,2.10424829172779e-05,14.4484847134359,0.000459221946463531,1.77128377312031,0.62443596452314,1.50646585492114,0.951543742992684,0.488499917367472,0.396321963744075,1.86148433654713,1.27827240562952,3.80111624571466,0.0696838965673861,0.208172650966261,0.000459221946463531,0.50592367997693,0.0208447970907023,0.193513379722672,0.00118205148701336
"PTHR10025_SF29",3.21940532583049,0.0799704319155805,1.06258769002392,0.308525502026177,5.28931168538719,0.0264945220618984,-1.95074362306259,0.827635149695148,-2.31441872174055,2.41614486982409,1.24039128831304,1.00633448178348,-0.80737858372069,0.667237151286952,-2.29985036152077,0.423997394771267,0.508270247602813,0.0264945220618984,-0.334439898874449,0.1704632002645,0.102415549534364,0.780444700615952
"PTHR10025_SF30",5.85377850557962,0.0199525521299909,1.83318202474493,0.182993140406057,4.2131895390878,0.0463759339463016,-0.407313727652161,0.219959772628916,-1.40541329586758,1.64391431002096,0.843946492757945,0.684697211633603,-0.24777065639569,0.260632367711022,-2.05260554883002,0.805519211155465,0.795649683445513,0.0463759339463016,-0.301941304318612,0.228401474685535,0.0401839645536078,0.664655506461682
