"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26480706211683,0.267129596319202,0.0189222643095076,0.891246931212578,0.4086855309104,0.526109009539475,-0.585664353122498,0.684960316437532,-0.705740654130582,2.63815025577002,1.32482753445192,1.1039527979667,-0.22199810334592,0.517018478726665,-0.639285171821152,0.82539131030568,0.607855419963782,0.526109009539475,-0.0981673856751954,0.790422478076701,0.0795250170041831,0.980395783914514
"PTHR10003_SF33",9.49297465934032,0.00363234218208984,0.110599073523234,0.741117373738521,0.0251692521258418,0.874706447698317,1.44561451506955,-0.107135910230854,-0.0930681190320706,1.40189279478305,0.704003182084202,0.586632042608348,1.03118763463883,-0.152181002809786,-0.158648202403437,0.308354640209038,0.879772882814216,0.874706447698317,-0.0244726173674636,0.95546669307127,-0.0234755671402523,0.95403636819973
"PTHR10010",61.4611187228216,9.38039075714949e-10,2.094125645554,0.15528939430524,0.148800046309196,0.701631743718218,5.20461087882101,-0.996653042218016,0.236363751709187,1.46429427422441,0.735339986336965,0.61274438692076,3.55434762700123,-1.35536358791361,0.385746090465213,0.000952777800048745,0.182546246639695,0.701631743718218,0.0594167544832516,0.880411067796594,-0.20470825185701,0.611216646062721
"PTHR10015_SF142",20.4664228715212,4.9125317456734e-05,5.75577978898733,0.0209500990385316,0.217669494497626,0.643232455669727,0.600778721752673,0.642850878371642,0.162863441632517,0.83420703181089,0.418922479020778,0.349079884603588,0.720179402526142,1.53453421710454,0.46655063444135,0.475403656590093,0.132397698311811,0.643232455669727,0.071804499026838,0.852176882215279,0.230412633287992,0.208371328182258
"PTHR10024_SF10",58.8456276644352,1.6193721949176e-09,4.99855954019908,0.0307399023177275,1.2197850945306,0.275690129966384,2.20791256643883,-0.601883356550778,0.228746246149087,0.494950009991769,0.248554228471326,0.207115363193964,4.46087993103698,-2.42153738543303,1.10443881429919,5.99936214889417e-05,0.0198530333238493,0.275690129966384,0.167996548614681,0.596985350802341,-0.350015594594256,0.270005462349217
"PTHR10024_SF173",3.43818198575229,0.0707365561820284,19.5642562988915,6.75836636492764e-05,10.7991670071164,0.00205568331081929,2.31842168245063,1.22815409932864,2.65565757257075,1.93119429190408,0.9698080564953,0.808122030692504,1.20051187608097,1.26638883962972,3.28620860675588,0.236668031181643,0.212352621265746,0.00205568331081929,0.452253142558447,0.0353617147304939,0.191780832889696,0.00242703103618375
"PTHR10024_SF185",7.87274662841389,0.00757347110111824,20.2608842973309,5.28043322044434e-05,20.0860864603196,5.61609209586732e-05,2.2364524971613,0.254646965043204,1.71049132378701,0.912057532308863,0.458017479923398,0.381656982007299,2.45209585792219,0.555976520996082,4.48175037907284,0.0184412007854599,0.581176901253312,5.61609209586732e-05,0.568788125621029,0.0199912012454411,0.0854750782985154,0.002257165854755
"PTHR10024_SF188",9.56883361988433,0.00351233912798214,21.1073311159473,3.92862859259835e-05,14.5195843783981,0.000446538958447428,1.86764242799383,0.50903562232002,1.52539811006511,0.956654533937314,0.480413223146191,0.400318915542348,1.95226423096241,1.05957870806799,3.8104572400695,0.0575940655365259,0.29539204806261,0.000446538958447428,0.506847854751626,0.0199912012454411,0.161354177805383,0.002257165854755
"PTHR10025_SF29",3.02844567370715,0.0891397411081669,1.10417944550878,0.299359437581058,5.28561452326615,0.0265443405492101,-1.96152634553798,0.815912755251329,-2.30814479959313,2.39918827044824,1.20482549243435,1.0039574501935,-0.817579166128346,0.677204093351959,-2.2990464378229,0.418211582072366,0.501989781536886,0.0265443405492101,-0.334336063555798,0.164202643214473,0.103928991260325,0.767393928258047
"PTHR10025_SF30",5.87336917176167,0.0197593352890527,1.920848955957,0.173078190912494,4.24572945210815,0.0455784689533724,-0.393809843400104,0.219113152652651,-1.40798098564424,1.63293784443025,0.820029493626518,0.683314492160459,-0.2411664624856,0.267201551109632,-2.0605167924839,0.810599599980747,0.790621700397948,0.0455784689533724,-0.302998404159908,0.221770454405942,0.0411950951217582,0.636279355835216
"PTHR10026_SF45",6.42373738387526,0.0150759246600453,0.0973527024097001,0.756573683889939,0.577077090936128,0.451703326187694,2.32298335200374,-0.532429528035544,0.462957542538292,1.45637518267836,0.731363173225163,0.609430586559885,1.59504458715894,-0.727996086660527,0.759655902982481,0.118200656844438,0.470655367756251,0.451703326187694,0.11642037530149,0.738819870080477,-0.111630138660714,0.956782741831212
"PTHR10026_SF60",1.88562156982256,0.176983540603523,2.90325405424376,0.0957900692844921,0.907670698564317,0.346184284037706,1.33461734396424,-0.97530298195583,-1.12280021439856,2.81635470891826,1.41431833042776,1.1785237228914,0.473881127166987,-0.689592265738963,-0.95271753346116,0.638038939110649,0.494243299922574,0.346184284037706,-0.14544429418328,0.665499685654616,-0.105809080503167,0.504826105398012
"PTHR10029_SF5",19.9083045271562,5.98057072298351e-05,0.12482700531867,0.725624317256431,0.601517225195731,0.442345031837683,3.51466709709712,-0.602432881289031,0.505737569380026,1.55829689520724,0.782546266690527,0.652080454388194,2.2554540844604,-0.769836758453638,0.775575415543666,0.0293743759122873,0.445705190948335,0.442345031837683,0.118826006321158,0.730283213668559,-0.117959064681826,0.952857199562334
"PTHR10030",190.072343732388,3.45996020677953e-17,0.371821449134933,0.545298148941589,19.6293796215415,6.60336444598863e-05,0.596538655057016,0.620195379409917,-0.959007662226898,0.517270620761674,0.259763203270649,0.2164555820302,1.15324286961943,2.38754131301549,-4.43050557177637,0.255331776756048,0.0215379624132444,6.60336444598863e-05,-0.564364111921347,0.0199912012454411,0.345692610586059,0.909947965741117
"PTHR10031_SF3",16.0960548138038,0.00024252160246912,0.186022957144958,0.66845330922806,0.394364546377572,0.533414051653463,1.9081763589258,0.0717198604600453,-0.502940477751055,1.91388870878393,0.961117530636445,0.800880385958985,0.997015317645216,0.0746213217155169,-0.627984511256107,0.324466803362137,0.940870298954668,0.533414051653463,-0.096448364446231,0.794243247821454,0.0115135567134388,0.935886557492903
"PTHR10032_SF11",92.9001775809961,3.32921848157928e-12,3.35096152237053,0.0742674689755322,0.0707691964629575,0.791521713255533,0.734043271324342,0.281807335561373,-0.0397501602201362,0.357080203703363,0.179318704398752,0.149422759039093,2.05568178720469,1.57154456645369,-0.266024804225015,0.046064409979104,0.123560184452052,0.791521713255533,-0.0410139791232632,0.91811363488362,0.235664597589535,0.443202042798104
"PTHR10032_SF206",36.7784239801953,3.20753629849276e-07,0.007588427302629,0.930996823518808,0.0821126006068808,0.775863480551045,1.30514144633028,-0.0731368711067322,0.0695158907327458,0.579733251910559,0.29113071671662,0.242593515710951,2.25127925995115,-0.251216607892055,0.286552963004888,0.0296590411032807,0.802871712116096,0.775863480551045,0.0441729228180697,0.9144927710194,-0.0387344736083677,0.988086025716748
"PTHR10032_SF26",5.89210670706042,0.0195764150874927,4.67625928947372,0.0363251914169503,13.1554653487185,0.000770041091260762,-1.75491858296873,0.520814089859877,-2.30687610057473,1.51991809300088,0.763273181773901,0.63602057076873,-1.15461391705909,0.682342970113882,-3.62704636704833,0.25477590260907,0.498768318983945,0.000770041091260762,-0.488381080030937,0.0199912012454411,0.104709028577574,0.296125851178773
"PTHR10032_SF71",7.72148947407608,0.00812574196691721,0.40972515306994,0.525585774201915,4.1630584020305,0.0476345640909386,-1.38187616732235,1.17239329860234,-1.10497747776749,1.29418450845175,0.649914184269067,0.541560741684688,-1.06775823562863,1.8039201589682,-2.04035742016699,0.291728650966892,0.0784191770153434,0.0476345640909386,-0.300302511777472,0.225818996589987,0.268156427859812,0.904815850207446
"PTHR10033",1065.13826777173,1.8019225654217e-31,0.242098393936519,0.625256696429819,4.80369679932232,0.0339949836505821,1.64326515794421,0.171494815247872,-0.175153594468749,0.190976655310011,0.0959047464559169,0.0799155440501137,8.60453417867596,1.78817859996847,-2.19173374279868,8.15634420253451e-11,0.0809628949344501,0.0339949836505821,-0.320366956344395,0.188716338788047,0.26598263804691,0.921363237981503
"PTHR10036_SF6",7.98189898984307,0.00719984435743415,2.55978782074281,0.117109703738392,6.3885838821781,0.0153362386528946,2.14459880281844,-0.195123972186001,1.01628711750183,0.960866699374152,0.482528490363509,0.402081526223573,2.23194206253094,-0.404378137421495,2.52756481265626,0.0310098653083346,0.687986642068739,0.0153362386528946,0.363354752156328,0.12372655358538,-0.0622757875823547,0.546871320794469
"PTHR10037_SF133",102.152620617729,8.15655788915605e-13,0.561734491909929,0.457739887111676,7.81376916878538,0.00778389797741346,0.849518527506625,0.385249135683062,-0.731131642882237,0.625049359134781,0.313887580725225,0.261556364113434,1.35912230784872,1.22734749426199,-2.79531199846911,0.181361598514132,0.226527110207678,0.00778389797741346,-0.3960550786746,0.0865398849105311,0.186076297740579,0.863957424139153
"PTHR10037_SF137",21.7464799781434,3.15158731954194e-05,0.312919366510914,0.578865298413472,0.563920519967515,0.456871930090037,0.482049577490376,0.344970585921057,-0.236797090183438,0.753557566533497,0.378421892670692,0.315331540417063,0.639698410445127,0.911603140839568,-0.750946416175958,0.525842888479707,0.367180491310877,0.456871930090037,-0.115103396005352,0.739617421453478,0.139292137494341,0.91444819570559
"PTHR10037_SF161",11.6634258820152,0.00142487985775794,0.000167988041277556,0.989720264181049,0.396401562248857,0.532363731464223,0.593983072937609,0.209687259066232,-0.264777874465462,1.00499299674969,0.504687855103506,0.420546490205473,0.591032051823891,0.415479106433476,-0.629604290208427,0.557666496151232,0.679906290922214,0.532363731464223,-0.0966948135273623,0.794239714074197,0.063978474815598,0.996368750882588
"PTHR10037_SF189",1.19824786685014,0.279910197485554,0.563978946285732,0.456848768307784,4.48445112143558,0.0401665220250009,-2.75365021948891,1.06922370777763,-2.38925102764321,2.69622515802732,1.35399161614241,1.12825465518592,-1.02129831823971,0.789682664966492,-2.11765226641099,0.312960068492875,0.434148909761977,0.0401665220250009,-0.310599529661383,0.206062890489828,0.120956036482361,0.863645576085422
