"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26493741068937,0.267105310303715,0.0190791955116152,0.890799808138096,0.409342742812559,0.525778129571624,-0.59223988549343,0.688701888635443,-0.706485805855334,2.64656627740532,1.33050827790206,1.10423089287933,-0.223776706651782,0.517623152049368,-0.639798986254714,0.824016013847437,0.607437042766344,0.525778129571624,-0.0982455247610023,0.797870805961319,0.0796174353932958,0.982930244832262
"PTHR10003_SF33",9.77570445210673,0.00320595736488444,0.177497974883836,0.67568070054836,0.0233881791136702,0.87918432687393,1.54226725055389,-0.159249511847873,-0.0902756014433019,1.41480004903404,0.711262435740523,0.590299186809792,1.09009555916179,-0.22389698070034,-0.152931942751245,0.281885960976427,0.823923032671727,0.87918432687393,-0.0235913434425604,0.962575178087355,-0.0345274548798491,0.940087381146524
"PTHR10010",61.5217572546124,9.26395550096132e-10,2.12718797715555,0.152144278276605,0.154124089067557,0.696610383574953,5.22777470451194,-1.01037260466708,0.240514300905877,1.46834640532474,0.738181795706874,0.612640414884114,3.56031430019113,-1.36873140267508,0.392586409682705,0.000936334957742945,0.178359946597727,0.696610383574953,0.0604665550832886,0.886817518177733,-0.206641458533754,0.626574190429031
"PTHR10015_SF142",20.4764516402028,4.89528502724969e-05,5.79304728915498,0.0205645596081468,0.213734308531634,0.646242252528397,0.589450294877302,0.649369480496213,0.161374301306018,0.836604383770733,0.420586126045331,0.34905772568961,0.704574714538954,1.54396315114356,0.462314079962567,0.484963758723799,0.130099395862074,0.646242252528397,0.0711557882528557,0.865633856237422,0.231752581892455,0.207436628928908
"PTHR10024_SF10",58.87637725782,1.60887529950758e-09,5.12576009571087,0.0287983007200399,1.26455845332715,0.267175923928835,2.2254828563996,-0.612593309440153,0.232753115467797,0.496076814471594,0.249392699425173,0.206978887495592,4.48616583455954,-2.45634018498587,1.12452587934967,5.53813776179143e-05,0.0182524758403516,0.267175923928835,0.1709634671093,0.598144258497961,-0.354418115896518,0.262308233987444
"PTHR10024_SF173",3.34493665029936,0.0745185154825794,21.0851514099301,3.95896502108063e-05,10.9169767696259,0.00195460660954986,2.13446448300605,1.33243208030276,2.63593286044906,1.91207988327939,0.961259929302583,0.797780012084258,1.11630507787429,1.38613088893601,3.30408486114172,0.270637527064485,0.173022420066848,0.00195460660954986,0.454206851365278,0.0354541687575769,0.209154088085618,0.00226578949134146
"PTHR10024_SF185",8.5708617598043,0.00549525321190517,19.0014798775818,8.26844164809573e-05,20.5380710863174,4.79070383995172e-05,2.35194593625544,0.190745676178089,1.71843901766717,0.908818543565804,0.456890350960976,0.379187749951546,2.58791587485378,0.417486768492472,4.53189486708567,0.0132048688174759,0.678448945701961,4.79070383995172e-05,0.573069883284218,0.0212613731329452,0.0642863545321021,0.00277967530202243
"PTHR10024_SF188",10.3569152737364,0.00248733848241392,19.9609108913513,5.87019875654913e-05,14.9407504637075,0.00037860167679523,1.98362443777412,0.444636211980669,1.53402417339454,0.951193510005208,0.478193518051401,0.396867921964086,2.08540577380859,0.929824841190915,3.86532669559864,0.0431471893829162,0.357775497117393,0.00037860167679523,0.512241325720044,0.0212613731329452,0.142020778009398,0.00235662833576026
"PTHR10025_SF29",3.15430529023463,0.0829720798712704,1.22683001505737,0.274327564597927,5.25263930090996,0.0269931808815798,-1.86019806078991,0.760686159006715,-2.30354160670216,2.40896312856737,1.21105804569612,1.00509536794191,-0.772198643777573,0.628117010336584,-2.29186371778733,0.444320413750097,0.533328093969469,0.0269931808815798,-0.333407798482879,0.170314391449316,0.0964685248247143,0.760624415848483
"PTHR10025_SF30",5.86103014212074,0.0198807954752677,1.95738301120459,0.169135482621539,4.20819390677904,0.0464997097591967,-0.373093503723438,0.206160587911513,-1.40233698077743,1.63842813312049,0.823686983573917,0.68360387412175,-0.227714292852661,0.250289966969002,-2.05138828766741,0.820973291208457,0.803583414523233,0.0464997097591967,-0.301778554933549,0.229311879224464,0.0385918102967916,0.64339946701018
