"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2710301853649,0.265973272769544,0.0198574212412246,0.888609720265998,0.479777701426705,0.492335366150912,-0.790761772128452,0.783554488795092,-0.806489953932172,2.74066230084733,1.37179578693817,1.16433762642832,-0.288529444829439,0.571188872466194,-0.692659874272146,0.774360737058959,0.57091563982678,0.492335366150912,-0.106274461250339,0.773771483988031,0.0877960156616006,0.979477854308457
"PTHR10003_SF33",9.75600910587771,0.00323386749069522,0.134460614778062,0.71569217957164,0.0598284389342837,0.807958379788802,1.38046264349698,-0.0776696153943942,-0.152434548362427,1.46691911041753,0.734243491008622,0.623203053750125,0.941062553274707,-0.105781823530639,-0.244598526026392,0.352054234832912,0.916259077802079,0.807958379788802,-0.0377155188948003,0.93188961978476,-0.0163203158214344,0.953318856089533
"PTHR10010",61.3397567962509,9.61805486318119e-10,2.07341525848165,0.157298304810665,0.187019422414711,0.667621452296357,5.27975513991312,-1.03234212612895,0.27968624394221,1.5223143616601,0.761970720389434,0.646737064243586,3.46824235051917,-1.35483175206698,0.432457422661134,0.00122317825262888,0.182714346024607,0.667621452296357,0.0665815550683186,0.876374336218645,-0.204631289880285,0.614687323698162
"PTHR10024_SF10",58.0528928756623,1.91630462261453e-09,4.74354672070071,0.0350739269286277,1.31601329134424,0.257801904431734,2.2383552274169,-0.615968249230981,0.251812211087376,0.516681893343851,0.258617066486886,0.219506127817528,4.3321727667497,-2.38177726473522,1.14717622506058,8.99645377712208e-05,0.0218361044676054,0.257801904431734,0.174303416048359,0.597115900717769,-0.344957449775781,0.290592127791563
"PTHR10024_SF173",3.43020876264131,0.0710514584579543,20.0178577882148,5.75312989604885e-05,11.3068453741259,0.00165595086143401,2.72076257902129,1.03458628620653,2.85100977352573,1.99574280968893,0.998937949158128,0.847867482716196,1.36328316745652,1.03568623764714,3.36256529663379,0.180057110107965,0.306275095382898,0.00165595086143401,0.460552596763598,0.0279906917752352,0.157807423606622,0.00213772441759936
"PTHR10024_SF185",8.44275213588949,0.00582557297537511,20.7437134695603,4.45835347335951e-05,17.1550223496724,0.000162691268800872,2.19900765824631,0.271601753147141,1.67666058353989,0.952853435685821,0.476935931960407,0.404808395145034,2.30781311783124,0.569472197304873,4.14186218380964,0.0260055772022528,0.572069112138486,0.000162691268800872,0.538517514557912,0.0133060333639704,0.0875341746333472,0.00194837423850363
"PTHR10024_SF188",9.7705971398376,0.00321317028920151,21.2790154734911,3.7019120392847e-05,15.5457712903014,0.000299441901713996,2.15680975780388,0.369117856717364,1.65401623076692,0.987438880441453,0.494247137135336,0.419501608038608,2.18424633719065,0.746828517524203,3.94281261161387,0.0345781573805635,0.459327617293697,0.000299441901713996,0.519755901742457,0.0133060333639704,0.114480508307666,0.00194837423850363
"PTHR10025_SF29",3.21622241123597,0.0801143362906843,1.15868136497063,0.28788361074576,6.18856850631657,0.0169121534902092,-2.54243368008496,1.09368534617007,-2.61535771240037,2.47464319684715,1.23864407174886,1.05132258913592,-1.02739404344197,0.882969830571167,-2.48768336134577,0.310115786714649,0.38227870661221,0.0169121534902092,-0.358362938272338,0.118512044125954,0.134997996667029,0.760405199777058
"PTHR10025_SF30",5.95833096676358,0.0189443729240344,1.86339931906034,0.179501052146986,4.97299020000815,0.0311470619676351,-0.807068216764778,0.418688003568238,-1.59749398492577,1.68619199632781,0.843997115520658,0.716358518924337,-0.478633642267555,0.49607752902088,-2.23002022412537,0.634681657241174,0.622425926462702,0.0311470619676351,-0.325375387277995,0.175041854014751,0.0763231489374141,0.645650763176552
"PTHR10026_SF45",6.4212693884924,0.0150940448001076,0.091766276165698,0.763438971433989,0.621943546508491,0.434755040026553,2.40657181934363,-0.572402042021081,0.507119057895133,1.51359973395727,0.757608749356455,0.643034758807568,1.58996580493028,-0.75553779243878,0.788633974989976,0.119342664504409,0.454142919042966,0.434755040026553,0.120797753622971,0.736544344060474,-0.115797743489463,0.959373721596631
