"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26957216721779,0.26624361341811,0.0184365411495665,0.892642945955212,0.42091031617059,0.520015049633038,-0.645781415500253,0.712494621278754,-0.73098634349156,2.69010911174688,1.34624709076036,1.12671604354375,-0.2400577034888,0.529245059223369,-0.648776013868107,0.811453349229302,0.599421786264415,0.520015049633038,-0.0996104250083515,0.793464617830026,0.081393328282205,0.979806612671995
"PTHR10003_SF33",9.67986190483971,0.00334422218924529,0.151224826704648,0.69933217188268,0.0211255398903951,0.885132784465076,1.51518600821158,-0.142053967986889,-0.0876731580804048,1.44018458899442,0.720730733420926,0.603201957496347,1.05207764323428,-0.197097142385803,-0.145346275805041,0.298779528417615,0.844702253516915,0.885132784465076,-0.0224217790155296,0.968070054369957,-0.0303986941743662,0.949606400274736
"PTHR10010",61.5942227542116,9.12679438804087e-10,2.08104828201338,0.156554374777204,0.174002853097615,0.678703118864979,5.25005770166147,-1.01677051363823,0.260891640270213,1.49326675256813,0.7472953467187,0.62543470822878,3.51582039353141,-1.36060062210044,0.41713649216727,0.00106580955823236,0.180897296228314,0.678703118864979,0.064232640150149,0.878744518719092,-0.205465900246341,0.616585636131847
"PTHR10015_SF142",20.4826691101141,4.88462465928064e-05,5.7672622957266,0.0208304873449318,0.208384059084516,0.650388952477823,0.602671788459107,0.641856824551696,0.162667610637273,0.850793685551416,0.425774002626644,0.356343499626306,0.708364200033412,1.50750590828001,0.456491028481959,0.482632282318571,0.139166714811827,0.650388952477823,0.0702640022868979,0.870102799019162,0.22656438227811,0.208405747480044
"PTHR10024_SF10",58.2206554065598,1.8490195530605e-09,4.82853272481401,0.0335600526577238,1.35942073085704,0.250216423893361,2.2355199866882,-0.613640540084693,0.247262008471229,0.506332571252761,0.253390744646636,0.212070591823981,4.41512182626747,-2.42171647169055,1.16594199292119,6.93161267304457e-05,0.0198444820677889,0.250216423893361,0.177066013051186,0.573089156952098,-0.350038308629572,0.284160117995317
"PTHR10024_SF173",3.40187156118987,0.0721833051166632,19.791653348792,6.23316850646072e-05,10.865508686101,0.00199810203110371,2.46463618874357,1.16092249696845,2.71500219488515,1.96652997462035,0.984136757005564,0.82365464762714,1.25329195107711,1.17963533899577,3.29628710613942,0.217031778457091,0.244784124100995,0.00199810203110371,0.453355432226114,0.0346911028700065,0.179079240942916,0.00238476409895331
"PTHR10024_SF185",7.98414724457302,0.00719235813660163,20.0014753256352,5.78655462665384e-05,20.1522008757878,5.48657102914343e-05,2.36881191016539,0.192264978737184,1.75234566110851,0.931995795076342,0.466411054571555,0.390353911758592,2.54165514767302,0.412222173665671,4.48912027860558,0.0148122762136581,0.682273106686501,5.48657102914343e-05,0.569420352330569,0.0188920929103506,0.0634789776661539,0.0023593637101467
"PTHR10024_SF188",9.65813464829792,0.00337643697170761,20.9267313350797,4.18293264597016e-05,14.5531372955845,0.000440682402250955,1.97988337460285,0.456135785356707,1.56089192649773,0.976899614323731,0.488882870217193,0.409161272895542,2.02670094815571,0.933016501793287,3.81485744105654,0.0490728922151835,0.356144449658142,0.000440682402250955,0.507282595241461,0.0190095050181979,0.14249838763517,0.00225459975940249
"PTHR10025_SF29",3.21584766158244,0.080131298310799,1.07728594664761,0.305244314242971,6.55609165799494,0.0141375193234989,-2.55714010857543,1.08646924621295,-2.57575411516174,2.40180260295887,1.20196602907097,1.00596273748227,-1.06467538399084,0.903910110548391,-2.56048660570504,0.293105648863597,0.371198695400007,0.0141375193234989,-0.36745202665196,0.117715933270577,0.138139174194442,0.776235186115968
"PTHR10025_SF30",5.82771534649387,0.0202127631487474,1.89768962023429,0.17563398511575,4.246828297476,0.0455518024400276,-0.493573540526798,0.266285645460026,-1.43833353478698,1.66641310387792,0.833945278763726,0.697954730204809,-0.296189185849655,0.319308295449287,-2.06078341838147,0.768545260925485,0.751075553805295,0.0455518024400276,-0.303034011245659,0.220140406645841,0.0492106448116541,0.645551075965931
