"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26444744815355,0.267196612777061,0.018895513419333,0.891323337246277,0.409302899133248,0.525798178569077,-0.584882203058848,0.684547745751392,-0.706898511418112,2.63523163528701,1.32328028808476,1.1049297238081,-0.221947169739083,0.517311224171688,-0.639767847842675,0.825430702672974,0.607652850961022,0.525798178569077,-0.0982407893928957,0.796292364198201,0.0795697605315824,0.980301229734236
"PTHR10003_SF33",10.51111610806,0.00232684424141018,0.0839886268232395,0.773389167353186,0.00237923692645952,0.96132789773447,1.47556482615958,-0.122080926694747,-0.0261392919567767,1.27808315949219,0.641788838917345,0.535889161890578,1.15451394160131,-0.190219772130486,-0.0487774223023267,0.254816406919443,0.850053350256493,0.96132789773447,-0.00752630648980361,0.987943275141901,-0.0293389128566222,0.957410154409496
"PTHR10010",61.4289949248681,9.44269388134776e-10,2.08303069911585,0.156361839877235,0.144674272629841,0.705594588701463,5.19339681522624,-0.990888539232289,0.233310108123595,1.46292492667482,0.734607042695813,0.613391708545862,3.55000910882737,-1.34886882597258,0.380360713836012,0.000964907338691162,0.184607217368247,0.705594588701463,0.0585901085970395,0.888071358811396,-0.203768135166915,0.616608191172802
"PTHR10015_SF142",20.4628875304306,4.91862677280144e-05,5.75190364733294,0.0209906430719865,0.217639987392866,0.643254899876805,0.602885574566873,0.641764538808943,0.16300315818925,0.833318093594771,0.418450276701477,0.349403034887172,0.723475920180903,1.53366976804936,0.466519010751829,0.473397855055653,0.13261002821222,0.643254899876805,0.0717996570726946,0.857289478535129,0.230289720433244,0.212320354673144
"PTHR10024_SF10",57.9293774517899,1.96748076822396e-09,4.81100702312791,0.0338663334483231,1.19490778033738,0.280572126775573,2.19293994645629,-0.594163584958345,0.22769596058231,0.49678934241924,0.24946252744965,0.208299454044129,4.414225022979,-2.38177489434066,1.09311837434808,6.95123342702428e-05,0.0218362278363611,0.280572126775573,0.166322467305441,0.606651982085978,-0.344957147319116,0.284280467078662
"PTHR10024_SF173",3.45043469244353,0.0702556526461202,19.550263767259,6.79216687433567e-05,10.7826764540972,0.00207026702765712,2.32180114251135,1.22641276497295,2.65603678712939,1.92910087335323,0.968697068315745,0.808855231794457,1.20356647730687,1.2660436426274,3.2836985936741,0.235497223085016,0.212474974371703,0.00207026702765712,0.451978298452673,0.0349012516412529,0.191730478514193,0.00249828247032383
"PTHR10024_SF185",8.10630889664776,0.0067977891667466,19.5634971907644,6.7601955304648e-05,19.7504336811579,6.3250870188044e-05,2.26690050836998,0.238899784203588,1.70631410290595,0.915703345457164,0.45981999098336,0.3839464550432,2.47558395370744,0.519550669584162,4.4441460013323,0.0174185850642321,0.606104271074084,6.3250870188044e-05,0.565546491054528,0.0182795014843447,0.0799120238364773,0.00249828247032383
"PTHR10024_SF188",9.6037286959254,0.00345855632521391,20.8455094787197,4.30288740682143e-05,14.5486261135627,0.000441465081911232,1.89047335594329,0.497295596098905,1.53109822011142,0.957362029838711,0.480738879149197,0.401413579379273,1.97466924425839,1.03444014550895,3.81426613040605,0.0549042108616423,0.306850153121223,0.000441465081911232,0.507224196172664,0.018575754576768,0.157622276627493,0.00232311759528125
"PTHR10025_SF29",3.196872635443,0.0809954183157491,1.19993526543369,0.27957656192702,5.38558937189424,0.0252321307420398,-1.91230176847438,0.790340870796277,-2.32973650447936,2.39427662047692,1.20228484421417,1.00389938006176,-0.798697089600896,0.657365743733426,-2.32068726283708,0.428959579879624,0.514532362599056,0.0252321307420398,-0.337126952943744,0.158831445357099,0.100915912977542,0.758740558461341
"PTHR10025_SF30",5.83480848596762,0.0201415864338569,1.88603752800199,0.176936819756014,4.27310357429912,0.0449192161547193,-0.416265766604841,0.230653822575909,-1.41443806391064,1.63191060241481,0.819463117843475,0.68424593385292,-0.255078780656779,0.281469437188223,-2.06714865800675,0.799907218068853,0.779732530769249,0.0449192161547193,-0.303883692823172,0.216703338080112,0.0433907721147538,0.653691308965845
