"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.24567299669169,0.270725464027245,0.0189610878062612,0.891136141199748,0.41279230420972,0.524047553666549,-0.617036229778058,0.699167686544061,-0.711657487389058,2.68053652554682,1.34186284904657,1.10765682275299,-0.230191315767348,0.52104258422598,-0.642489147153258,0.819060627311296,0.605073626171884,0.524047553666549,-0.0986546052430705,0.796871123404723,0.0801400233770732,0.982097614521891
"PTHR10003_SF33",9.87244458720929,0.00307252647966454,0.20035397795186,0.656735495104892,0.0153564127318848,0.901969001838815,1.61419317018414,-0.186890973505749,-0.0733095006095887,1.43163357656298,0.716668432430945,0.591582574476865,1.12751837943019,-0.260777460047756,-0.123920993910979,0.265923709979118,0.795538535446656,0.901969001838815,-0.0191179297769347,0.967998021260565,-0.0402062985518618,0.940654722789273
"PTHR10010",65.6243808800821,4.04717550506594e-10,2.73903229862681,0.105378921378259,0.25831981361193,0.613936087993184,5.56309335363122,-1.1585206722619,0.305662031183598,1.45538916667169,0.728560359110641,0.60139890833826,3.82240948402371,-1.5901505726665,0.508251722684665,0.000430803453156368,0.11930096145946,0.613936087993184,0.0781848750690265,0.84627476887636,-0.238297141440391,0.530131060250576
"PTHR10015_SF142",20.410428816207,5.01000701400331e-05,5.6975773521574,0.0215678706149436,0.212378227570374,0.647287256494094,0.595605571318326,0.64506139133844,0.161421109075418,0.847660280077553,0.424334392614346,0.350271926405883,0.702646549940777,1.52017230412125,0.460845123192569,0.486152481787868,0.135960892981212,0.647287256494094,0.0709308371554681,0.862331398845928,0.228369138494115,0.214014503199593
"PTHR10024_SF10",58.089630872138,1.90135364842274e-09,5.13012959664141,0.0287340086417548,1.35196105324069,0.251499742032363,2.25789263712318,-0.623587692011565,0.241454693232412,0.502539338080834,0.25156861752427,0.207660340093093,4.49296695010172,-2.47879762646231,1.16273860056364,5.42013661321577e-05,0.0172827473230521,0.251499742032363,0.176594720814113,0.579893597549442,-0.35724652446114,0.260322489796429
"PTHR10024_SF173",3.39329258802417,0.0725299081426793,19.946799267841,5.89959418883578e-05,10.5977433247611,0.00224152414136376,2.2247940486797,1.27041030659358,2.63748779647144,1.96065085416834,0.981491770802569,0.810184183262723,1.13472219898295,1.29436674293739,3.25541753462764,0.26292644955024,0.202610507639266,0.00224152414136376,0.448872648166441,0.039087521836033,0.195856943837182,0.00224307330577524
"PTHR10024_SF185",7.62456615578604,0.00850208278451966,20.6765556524112,4.5641424362424e-05,19.444111967239,7.05444885764397e-05,2.17026890666646,0.282828171758846,1.69168794910815,0.928416181876798,0.464760383244544,0.38364204643708,2.33760348971864,0.608546214254302,4.40954781890831,0.0242472214275437,0.546102613749377,7.05444885764397e-05,0.562540662983259,0.0214447153752905,0.0934894596165181,0.00217292461369129
"PTHR10024_SF188",9.42001207373585,0.00375187269151577,21.3350256954342,3.63095696808133e-05,14.1007447417603,0.000526960950550283,1.81830699909877,0.529853665575848,1.51071399113676,0.97359364037778,0.487375987471181,0.402310368866689,1.86762415415246,1.08715586979381,3.75509583656133,0.0688029735402886,0.283167806435506,0.000526960950550283,0.501345027856829,0.0226959466764502,0.165440144877122,0.00217292461369129
"PTHR10025_SF29",2.71767190367563,0.106704226916507,0.955913461301826,0.333816871782288,5.65345708462318,0.0220492418246226,-2.29337531485009,0.963790743263685,-2.37922359573775,2.42155708173168,1.21221906653874,1.00064080369834,-0.947066386397167,0.795063177826103,-2.37769995681187,0.349022335822935,0.431047003457629,0.0220492418246226,-0.344437036217828,0.152399733068864,0.121767992888315,0.801635033068813
"PTHR10025_SF30",5.88188787445916,0.0196759467805538,2.01865039879637,0.162759286148866,4.11203665657774,0.0489540810769621,-0.330173636166594,0.191798647174214,-1.39067052946943,1.65963377705471,0.830804164475339,0.685797286814052,-0.198943671026352,0.230859034385482,-2.02781573536102,0.843266771535641,0.818545230407288,0.0489540810769621,-0.298621681482346,0.235820151598235,0.0355997423917307,0.631240404572026
"PTHR10026_SF45",6.40706045485768,0.0151988227489162,0.110311291011457,0.741441917149717,0.607034942880711,0.440274485823166,2.38658125807742,-0.560903188429912,0.476109341299311,1.47882355439912,0.740291493524181,0.611082514290256,1.61383773674551,-0.757678824269228,0.779124472007336,0.114051868106218,0.452873599809268,0.440274485823166,0.119362028113919,0.740724740939139,-0.116121470807215,0.958229799374332
