"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26535214256665,0.267028057934659,0.0187469852059493,0.891748570734426,0.40938858304319,0.525755064869001,-0.583211599375048,0.684498961092449,-0.706442291620257,2.63580809211834,1.3232638711965,1.1041010608996,-0.221264818603063,0.517280775204361,-0.639834809183738,0.825958481148165,0.607673919064492,0.525755064869001,-0.0982509725178863,0.800302635739126,0.0795651067012051,0.983446582858688
"PTHR10003_SF33",9.4078576110645,0.00377218679437732,0.128913152744959,0.721360367148361,0.018553594813898,0.892304825105774,1.44736640138259,-0.127944566443689,-0.0779449791048493,1.36608924045074,0.685822515730247,0.572234596355992,1.05949623093805,-0.186556380855267,-0.13621158105645,0.295429149273287,0.852906677340957,0.892304825105774,-0.0210132624450484,0.966851340126006,-0.0287743550626048,0.956236139840902
"PTHR10010",61.3245118717479,9.64835225995823e-10,2.07641306990377,0.15700563858946,0.147345392112563,0.703021656865873,5.19680786392416,-0.990831581653479,0.235274263485581,1.46322496707688,0.734587901203923,0.612923316881535,3.55161235001747,-1.3488264372849,0.383855952295341,0.000960407878352857,0.184620726856754,0.703021656865873,0.0591266354169432,0.889947280091493,-0.203761997550094,0.628537782490729
"PTHR10015_SF142",20.4724576131294,4.9021460152332e-05,5.75074480786316,0.0210027808111822,0.215688675214373,0.644743284287806,0.60490684614834,0.641489278939182,0.162128949366176,0.833396853963719,0.418393110832556,0.349097627161552,0.725832888942816,1.5332214186383,0.464422948630204,0.471966693745791,0.132720261368684,0.644743284287806,0.0714787143160155,0.86195738038866,0.230225966926172,0.215409117623145
"PTHR10024_SF10",57.8369535929854,2.00671061680554e-09,4.79367052336362,0.0341722968181761,1.20646197092369,0.278290921996584,2.19442635813755,-0.594128032400582,0.228622655343674,0.49689817977858,0.249459515254716,0.208143304929188,4.4162495405304,-2.38166113565135,1.09839062765652,6.9070169045015e-05,0.0218421492213329,0.278290921996584,0.167102314807306,0.607699005795441,-0.344942631856685,0.291099958225909
"PTHR10024_SF173",3.39347650067503,0.0725224584238132,19.6329563373631,6.59496041187254e-05,10.8049009835538,0.00205063786897553,2.31872571799716,1.22671865648798,2.65662212126549,1.92940921641697,0.96862799551778,0.808201010204577,1.20178016061475,1.26644972287038,3.28708092135771,0.236181389670875,0.212331047019821,0.00205063786897553,0.452348630043809,0.0360483791083286,0.191789713857115,0.00259286224762872
"PTHR10024_SF185",7.84927935458958,0.0076564652281471,19.797062028648,6.22121195514199e-05,19.9147999111343,5.96682568453961e-05,2.26030958993324,0.240124548146661,1.71132278803957,0.915480123652625,0.459601659183933,0.383481095903692,2.46898816428144,0.522462317853738,4.46260012897574,0.0177004222128216,0.604093601843862,5.96682568453961e-05,0.56714059797926,0.0204775181335874,0.0803569802867544,0.00254511479031272
"PTHR10024_SF188",9.54781328040404,0.00354516466097079,20.7553409013661,4.44030085634009e-05,14.4328402940337,0.000462063274990389,1.88849758070214,0.496645761965355,1.52589210307722,0.958854878528241,0.481377237694575,0.401650139779697,1.96953430909255,1.03171841764664,3.7990578166216,0.0555109174223397,0.308108775735139,0.000462063274990389,0.505719789444094,0.0204775181335874,0.157217818816568,0.00251230265742373
"PTHR10025_SF29",3.22846876284404,0.0795622390773954,1.18531702463868,0.282484103614091,5.33636700825332,0.0258692129171996,-1.89475665481296,0.790918271842051,-2.31775765286499,2.39524608093577,1.2024936910259,1.00333318915923,-0.791048848756583,0.657731743413375,-2.31005779327127,0.43336003114989,0.514299444160951,0.0258692129171996,-0.335757237918043,0.164851259439898,0.100971526967799,0.77438960053251
"PTHR10025_SF30",6.46259212296815,0.0147937042352172,2.00907122507361,0.163737256982283,4.47721161757515,0.0403199223354471,-0.374671585591877,0.226585213154209,-1.42190286433222,1.60424641650714,0.805385388188208,0.671995118197849,-0.23354989715834,0.281337626032593,-2.11594225289235,0.816469039819339,0.779832927391711,0.0403199223354471,-0.310372888904655,0.210151421355077,0.0433704905978959,0.639458423458832
