"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26893658258959,0.266361571222652,0.0189673515630178,0.891118277249691,0.419179007188394,0.520870378273622,-0.621304807376231,0.701274024085861,-0.722207242654537,2.65838445070762,1.33294332810178,1.11548074247604,-0.233715182621855,0.526109407130259,-0.647440350293673,0.816341553745201,0.601579453515781,0.520870378273622,-0.0994073812258917,0.785676502994208,0.080914258622174,0.97850474643655
"PTHR10003_SF33",10.3029279664466,0.0025462653146261,0.213833600985071,0.646165895930212,0.00852899363247273,0.92685704991933,1.82234666425366,-0.282856845528191,0.0531780256959159,1.37226828210459,0.688070474723892,0.57581545129445,1.32798133427583,-0.411087026574851,0.0923525507632179,0.191356410185575,0.683098782073807,0.92685704991933,0.0142488612665241,0.972196299240224,-0.0633048754187503,0.929406648377528
"PTHR10010",61.5568709068804,9.19722534571582e-10,2.06936421889601,0.157694811672612,0.157391690673067,0.69357808253565,5.21181978470465,-0.999241728463917,0.245724737203387,1.47609289550181,0.74012928272803,0.619381142783803,3.53082099411693,-1.35009079059922,0.396726216266416,0.0010203515232543,0.184218096868032,0.69357808253565,0.0611018041467302,0.873460294329677,-0.203945057669409,0.623358910898966
"PTHR10015_SF142",28.4446549010777,3.58525625333718e-06,7.29745087600758,0.00991577528966137,1.31249051250524,0.258430206796018,0.99241384711677,0.463198340360955,0.340504379342268,0.708321340387549,0.355160144188466,0.297217663335645,1.40107856495441,1.30419572111436,1.1456397830493,0.168536537250916,0.199269250213146,0.258430206796018,0.174077045854095,0.576926251304737,0.197286536646216,0.120422557131374
"PTHR10024_SF10",58.9109141828136,1.59717051302556e-09,4.6870740504148,0.0361208502812021,0.975012889236933,0.329087769280319,2.14209071049001,-0.570812048765359,0.206329923572155,0.497980973422295,0.249693160772209,0.208957055035506,4.30155131383602,-2.28605399923669,0.987427409603831,9.90176216202889e-05,0.027361175586421,0.329087769280319,0.150625038404862,0.646821608178855,-0.332656264304699,0.302175708233441
"PTHR10024_SF173",3.39912789302458,0.0722939526216213,19.7093177482727,6.4181948623536e-05,10.8898499976629,0.00197740505863523,2.40177170948833,1.18974080957683,2.69194936249655,1.94406888044479,0.974777610841579,0.815747849264575,1.23543550007283,1.22052537557738,3.2999772722949,0.223534607664008,0.229074178565989,0.00197740505863523,0.453758507978942,0.0336179499000836,0.185077530534723,0.00256540856779707
"PTHR10024_SF185",7.97877619909108,0.00721025637237223,19.8739509510725,6.05382277727729e-05,20.2106180007985,5.37474157130516e-05,2.32865667815456,0.21067301861502,1.73808600279869,0.92137659552261,0.461988402521721,0.386617461819728,2.52736686548211,0.456013651998797,4.4956220927474,0.0153437184221238,0.650729401095903,5.37474157130516e-05,0.569977272738028,0.0185215699164271,0.0701908857547694,0.00250588829553431
"PTHR10024_SF188",9.64818946250481,0.00339129221805544,20.8227247181968,4.33718310038846e-05,14.5744097613307,0.000437011335636508,1.94242599616511,0.473307001499845,1.54724573779099,0.965871870610725,0.484298824945749,0.405288057970242,2.01105970188044,0.977303633872877,3.81764453050971,0.0507665117559921,0.334014738173262,0.000437011335636508,0.507557759904544,0.0185215699164271,0.149115240459712,0.00238120725336883
"PTHR10025_SF29",3.14572315341203,0.0833771032538865,1.28367158862742,0.263643980581582,4.67488254917378,0.0363512945385349,-1.62428232932064,0.658840505520285,-2.17527676770771,2.39764499637794,1.20220568557264,1.00607224814369,-0.677449051788066,0.548026442918098,-2.16214767052895,0.501835963313554,0.586574853086193,0.0363512945385349,-0.316478152913972,0.187306983247995,0.084261584420006,0.744574682193754
"PTHR10025_SF30",5.82726062579295,0.020217335306622,1.87048074805669,0.178694210107262,4.31079414949626,0.0440285137935374,-0.478086191830491,0.259185628476033,-1.43422528539131,1.6462449032611,0.825445378917766,0.690778373496089,-0.290410127243786,0.31399488699767,-2.07624520456912,0.772931643728444,0.755079268742985,0.0440285137935374,-0.305096712593634,0.209537093464303,0.0483936954036546,0.647633518651861
