"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10003_SF33",12.1504429905586,0.00116285030316946,0.367610259100921,0.547573056222945,0.28580635953246,0.595739531383943,1.22816497874516,-0.0749840643399746,-0.281744553198712,1.25361147609273,0.628463869219126,0.527010884337235,0.979701448309258,-0.119313246174586,-0.534608604057642,0.332843354450656,0.905596071278902,0.595739531383943,-0.0822126478172112,0.83676678062483,-0.018407314318915,0.893931609396262
"PTHR10010",61.5453821391105,9.21900303170668e-10,2.07127267162192,0.157507870576307,0.145616105454715,0.704684286314319,5.18996429335106,-0.989774304694028,0.235206542351063,1.46618261717501,0.735030604094017,0.616374540607768,3.53978026512884,-1.3465756380498,0.38159678386317,0.000994093857219142,0.185339157133194,0.704684286314319,0.0587798539019596,0.888706086883131,-0.203436061408129,0.591707473189071
"PTHR10015_SF142",20.8800742557007,4.25140346941439e-05,5.62279265596425,0.0223906176262512,0.133761782960887,0.716398819252984,0.551206098738835,0.653068919898606,0.12692919588816,0.825541440165779,0.413862650096652,0.347052761350613,0.667690405254697,1.57798467618687,0.365734579935897,0.507983714844361,0.122072225268989,0.716398819252984,0.0563444192291825,0.895608333817801,0.236576392278074,0.204209122158752
"PTHR10024_SF10",57.9743138279067,1.94869847114556e-09,4.78384125086172,0.034347101640439,1.20193334247157,0.27918216351234,2.19273907055124,-0.593953620906079,0.229516786448909,0.497986577899925,0.249651967563057,0.209350625622144,4.40320917844474,-2.37912653644942,1.09632720593424,7.19672723420755e-05,0.0219744564714809,0.27918216351234,0.166797140207588,0.604301944163123,-0.344619156081414,0.270923559941412
"PTHR10024_SF173",3.49660110866726,0.0684760045449544,19.6595100564768,6.53291897623086e-05,10.2158264298813,0.00264447405636756,2.15608906372568,1.26268046905541,2.5405982603301,1.89078704510105,0.947894435313625,0.794875742393393,1.14031300844377,1.33208975811492,3.19622064787168,0.260617015288125,0.190014235052085,0.00264447405636756,0.442319081128778,0.0406949630259128,0.201336759796589,0.00247789133586334
"PTHR10024_SF185",8.23592205850552,0.00640422513365004,19.7410943115986,6.34611084040035e-05,19.2375145239078,7.59591649031551e-05,2.18431475889026,0.257324859219834,1.65292172365653,0.896439906268655,0.449405659377001,0.376858059109603,2.43665497666459,0.572589271742943,4.38605911085428,0.0191427987443869,0.569975530800315,7.59591649031551e-05,0.560487204756505,0.0177080683291404,0.0880096022872179,0.00247789133586334
"PTHR10024_SF188",9.95827324100548,0.00295906915187825,20.7324798189657,4.47586798241636e-05,13.7864179561654,0.000597281293160101,1.81080281045589,0.514074801773322,1.46783214817704,0.940359788003779,0.471423692345981,0.39532171882765,1.92564892029242,1.09047298665685,3.71300659252921,0.0609361770926529,0.281721680336762,0.000597281293160101,0.497120281906488,0.0207067100193856,0.165931055995099,0.00241329940860051
"PTHR10025_SF29",3.12688271489694,0.084274038963547,1.15598227156656,0.288438237076003,5.32843494987253,0.0259734929933557,-1.95238567322377,0.801205920494783,-2.33294605297653,2.40407624193279,1.20521795286365,1.0106594989255,-0.812114707166742,0.664780937415582,-2.3083403020076,0.421305035302742,0.509824514274731,0.0259734929933557,-0.335535721442366,0.154402193042135,0.102042473257756,0.74621302610761
"PTHR10025_SF30",5.85781015363704,0.019912623685995,1.78371806548685,0.18888645088711,4.03435508251638,0.051040677208681,-0.378636180072959,0.223166919271396,-1.37938103772005,1.63358059535558,0.818951007722352,0.686747665136087,-0.231782980986342,0.272503381969164,-2.00857040765724,0.81783219093058,0.786570297873804,0.051040677208681,-0.29603702304365,0.224552220191284,0.0420110622892376,0.642992319870521
"PTHR10026_SF45",6.42233033213948,0.015086252441198,0.0952437440555182,0.759139389256785,0.576402849490769,0.451965931618681,2.31997553032489,-0.529967373220468,0.465292202999052,1.45782733729141,0.730841912761655,0.612862030133577,1.59139252707067,-0.72514638797584,0.759211992457159,0.11902095276287,0.472383284868273,0.451965931618681,0.116353265473507,0.748018291047477,-0.111198582592964,0.948429706082994
"PTHR10026_SF60",4.77188904843028,0.0345609708776844,10.147357055369,0.00272448882787191,5.83852713648731,0.0201043791352783,0.395748844794846,-0.763574561326184,-1.75874623839724,1.73138999851592,0.867985080182945,0.727866162405026,0.228572906817105,-0.879709316161571,-2.41630443787353,0.820310176276301,0.384022646856181,0.0201043791352783,-0.349351611984116,0.132234932441395,-0.134508529483401,0.0382055605055972
"PTHR10029_SF5",20.6133012224462,4.6661969583296e-05,0.219528369385274,0.64182225734365,0.434036046768534,0.513610962331204,3.46258726453364,-0.607659351666976,0.428866445009096,1.54846909762219,0.776282683284804,0.650967292554033,2.23613585175884,-0.782781021335803,0.65881412156126,0.0307123421430852,0.438147262689123,0.513610962331204,0.101135989789055,0.792931503752487,-0.119914175644995,0.917351370519835
"PTHR10030",202.11321978782,1.18992083283468e-17,0.45447013340308,0.50391350048054,22.2093689932447,2.69075408145011e-05,0.538334817185374,0.634670024174503,-0.995126388224604,0.502288814998769,0.251808776610358,0.211159260770537,1.07176349763371,2.52044441308959,-4.71268171991751,0.289946382373284,0.0156073962533128,2.69075408145011e-05,-0.588124008814656,0.0104299330284408,0.362465793764811,0.874184475081647
"PTHR10031_SF3",15.7221350031615,0.000279805083220608,0.1549961276607,0.695797526162279,0.408099994651189,0.526404120806704,1.82759624553448,0.10653160269893,-0.516739437349831,1.92411793560485,0.964603966783316,0.808887852536884,0.949835876333631,0.110440767783885,-0.638827045960946,0.347629567660087,0.912585880638896,0.526404120806704,-0.0980977139798903,0.803531278937199,0.0170389064981452,0.929401346770316
"PTHR10032_SF11",93.0075229693737,3.27351824124142e-12,3.39125217102385,0.0726126160817912,0.065874765115722,0.798693765762549,0.734652799897987,0.281985731572145,-0.0385631706187377,0.357401662586633,0.179173560563296,0.150249554870417,2.05553828312119,1.57381329413571,-0.256660797777382,0.0460789016299024,0.12303433997165,0.798693765762549,-0.0395725993020156,0.9314848964305,0.235985876592454,0.41472583806939
"PTHR10032_SF206",36.8615479328178,3.13555851268782e-07,0.00692040173958694,0.93409652753653,0.0831870204985024,0.774442708764388,1.30468370360896,-0.0725628840600016,0.0703596180666032,0.580281951585517,0.290908505135991,0.243947116233481,2.24836168011799,-0.249435416218171,0.288421601996977,0.0298594357760162,0.80423989798971,0.774442708764388,0.044460411061341,0.922384525003424,-0.0384602437153978,0.984528421954837
"PTHR10032_SF26",6.06309730727127,0.017988866216574,4.40852369510029,0.0418075897476061,12.5369578557873,0.000991271667983599,-1.67730798699779,0.509291965974344,-2.23964947839406,1.50462178245858,0.754301029584182,0.632534139395437,-1.11477050681603,0.675183972975747,-3.54075667842162,0.27128721431521,0.503259272807492,0.000991271667983599,-0.479458065295753,0.0229438230829127,0.103622301750372,0.308546782278074
"PTHR10032_SF71",7.71990639559725,0.00813174414662228,0.417338228501567,0.521782553942281,4.20204068160583,0.0466526642813441,-1.40190203398139,1.17800149503754,-1.11586551555984,1.29486682598409,0.649146111934006,0.544354390554687,-1.08266117090146,1.81469390847603,-2.04988796806211,0.285135610937341,0.0767173325704772,0.0466526642813441,-0.301577923966854,0.214971259818442,0.269641845739616,0.882258680542045
