"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28337939112005,0.263697526052203,0.0230591483576439,0.880030457708495,0.571282157890348,0.4539683166891,-0.868717883842856,0.804752362291811,-0.839969120443861,2.64526245496601,1.32435238488448,1.11131708283797,-0.328405176662902,0.607657275719715,-0.755832096361585,0.744237097242984,0.546686564861329,0.4539683166891,-0.115842244886922,0.740241440023212,0.0933540852024524,0.981057999459643
"PTHR10003_SF33",9.71221251772283,0.00329685868909832,0.153976139816161,0.696748556079366,0.0095730116126278,0.92252339027538,1.57473720550799,-0.166654976608237,-0.0584919385108617,1.42299213450846,0.712421946438716,0.597821764284495,1.10663802513001,-0.233927348029238,-0.0978417682415225,0.274748715442207,0.816177916155004,0.92252339027538,-0.0150955923434146,0.974525799106162,-0.0360722817224407,0.947798134528496
"PTHR10010",61.5595538977324,9.19214733696279e-10,2.06862170150435,0.157767614774047,0.157489334783837,0.69348803398876,5.21269654521872,-0.998927570218166,0.246475191325583,1.47835391505794,0.740138858219817,0.621080134109183,3.52601396196419,-1.34964886537749,0.396849259522853,0.00103471259551815,0.184358750165963,0.69348803398876,0.0611206838756025,0.875577221999819,-0.203881075703718,0.619606925300587
"PTHR10015_SF142",20.4808806886397,4.88768855416928e-05,5.76241608900632,0.0208808796886624,0.22291149689625,0.639274352557183,0.611867232284884,0.637953985929769,0.167005326361512,0.841966604275624,0.421531133242443,0.353723642338014,0.726711996862745,1.51342080245079,0.472135040953592,0.471433528875447,0.13766224705299,0.639274352557183,0.0726594566141599,0.850333843075698,0.227407450574796,0.212092276739387
"PTHR10024_SF10",58.0500462579331,1.91746822035165e-09,4.78140359101576,0.0343906034138566,1.26582220918307,0.266940532877454,2.20913160648487,-0.600958019867265,0.237208758161314,0.50185140221519,0.251252234020706,0.210835803941085,4.40196360263953,-2.39185144844419,1.12508764511173,7.22501420706306e-05,0.0213174272843394,0.266940532877454,0.17104637514583,0.580704342494575,-0.346241920218572,0.29073773929015
"PTHR10024_SF173",3.40986871127543,0.0718618660778131,19.7449850161604,6.33734357576747e-05,11.0780960169659,0.00182480243081855,2.45461046253574,1.17016903678484,2.71833589832215,1.94402271708697,0.973276249700832,0.816715048772574,1.26264494800445,1.20229897436059,3.32837738499797,0.21368243985442,0.235982531982354,0.00182480243081855,0.456851331091076,0.0315637374435309,0.182406354031133,0.00255640501518247
"PTHR10024_SF185",8.02747638919452,0.00704968874114381,19.9656546504488,5.8603518077523e-05,20.5884067024953,4.70701687968407e-05,2.35997932213184,0.199612775047446,1.75399297754848,0.920125906398552,0.460661639167511,0.386559615747321,2.5648439042098,0.433317554741868,4.5374449531091,0.013985447879655,0.667001508089118,4.70701687968407e-05,0.573540936818095,0.0171695832440621,0.0667133930131793,0.00253074644883764
"PTHR10024_SF188",9.61235735290824,0.00344539234832701,20.8181313593389,4.34413176594074e-05,14.1314790622454,0.000520569912839263,1.90488171085938,0.490947808343502,1.53032405537247,0.968992404894838,0.48512668372406,0.40708921365374,1.96583760743317,1.01199918457331,3.75918595739096,0.0559512675590136,0.317333254798877,0.000520569912839263,0.501753680321222,0.0177712719206191,0.154285123212367,0.0024162964749382
"PTHR10025_SF29",3.14461932551788,0.0834293574467339,1.20708622778825,0.278168355801701,4.80615033500153,0.0339517456081617,-1.74516280636283,0.720338333581589,-2.22745936836188,2.41847661667189,1.21081190604125,1.0160407234851,-0.721595898150292,0.594921746298921,-2.1922933961953,0.474541183262345,0.555087656499609,0.0339517456081617,-0.320440362270916,0.185902670654491,0.0914140556508993,0.768705511402212
"PTHR10025_SF30",6.15227475884846,0.01721630284374,1.90449223841589,0.174878647697482,5.49508914395944,0.0238748240273059,-0.781733685056675,0.385650681518647,-1.57901392587126,1.60335380508514,0.802720135233383,0.673594587969631,-0.487561561632472,0.480429809333888,-2.34416064806989,0.628395824371123,0.633414824432259,0.0238748240273059,-0.34014415892527,0.148277065350214,0.0739290671490596,0.646131158674842
"PTHR10026_SF60",1.92393573932635,0.172740886902208,3.00690964408671,0.0902458091196697,0.650722000935145,0.424399153359402,1.66749696560519,-1.11436408109676,-0.954997893406395,2.8179640348965,1.41081554426773,1.1838717798774,0.591738199975443,-0.789872273256785,-0.806673416529357,0.557197876502213,0.434039372464356,0.424399153359402,-0.123519223137918,0.716304889932602,-0.120984653815048,0.498099031910166
"PTHR10029_SF5",20.3161662919243,5.17871978659165e-05,0.150006139327776,0.7004852511544,0.424868266165069,0.518069069989138,3.41768205961476,-0.566584250402695,0.431316761585267,1.57507038642953,0.78856002311335,0.661712271243735,2.16985989265037,-0.718504912493202,0.651819197450542,0.0357235683542204,0.476424365273443,0.518069069989138,0.10007299462319,0.779906286238696,-0.110192559123457,0.949253754933241
"PTHR10030",191.919599509036,2.92688282009552e-17,0.361144419758972,0.551101002257823,20.1475555180984,5.49556811596631e-05,0.544482616144652,0.642771048689676,-0.980712800512906,0.52006956710719,0.260373170235426,0.218489546511857,1.04694189120363,2.46865315696118,-4.48860284700021,0.30111427177913,0.0177148468913918,5.49556811596631e-05,-0.56937599740846,0.0171695832440621,0.355970087406706,0.91673430241269
"PTHR10031_SF3",16.1330841241522,0.000239125370073466,0.17366129811789,0.679000391411929,0.205974607057797,0.652277491970676,2.13657677888074,-0.0196038629335696,-0.365425469980821,1.91656145836984,0.959527752493802,0.805178134591795,1.11479690335526,-0.0204307409375283,-0.453844254186166,0.271276029534502,0.983796516007905,0.652277491970676,-0.069858599506854,0.854938338089344,-0.00315251610333502,0.940173291038238
"PTHR10031_SF4",1.73592840828986,0.194797871029201,2.67382104436333,0.109484699313227,0.529043015182658,0.471044725919087,1.76728629705168,-1.15242461011253,-0.917590261566967,3.00285305828944,1.5033803552224,1.26154661692054,0.588535723442426,-0.766555586621357,-0.727353432096569,0.559324720656691,0.447633169146016,0.471044725919087,-0.111532821078885,0.750355709791397,-0.117463255146614,0.537846196205934
"PTHR10032_SF11",93.0111296508258,3.27166381974696e-12,3.3819474580152,0.0729911129235544,0.0751367786942116,0.785343095949582,0.729211111640668,0.283950701950837,-0.0415037191863305,0.360405581146133,0.180437290833091,0.151412151306925,2.02330693470864,1.57368080976952,-0.274110887587873,0.0494361620918866,0.123064997269199,0.785343095949582,-0.0422584455412409,0.917872156575125,0.235967117346232,0.443743030626432
"PTHR10032_SF206",36.8640993728348,3.13337617927798e-07,0.006952937774854,0.933942154079723,0.0847921213901834,0.772338608492379,1.30779494443775,-0.0741119361879476,0.0715834836639746,0.585148177936582,0.292954819475967,0.245830112211224,2.23498080272497,-0.252980771302953,0.291190867628405,0.0307940312762206,0.801517222904588,0.772338608492379,0.0448864394795246,0.913467922823543,-0.0390060732264003,0.986400029577811
"PTHR10032_SF26",6.09260431678078,0.0177291964159786,4.73231179464674,0.0352795482592595,14.7968477248197,0.000400498983305452,-2.04623083297066,0.645859092168946,-2.43540510393724,1.50701434836508,0.754487722972679,0.63312084072261,-1.35780447955958,0.856023328814766,-3.84666709305857,0.181776268095559,0.396842428519834,0.000400498983305452,-0.510413891755146,0.01737277930623,0.130949862765421,0.295832966539105
"PTHR10032_SF71",7.96166941016257,0.00726757911503532,0.389488285075234,0.535943842755743,3.46133516689476,0.0698308725590367,-1.17680649043767,1.08595887653201,-1.00579464498881,1.28682138409526,0.644247970838416,0.540614253236595,-0.914506476953727,1.6856225020294,-1.86046638424207,0.365671353844993,0.0992853389004686,0.0698308725590367,-0.275931152027044,0.273818384496316,0.251721963304182,0.909819924721741
"PTHR10033",1071.71390847476,1.59103799174933e-31,0.247483244327594,0.621447390775869,4.95122765391829,0.0314982108075171,1.63260745834021,0.176058681145678,-0.179915601317223,0.19246118464411,0.0963558184567342,0.0808560231430721,8.48278815990425,1.82717228669209,-2.22513542372555,1.19837339847027e-10,0.0747853096259662,0.0314982108075171,-0.324737895195453,0.177161365276568,0.271359884185,0.927654748907047
"PTHR10036_SF6",8.00433353776311,0.00712551213903486,2.58210015640533,0.115571286257564,6.58665189769053,0.013929865150307,2.20234035069983,-0.219583621129897,1.04354515289122,0.967853593727239,0.48455653716529,0.40661078086069,2.27548914936456,-0.453164087754313,2.56644733000514,0.0280418712660628,0.652763181623496,0.013929865150307,0.368191594253846,0.11403180699281,-0.069754413750932,0.549162870561802
"PTHR10037_SF133",95.8140331404583,2.11595648327975e-12,0.723471079885662,0.399830898113779,7.28460446264661,0.00997617905826677,0.876828493420445,0.368088039901135,-0.748833109284292,0.660408764279042,0.330634081442327,0.277448288740272,1.32770571931713,1.1132791825193,-2.69900064146836,0.191446708463842,0.271919652095426,0.00997617905826677,-0.384456625830646,0.0943741973155031,0.169302864515792,0.846110664404214
"PTHR10037_SF137",21.7981959084745,3.09621814192932e-05,0.312017236927407,0.579411032769447,0.552244030392942,0.461538985001462,0.480322952568229,0.345730452352658,-0.237456495322114,0.76058773235954,0.380788747586552,0.319535076143893,0.631515513770046,0.907932428528694,-0.743131233627642,0.531125825184097,0.369094253795083,0.461538985001462,-0.113921129179972,0.745047907421121,0.138742073980298,0.925049965943655
"PTHR10037_SF161",11.7600059477572,0.00136834541505105,0.00525771702943202,0.942540168148695,0.395052872607194,0.533058714686726,0.64226494809547,0.183551049696852,-0.273078561477849,1.03416722998921,0.517756502699533,0.4344702005053,0.621045542220646,0.354512302095357,-0.628532316279119,0.537925767599718,0.724728849071056,0.533058714686726,-0.0965317148710934,0.788707611965922,0.0546207744461433,0.988590481789367
"PTHR10037_SF188",16.558579681112,0.000203503763257748,3.56904111632863,0.0657834459311359,3.27451999983546,0.0775238163482843,1.6081334364818,0.106574190751393,0.636786084438332,0.837626711396976,0.419358363023295,0.351900383899263,1.91986885637851,0.254136319073415,1.80956348322889,0.0616835948681695,0.800630351173499,0.0775238163482843,0.268934733769385,0.290556171154857,0.0391839694866227,0.422280691738068
"PTHR10037_SF189",1.20655326472161,0.278272993074158,0.580603701952395,0.450333717395529,4.22843118615509,0.046000517669486,-2.67694469627149,1.03732654597142,-2.34978167899402,2.71999845508969,1.36176901241598,1.14271487230286,-0.984171403208837,0.761749266221771,-2.05631495305439,0.330667030167442,0.450466154699695,0.046000517669486,-0.302437093629404,0.215852599370778,0.116736825786339,0.876660540441925
"PTHR10037_SF200",8.60704666829022,0.00540560314707751,7.89978557703467,0.00747903217717375,13.6810092185885,0.00062302486144021,3.3005441597636,-0.171251199622821,1.91368297910162,1.23152066583335,0.61656162993168,0.517381536655943,2.68005584585962,-0.277751957483629,3.69878482999329,0.0104694887449357,0.782565478079218,0.00062302486144021,0.495684705282934,0.0184388204047323,-0.0428187505190855,0.0969226301581075
"PTHR10037_SF22",18.973543373544,8.35208770595504e-05,0.351144687777202,0.556643057774012,0.960961188683967,0.332558069483192,0.631855140835066,0.0685820685217369,-0.298222728594683,0.72413342314282,0.362537873742316,0.304220037554984,0.872567293044897,0.189172148591801,-0.980286278943028,0.387860268231205,0.850869113023003,0.332558069483192,-0.149560162762155,0.646658071139941,0.0291774685622597,0.919930581503952
"PTHR10037_SF28",13.7589802250299,0.000603872431769898,0.447324089402854,0.50726816318948,0.2765325867066,0.60174870883399,1.27703237808247,-0.0980630616705821,-0.262658503285843,1.18891028701627,0.595228715800119,0.499480234727765,1.07412005096478,-0.164748539624409,-0.525863657906305,0.288901314467305,0.869932282864761,0.60174870883399,-0.0808767103105733,0.827869047169405,-0.0254130414292818,0.905038370558318
"PTHR10044_SF79",32.7146354730861,1.00434991656346e-06,2.07921657303692,0.156732519860826,0.313480369713065,0.578526447715605,2.47133116692226,-0.439041993154033,-0.28292611258634,1.20281444459085,0.602189841418918,0.505321593798242,2.05462378510337,-0.729075721569023,-0.559893177055289,0.0461713449794355,0.470001675579353,0.578526447715605,-0.0860727742133738,0.817634987337074,-0.11179362121796,0.61709676600479
"PTHR10046",142.416966245699,4.44018386586629e-15,0.123960175786344,0.726538949801918,0.00116503574251226,0.972933100166689,1.92022320037177,0.0634677171569402,0.00742428379963853,0.517744766645016,0.25920925735764,0.217512860639741,3.70882203757424,0.244851275004317,0.0341326199186682,0.000604747580036857,0.807763960451298,0.972933100166689,0.00526670455052265,0.993524581569436,0.0377544356385988,0.95697193961194
"PTHR10048_SF15",8.10843533905302,0.00679112856320702,6.41092433670839,0.0151702531542498,11.7688183159134,0.00136330632183408,-0.805597532703187,0.17454559501494,-1.59817008024343,1.10888713345342,0.555165071427901,0.465861227506002,-0.726491911033638,0.314403055952356,-3.43057113552735,0.47156697510533,0.75477146525053,0.00136330632183408,-0.467844128249606,0.0256177651566458,0.0484564558331351,0.166349672519015
"PTHR10048_SF35",37.8870160955848,2.37468374076978e-07,1.13406255224539,0.292994554294458,1.25326633774149,0.269291067276692,1.92520591417242,-0.435507642105678,0.266136064358411,0.565864984036683,0.283300675789174,0.237728933913243,3.4022354598418,-1.537262983551,1.11949378637913,0.00147867989661774,0.131729235566719,0.269291067276692,0.170220645344038,0.582259730089345,-0.230800554257682,0.779743693244748
"PTHR10048_SF54",39.4095630322509,1.58250889289721e-07,0.0853546700064762,0.771606298665892,2.45410888282452,0.124721988977452,0.33931287159776,0.35409676189857,-0.374688051846278,0.569316418194018,0.285028638566159,0.239178936627392,0.596000502978863,1.24231994258492,-1.56655956887203,0.55437351935681,0.221010577900802,0.124721988977452,-0.234958390884369,0.382074790965862,0.188266259302006,0.96291230816332
"PTHR10052",2.17605390194868,0.147631097980146,4.32839849340538,0.0436191184890927,2.03198699034515,0.161409138178232,1.52600030620573,-1.82352674428838,-3.35836273968543,5.60786976221882,2.80758367842615,2.3559558157961,0.272117643759606,-0.649500407877636,-1.42547781124265,0.786864860000319,0.519551478183585,0.161409138178232,-0.214820795058806,0.443955673472263,-0.0997205401254709,0.340900062260305
"PTHR10055",1071.71390847476,1.59103799174933e-31,0.247483244327594,0.621447390775869,4.95122765391829,0.0314982108075171,1.63260745834021,0.176058681145678,-0.179915601317223,0.19246118464411,0.0963558184567342,0.0808560231430721,8.48278815990425,1.82717228669209,-2.22513542372555,1.19837339847027e-10,0.0747853096259662,0.0314982108075171,-0.324737895195453,0.177161365276568,0.271359884185,0.927654748907047
"PTHR10057",40.2725627645736,1.2617222522172e-07,0.656343500517908,0.422420487704782,0.676930219250696,0.415292821253571,0.921224467281901,0.536641267038426,-0.321992973779787,0.931547965403425,0.466380100507707,0.391358205493858,0.988917910290262,1.1506521535851,-0.822757691699504,0.328366524109037,0.256384533806698,0.415292821253571,-0.125943385856688,0.71119325727517,0.174815436591247,0.858345381687403
"PTHR10060_SF15",26.305170760231,6.99940870551526e-06,2.21312006525095,0.144311644920145,15.1020259475477,0.000355551764078747,-0.596485629036259,0.490735900333952,-1.1402530898427,0.698416400912536,0.349662629677643,0.293415905030975,-0.854054441242937,1.40345538436969,-3.88613251801167,0.397919985287838,0.167831646506998,0.000355551764078747,-0.514270778101116,0.01737277930623,0.211651779343676,0.601933407035286
"PTHR10060_SF19",16.7359418390829,0.000190347200861749,3.89877469693127,0.0549204091005316,1.16057384943778,0.287495560655211,1.28586586492481,0.39911397247783,0.453277945481168,1.00151850017747,0.501410894683042,0.420753946715577,1.28391623788971,0.79598185183057,1.07729933140134,0.206209244660481,0.430518714925427,0.287495560655211,0.163980718566094,0.604530339648344,0.121906602732339,0.386149010895056
"PTHR10061",7.439655159726,0.00927261046193816,0.426903794226456,0.517073318459441,0.979064344533332,0.32809635275217,0.668058916601302,0.135177391425926,-0.75311180397459,1.81169303577479,0.907025307867902,0.76112123231302,0.368748404618997,0.149033759315582,-0.989476803433679,0.714167621993411,0.882240308110497,0.32809635275217,-0.150930544582139,0.64373532144161,0.0229903300800739,0.909813726143198
"PTHR10063",156.523862508927,9.35197791347314e-16,0.393884142983212,0.533662309246615,7.95977755136641,0.007273948243078,1.63478740093651,0.557393839845569,-0.968798700498219,0.817360902332977,0.409212272409438,0.343386393248515,2.00008025374149,1.36211418236222,-2.82130777324389,0.0519854462677318,0.180422871869389,0.007273948243078,-0.39915375336988,0.0791410014488692,0.205684800202488,0.909819924721741
"PTHR10064_SF1",6.95611293183118,0.0116622493153954,4.1989173625557,0.0467305132183479,0.179013749710553,0.674380849488549,4.99223812059586,-2.12305287379805,0.411861540203821,2.31706822781741,1.16004172957933,0.973437436742987,2.15454946930862,-1.83015215717105,0.423100165103434,0.0369792427036757,0.0743300750368874,0.674380849488549,0.0651470844698563,0.866237631750086,-0.271769773737811,0.349946227864857
"PTHR10064_SF2",1.85404509104113,0.180573517770761,1.77314882490294,0.190175047033086,8.78924529054142,0.00497721708058464,-8.04487935391781,2.68608340091533,-7.2518948415869,5.82245958958004,2.91501821638826,2.44610843581386,-1.38169775678908,0.921463675874868,-2.96466613475133,0.174370458797067,0.362071390169855,0.00497721708058464,-0.415996726124857,0.0608751935240737,0.140769118660149,0.676272327258186
"PTHR10066_SF51",2.91780952268163,0.0949888698728134,0.445388820222396,0.508183364905594,0.289384062868766,0.593454870294182,0.786154315386032,-0.146423676447976,-0.42430188421317,1.87745023082742,0.939946690745345,0.788746882102252,0.418735102788617,-0.155778703079285,-0.537944293462405,0.677543417565085,0.876953783659005,0.593454870294182,-0.082722114094083,0.823545630680143,-0.0240302345760011,0.905038370558318
"PTHR10067",10.129620372859,0.0027456317789784,0.535326566109778,0.468438984844633,0.11285911255675,0.738584825738524,1.09642771417701,-0.169258880874687,-0.141941783211202,1.00570988581199,0.503509314652908,0.422514814884878,1.0902027807868,-0.336158390617589,-0.33594510348679,0.281839284407634,0.738425147002719,0.738584825738524,-0.0517679481441827,0.898175417377543,-0.0518007267700045,0.88510201887899
"PTHR10068",2.88466911350616,0.0968241688443982,2.00644975901702,0.164006097095128,1.09600657267791,0.30113185153264,3.15074901698215,0.827129748715383,1.85151175698729,4.2096953968233,2.10758676438848,1.76856039341253,0.748450593209132,0.392453474604817,1.04690332537341,0.458359387733978,0.69670783868564,0.30113185153264,0.159473330727639,0.618112747882787,0.0604461551105649,0.633601145686321
"PTHR10071_SF150",7.80380624339034,0.00782005578754966,0.0996128338995972,0.753857759631242,4.49058155865153,0.0400371196503667,-1.36036988471791,1.11161342050608,-1.22008913020544,1.37047475948869,0.686129088153619,0.575758374734731,-0.992626734129309,1.62012285982139,-2.11909923284671,0.326576457166592,0.112691147354096,0.0400371196503667,-0.310791265473653,0.199173829885218,0.242526845441168,0.959055477687567
"PTHR10072_SF41",4.9618714406262,0.0313259349946057,4.32824484175673,0.0436226736661106,1.80296932847816,0.186566155641034,1.2941962909691,-0.782188394299814,-1.25300472791788,2.22120845532112,1.1120494715402,0.933165212513555,0.582654134900634,-0.703375537076127,-1.34274693389267,0.56324143229921,0.485702865749057,0.186566155641034,-0.202881474962113,0.480905190519035,-0.107899563098188,0.340900062260305
"PTHR10073_SF9",3.46272342538152,0.0697769785645021,0.389258483786551,0.536063607467322,2.25638907305818,0.140545908259913,-0.61905391254474,0.452057961889038,-1.12743743894595,1.78655436388475,0.894439615280799,0.750560074020838,-0.346507178879599,0.505409145755602,-1.50212818130084,0.730691629459267,0.615913663251065,0.140545908259913,-0.225797435818246,0.408017405018596,0.0777502493622958,0.909819924721741
"PTHR10075_SF12",25.4532229240142,9.19391713136026e-06,0.0217455512730001,0.883471649730996,0.697888403158639,0.408221414891878,0.702095398678592,0.151058066464139,-0.244878799338005,0.697732534324395,0.349320251421282,0.293128601735093,1.00625291804462,0.432434323087561,-0.835397152951001,0.320056259196516,0.667638104664917,0.408221414891878,-0.127846779341244,0.704629364994999,0.0665780144008311,0.981057999459643
"PTHR10078",71.0550249788357,1.41927666202291e-10,0.556560695719183,0.459804720343785,0.440303685441866,0.510601979344252,5.10162056705537,1.40002312913857,-0.780895619328983,2.80122248606265,1.40243387685203,1.17683838733925,1.82121220018697,0.99828102575583,-0.66355383010112,0.0757029117661411,0.323860071261515,0.510601979344252,-0.101856070812587,0.773764143185168,0.152242510177172,0.879201070259577
"PTHR10082",440.565604147658,6.92020172354109e-24,1.86742291977597,0.179042080994253,1.82447131502807,0.184014824429154,9.67940126897004,0.104853563324466,0.75891987907282,1.33739035455251,0.669565359100019,0.561859086854209,7.23752884565163,0.156599444549226,1.3507299193503,6.66141397248037e-09,0.876310889144495,0.184014824429154,0.204037586153578,0.476938736169355,0.024156767476096,0.654429675358303
"PTHR10083_SF204",16.1751741951308,0.000235325696463351,0.46558424788736,0.498771841085718,3.98040297506144,0.052547258999704,-0.547686850966041,0.748430468861298,-0.689395948031305,0.822500144751047,0.411785237500328,0.345545471218765,-0.665880552679798,1.81752622654595,-1.99509472834285,0.509128370684783,0.0762751460635069,0.052547258999704,-0.294223348988793,0.231096136919975,0.27003202940831,0.900796326364508
"PTHR10093_SF3",7.1471522662767,0.010647643901857,2.41926578388661,0.127355094903962,0.3776600331274,0.542173295332791,1.82470534109136,-0.658730247155852,-0.435769942179953,1.68786432945554,0.845030384746688,0.7090988114678,1.08107346618312,-0.779534391953631,-0.614540505684857,0.285833001660128,0.440035707005988,0.542173295332791,-0.0944021808056864,0.792642832365045,-0.119423932509706,0.571645996018435
"PTHR10098_SF99",0.95258016342249,0.334651701174397,19.7194919645152,6.39502178838349e-05,18.8936738700266,8.59617398306934e-05,4.93176945405159,0.727152089371453,4.94231423966735,2.70646817964775,1.35499507113237,1.13703058709861,1.82221593852009,0.536645560462278,4.34668538889423,0.0755477150953208,0.59434389688032,8.59617398306934e-05,0.557021705680533,0.01737277930623,0.082523763785567,0.00255640501518247
"PTHR10104",84.6679376072634,1.26668093326129e-11,0.165587024978273,0.686130316544486,1.4773585528799,0.230976565137939,4.25866967328413,0.47844678769074,-1.00983112393273,1.97759144282157,0.990082454280153,0.830817807569885,2.15346283416759,0.483239335898138,-1.21546639315116,0.0370698246568195,0.631435503760662,0.230976565137939,-0.184336518117876,0.543176566051229,0.0743590166126552,0.942851502135053
"PTHR10106",102.964892684925,7.24088587781194e-13,0.0256753255934538,0.873463975061146,1.59703609786544,0.213293216633322,2.11761020444094,0.323050728243009,-0.488123768323462,0.919397602079905,0.460297013132196,0.386253643449829,2.30325835052254,0.701831033064361,-1.26373893580337,0.026284259701821,0.486655742861732,0.213293216633322,-0.191394248881406,0.518281910213328,0.107665381776711,0.980157457356889
"PTHR10108_SF734",11.4379506711571,0.00156669527153021,0.842041359908724,0.364053224925323,0.520491531834057,0.474629373413426,1.10301436849519,-0.135149999901892,-0.361938387621532,1.19414919700331,0.597851579524854,0.501681184638471,0.923682209277686,-0.226059451092031,-0.721450990597461,0.36092827610619,0.822251713317075,0.474629373413426,-0.110638860938242,0.752345793593214,-0.0348605290261596,0.818446752599724
"PTHR10110_SF94",30.6577791196235,1.83556730401275e-06,2.70668623862291,0.107393192941276,5.03811529284604,0.030121347717191,0.826715706824456,0.126217893118727,-1.10889803412399,1.17594860252743,0.588739439950501,0.494034823680646,0.703020272355119,0.214386678645717,-2.24457463516944,0.485921952582946,0.831283030070164,0.030121347717191,-0.327272184041821,0.174400072076845,0.0330624970910418,0.535083609330748
"PTHR10113",2.04613357344941,0.159991367525227,0.3231279565283,0.572760899384143,4.56102139720764,0.0385824310694656,-2.84072853174706,1.32222857857531,-2.46765726328683,2.75032845796204,1.37695374826786,1.15545699180457,-1.03286882827515,0.960256348652675,-2.13565479354872,0.307576354313708,0.34242200602108,0.0385824310694656,-0.312982319995737,0.195992422237021,0.146570559376843,0.925049965943655
"PTHR10114_SF1",1.98657311169636,0.166061537456985,1.08566615639414,0.303394254381869,0.670345189187734,0.417552771165817,2.08521550732378,-1.00847932926692,-2.69618680521806,7.83847374767046,3.92433702829504,3.29306824085062,0.266023153798721,-0.256980815356999,-0.818746107891655,0.791522975755764,0.79844836427999,0.417552771165817,-0.125338984119423,0.712459589102366,-0.039621862995256,0.782767915981136
"PTHR10117",240.566017356824,5.44104899255384e-19,1.52322881413978,0.223992939643819,3.73680332958563,0.0599865315032646,5.6427488203823,0.229368208312379,-1.15108670672283,1.41738781710661,0.709616141251839,0.595467300872128,3.98109025086807,0.323228566796337,-1.93308130444263,0.000266512930336435,0.748126021845399,0.0599865315032646,-0.285836191702769,0.248730512772814,0.0498133327974189,0.717638637995547
"PTHR10119_SF17",21.0688071876652,3.98147741307423e-05,0.291738849435031,0.591961097952547,0.829921684667562,0.36749430853383,1.45935521552375,-0.0679254793452703,0.282491037243195,0.738102871327352,0.369531687147853,0.310088826255381,1.97717048966271,-0.183815033210109,0.911000375777948,0.0546107620171144,0.855043154300535,0.36749430853383,0.139201820788857,0.679133424889966,-0.0283518734981259,0.9257029044302
"PTHR10122_SF0",4.82032482184793,0.0337031185685379,0.0856447601699895,0.771229692605693,2.40992208085916,0.128072030903171,-1.04966109122525,0.954452206259878,-1.57494368558926,2.41487306090173,1.20900778347893,1.01452681204738,-0.434665121003629,0.789450836712923,-1.5523923733577,0.666030716992322,0.434282860147425,0.128072030903171,-0.232949345651684,0.387535136517758,0.120921046535732,0.96291230816332
