"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.2699030041783,0.266182239989694,0.0193253868341837,0.890102129104313,0.435162031067299,0.513068098593843,-0.666684883210715,0.721559616919487,-0.742879766646749,2.67988712468711,1.34139576419415,1.12614167938452,-0.248773493879356,0.537917023581007,-0.659668121912298,0.804748498699474,0.593473530963455,0.513068098593843,-0.101265745710806,0.792441081002022,0.0827179493748759,0.980355901800153
"PTHR10003_SF33",9.67957199614865,0.00334464988225963,0.145142801750951,0.705141321034581,0.0297071918157054,0.8639841662577,1.47803710007583,-0.125150036957433,-0.103929506274936,1.43493270372297,0.718243926375213,0.60298715938009,1.03003931560067,-0.174244476509578,-0.172357743706819,0.308887014057034,0.862510527545265,0.8639841662577,-0.0265859765899495,0.957663608868573,-0.0268767937876123,0.947728621712576
"PTHR10010",61.5732312353277,9.1663063207323e-10,2.07232693742224,0.157404712248555,0.16604256278791,0.685722704328414,5.23178411133434,-1.00814267339297,0.254817718674982,1.48813859103428,0.744875701725793,0.625345327654396,3.51565650058047,-1.35343745413795,0.407483205528658,0.0010663167772288,0.183155611458399,0.685722704328414,0.0627521041142741,0.882598615492379,-0.204429502982438,0.621020022292972
"PTHR10015_SF142",20.4860303971705,4.87887161743756e-05,5.79485459555432,0.0205460579225866,0.191812266209548,0.663656805528258,0.588063407247909,0.648458835137665,0.155996745063699,0.847619263777534,0.424268947601028,0.356186412627565,0.693782494544923,1.52841455591857,0.43796377271362,0.491638163895632,0.133906721611255,0.663656805528258,0.0674254879690106,0.873455260303285,0.229542263981577,0.209003003005622
"PTHR10024_SF10",58.0988696599742,1.89761308389484e-09,4.78724673272775,0.0342864284600934,1.2993978329676,0.26078245443547,2.22010291194603,-0.606397346305624,0.241916590317148,0.505031019203901,0.252789180449479,0.212224042896567,4.39597337099344,-2.39882634702721,1.13991132680029,7.36258010944614e-05,0.020964858070002,0.26078245443547,0.173232806268688,0.592208451992085,-0.34713008926373,0.290765810144119
"PTHR10024_SF173",3.4075143853019,0.0719563307699859,19.7770491260428,6.26557376732963e-05,10.9994640196974,0.00188697330340637,2.48211135852592,1.15392914443486,2.72854048584508,1.95779903588293,0.979960428065924,0.822705954238281,1.26780701851073,1.1775262667619,3.31654398730025,0.211850509123992,0.245615184961737,0.00188697330340637,0.455564655987323,0.0320707808356721,0.178769306039525,0.0024179049327597
"PTHR10024_SF185",8.03072129259821,0.00703912626443318,20.0140925930098,5.76079392633872e-05,20.6071713547398,4.67621354630712e-05,2.39084711724957,0.182957699694003,1.76641054116839,0.925989210493161,0.463496388785416,0.389119017361026,2.58193841802569,0.39473381912088,4.53951223753607,0.0134031778954332,0.69503683098918,4.67621354630712e-05,0.57371624857652,0.0174208608905918,0.0607960820735746,0.0024179049327597
"PTHR10024_SF188",9.68440521954985,0.00333752715184186,20.9193849725644,4.19363634057323e-05,14.7667799734291,0.000405240593620481,1.99172128841248,0.45133888864073,1.56969717063005,0.972067545045356,0.486560525412682,0.408482046713208,2.04895359233452,0.927610985823237,3.84275681944995,0.0467481434680029,0.358909709265138,0.000405240593620481,0.510030058505348,0.0174208608905918,0.14168943178628,0.00232348383418165
"PTHR10025_SF29",3.14363935532239,0.0834757790448979,1.1606042047933,0.28748934191011,5.56889589594378,0.0230045171434353,-2.14795915377178,0.89744076639504,-2.41414249855951,2.43445539470483,1.21854690240281,1.02300640251767,-0.882316085332184,0.736484385316159,-2.35985082069689,0.382627969309262,0.46552995855477,0.0230045171434353,-0.342155097050782,0.151047147539567,0.112915224662759,0.768499017533174
"PTHR10025_SF30",5.80818275749345,0.0204101674688076,1.90345861442144,0.174993168449691,4.1456881060644,0.0480793643925367,-0.449780625732745,0.246012692311429,-1.42129528107654,1.661152373872,0.831476347442472,0.698049147963351,-0.270764219349936,0.295874552617325,-2.03609629096082,0.787898628173657,0.768783875710666,0.0480793643925367,-0.299731750161408,0.223745121623618,0.0456069294921398,0.648427197957131
"PTHR10026_SF45",6.42733128896953,0.0150495797358359,0.0939787018410138,0.760693390769904,0.603338224727446,0.441660010614481,2.36028592507507,-0.548902088337265,0.482944464314718,1.47958609660796,0.740594820008398,0.621751400004438,1.59523391743553,-0.741163823331955,0.776748495156216,0.118158256578512,0.462718212031115,0.441660010614481,0.1190031906299,0.745989192746309,-0.113623426398738,0.958376960284809
"PTHR10026_SF60",1.88633869432704,0.176903001603398,2.88782128173369,0.09664789317802,0.914291837705265,0.344449910121709,1.25328860804535,-0.937249401725682,-1.15003641819535,2.86215165607494,1.43262679706648,1.20273284756415,0.437883368404058,-0.654217416318642,-0.956186089474881,0.663714627941287,0.516538269612989,0.344449910121709,-0.145962551409055,0.679094670541807,-0.10043748269504,0.513297601171317
"PTHR10029_SF5",20.7165978899241,4.50075315561106e-05,0.123158645138341,0.727387893685535,0.306228784306481,0.582937632754514,3.2685418668571,-0.494772987604018,0.366015821613522,1.57398403714593,0.787844943500468,0.661419285382362,2.0766042029142,-0.628008076571128,0.553379421650716,0.043993680927001,0.53339876331957,0.582937632754514,0.085078700593619,0.828160881353765,-0.0964519500320192,0.955723245945902
"PTHR10030",194.267271915377,2.37073555854603e-17,0.359838425531881,0.551818825817036,20.9179811239722,4.19568503016489e-05,0.499975005589786,0.664219492834808,-1.00018943254375,0.520410257583893,0.26048713348243,0.218686703647222,0.960732418901617,2.54991286500379,-4.57361794687446,0.342185333659111,0.0145128508376141,4.19568503016489e-05,-0.57659715339794,0.0174208608905918,0.366138389934666,0.915265763302956
"PTHR10031_SF3",24.9029767853296,1.09865769435374e-05,0.539298553709502,0.466803959831523,0.0549831068637917,0.815748031677148,3.28199602165522,-0.545611414959719,0.151725285124422,1.53980878815412,0.770738799806732,0.647058168476175,2.13143089382519,-0.707907030366883,0.234484768937754,0.0389490831555027,0.482913220314879,0.815748031677148,0.0361581254117365,0.939838908875084,-0.108586534958,0.878072568115353
"PTHR10032_SF11",93.0666191227797,3.24327152368531e-12,3.39646790935806,0.0724014053129275,0.0873466154338647,0.769034126731539,0.721288754740782,0.287640641173621,-0.0450489024371929,0.362730975254883,0.181562047620092,0.152426744348798,1.98849506644407,1.58425532727794,-0.295544608196233,0.053299048340221,0.120637393753465,0.769034126731539,-0.0455561765468827,0.917912523476104,0.237463594759172,0.443646593386341
"PTHR10032_SF206",36.8630278933805,3.13429245801016e-07,0.00680339259514751,0.934654742527172,0.0837686253513848,0.77367776725013,1.30810328070364,-0.0743732449217836,0.0716493605512802,0.589108235827667,0.294873349295777,0.247554955551226,2.22048038229482,-0.25222097927603,0.289428100486779,0.0318361118051076,0.802100500444663,0.77367776725013,0.0446152552767485,0.91924314693413,-0.0388891014314633,0.984006911422036
"PTHR10032_SF26",5.94278692537872,0.0190907278625457,4.67185074048325,0.0364088498791599,13.7457121482272,0.000607087183635724,-1.96744002263511,0.618073948682633,-2.39468705161273,1.53705218713932,0.769359005527055,0.645899790099862,-1.28000860289383,0.803362207035215,-3.70752102465073,0.207567163555322,0.426288746969346,0.000607087183635724,-0.49656703884362,0.0183239771882249,0.123019893767431,0.302332630440807
"PTHR10032_SF71",8.1374742095948,0.00670086275168895,0.322635037214558,0.573052690357495,2.99400093162404,0.090916175537622,-0.992787462487916,0.996767099982718,-0.925581190097806,1.27295199032273,0.637165794078277,0.534919653500434,-0.779909588134756,1.56437635109499,-1.73031815907481,0.439817222304292,0.125233581587475,0.090916175537622,-0.257957796848909,0.328507265940839,0.234648984987973,0.923162991141151
"PTHR10033",1077.40421537753,1.42942094601782e-31,0.25525189275063,0.616042154065209,5.17882531200646,0.0280279275173757,1.62149610546418,0.181371573545436,-0.184803515357643,0.193249361202682,0.0967294003402354,0.0812072113634945,8.39069322337134,1.87504081393538,-2.27570325657948,1.60491898153292e-10,0.0677515111803157,0.0280279275173757,-0.331315740519891,0.168739563625017,0.277926360265332,0.926228381479634
"PTHR10036_SF6",8.00752117691834,0.00711501704332501,2.58996053216864,0.115034825798765,6.60607044750745,0.013799617207854,2.22340685394624,-0.230759914534627,1.05213645861865,0.974145748587119,0.487600753339588,0.409355349026975,2.28241703787244,-0.473255861386898,2.57022770343552,0.0275938209456913,0.638481215781311,0.013799617207854,0.368660276398589,0.112796951801183,-0.0728310319643382,0.550579952225624
"PTHR10037_SF133",96.1439361041366,2.01135009740732e-12,0.723585187849851,0.399794048719544,7.46492034379814,0.00916307407628343,0.846631369156854,0.382682290519043,-0.762021647897366,0.663709738596972,0.332214526427985,0.278903985456,1.27560486146634,1.15191317680685,-2.73220064120447,0.209105523090716,0.255871717994553,0.00916307407628343,-0.388475766172651,0.0927536665074769,0.175001156184091,0.840245779855303
"PTHR10037_SF137",21.8151673075081,3.07827137953455e-05,0.316384092186785,0.576778938432551,0.599803647757166,0.442991166768567,0.454738244798867,0.357336838318804,-0.249095337935237,0.765393056163003,0.383111286301111,0.321633330641599,0.594123818000804,0.932723339395308,-0.774469914042609,0.555616184699789,0.356294062781612,0.442991166768567,-0.11865901875604,0.746249611557454,0.142454522084273,0.923162991141151
"PTHR10037_SF161",11.7720178711243,0.00136148160582563,0.00473880576292363,0.945444489280946,0.422279986023829,0.519340159837187,0.617363418291819,0.195179166154697,-0.284203448745189,1.04076472537412,0.52094634183614,0.43734996331751,0.593182496716441,0.374662706079792,-0.64983073644129,0.556240020037294,0.709796508841275,0.519340159837187,-0.0997707521469759,0.795164695704472,0.0577153431728907,0.986744717995384
"PTHR10037_SF188",16.5391283466982,0.0002050038140482,3.59238075009437,0.064941071826865,3.17076900344223,0.0822012419390439,1.59787379434954,0.110176993472571,0.63147472310553,0.843911954530046,0.422413284026496,0.354628527810886,1.89341291561553,0.26082748256009,1.78066532606277,0.0652057108681322,0.795500216692503,0.0822012419390439,0.264943677337956,0.310320959056902,0.0402139984807597,0.422372640385752
"PTHR10037_SF189",1.20769864537457,0.278048181898264,0.566116851517996,0.456002537451648,4.64953382239252,0.0368355736647902,-2.95530433378241,1.160781112705,-2.47814013830027,2.7349199938096,1.368942020472,1.14926758162273,-1.08058164058607,0.847940303786401,-2.15627777023103,0.286049275470521,0.401277833504514,0.0368355736647902,-0.315704703018993,0.195565310556893,0.129734273881728,0.873916243545768
