"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26863627343855,0.266417328673403,0.0188893697855697,0.891340892508665,0.409907718755547,0.525493987028823,-0.59115943738692,0.687722951132355,-0.707689624946476,2.64072254602844,1.32605138841633,1.1053499107567,-0.223862759938943,0.518624660507074,-0.640240360142616,0.823949487716091,0.606744385948131,0.525493987028823,-0.0983126458934587,0.788564876421808,0.0797705016248453,0.977009354413285
"PTHR10003_SF33",10.7860532101434,0.00206727184395581,0.239191272006383,0.627335223537255,0.00410469541395083,0.949220128237078,1.67735130365719,-0.224524667792051,-0.0361348164121981,1.34743671664691,0.67662175702632,0.564008156304019,1.24484607175561,-0.331831877205387,-0.0640678969059452,0.220089755478462,0.741666495498047,0.949220128237078,-0.00988540807478184,0.983148087282699,-0.0511357822086531,0.926583655467169
"PTHR10010",61.5537198769971,9.2031929509149e-10,2.07260009663748,0.157377996961293,0.152503362051608,0.698128216648488,5.20099442514198,-0.99467464859126,0.239659953571093,1.46615118138622,0.736234790220369,0.613699489156264,3.54737935021443,-1.35102913065754,0.390516788437588,0.000972331504494028,0.18391972057635,0.698128216648488,0.060148946234043,0.88156387283609,-0.204080901945169,0.625402504365524
"PTHR10015_SF142",24.8993216821758,1.09996432550655e-05,6.28575528600387,0.0161257559952913,0.432665728309535,0.514272994739357,0.746503644532557,0.569421466962863,0.209784599819055,0.761939254476537,0.3826114211836,0.318931456166918,0.979741679073111,1.48825005066856,0.65777331073063,0.332823724326916,0.144155482081312,0.514272994739357,0.1009778431003,0.779557624545292,0.223816263088463,0.172105795804291
"PTHR10024_SF10",59.9258441506994,1.29019822958074e-09,5.11738190615788,0.0289220119465831,1.38008373008987,0.246704493028649,2.22871752852391,-0.612166068220167,0.241180697317577,0.490470421051271,0.246292055100732,0.20530041558254,4.5440406451971,-2.48552909256369,1.17476964979943,4.60942836646605e-05,0.0170013313241209,0.246704493028649,0.178364132131939,0.566317744052915,-0.358092414412709,0.256271779838222
"PTHR10024_SF173",3.391376315154,0.072607580926634,19.6688535355864,6.51123459914586e-05,10.7655660141813,0.00208551473840794,2.32021071197292,1.22720796206892,2.65495733928512,1.93313465210633,0.970732761484784,0.809168770267086,1.20023233220968,1.26420783428782,3.28109219836646,0.236775391031506,0.213126552510714,0.00208551473840794,0.451692764287217,0.0349770614698703,0.191462661122311,0.00263267801699855
"PTHR10024_SF185",7.92867974571953,0.00737949848330805,19.7772835333367,6.26505224560207e-05,19.7955814449306,6.22448256874985e-05,2.2665923209241,0.239091588464192,1.70967402320381,0.918020067241564,0.460988143790635,0.384263542159869,2.46900084410429,0.518650190215692,4.4492225663514,0.0176998764570057,0.60672673403608,6.22448256874985e-05,0.565985649465587,0.0206922353867983,0.0797744034016527,0.00260031309870494
"PTHR10024_SF188",9.61335904658447,0.00344386759857445,20.7594458371014,4.43394594226871e-05,14.3601798109439,0.000475504817328304,1.89242321404919,0.496236469293504,1.52445140572642,0.961073580851084,0.482607670455399,0.402284821032054,1.96907214156625,1.02823991343785,3.78948278937165,0.0555658065789249,0.309722502938462,0.000475504817328304,0.504770253840337,0.0206922353867983,0.156700786361316,0.00247475479393668
"PTHR10025_SF29",3.21584003287259,0.0801316436451825,1.27492975066756,0.265251950389248,5.15353032238655,0.0283923280114641,-1.78091235968909,0.724394444134328,-2.26452460298652,2.383129367168,1.19669974827974,0.997526922047356,-0.74729990919689,0.605326812490475,-2.27013883328455,0.459046117666706,0.548218984948994,0.0283923280114641,-0.330594261817801,0.16834642972454,0.0929991597313829,0.742958598602196
"PTHR10025_SF30",5.81709178422324,0.0203198730247044,1.87288105232682,0.178421705694517,4.22421558129819,0.0461040181891006,-0.421182161329552,0.233215986255302,-1.4079306628604,1.63655732840719,0.821805047569701,0.685027853313759,-0.25735863572801,0.28378504968421,-2.05528965873382,0.798158664005063,0.777969420101667,0.0461040181891006,-0.302300079985887,0.219668770991234,0.0437470619707108,0.649366509033455
