"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.29261551027729,0.262011681470626,0.0122151979163861,0.912521547951204,0.511719601441431,0.478353434364306,-0.709535933547122,0.719405512056436,-0.792242464865703,2.63052254593176,1.31830491234663,1.10749580728694,-0.269731933924861,0.545704946798589,-0.715345791517243,0.788687365442721,0.58815563513842,0.478353434364306,-0.109713909347777,0.763998242988183,0.0839071620386995,0.985704441164637
"PTHR10003_SF33",10.1857288471946,0.002679335769011,0.0970602918551718,0.756927587526691,0.0015772277426582,0.968509065016339,1.66715753683421,-0.181309759599956,0.0229353823854403,1.3716986750524,0.687436457968245,0.577509032884369,1.21539633095478,-0.263747663508896,0.0397143266675667,0.231002992831123,0.793264158647011,0.968509065016339,0.0061279385860086,0.992373212507755,-0.0406634873458108,0.958914085301123
"PTHR10010",61.5445253567156,9.22062928092375e-10,2.0746021112106,0.157182359912364,0.143179247974905,0.707046572255022,5.18790463326849,-0.989062421148757,0.233766371685472,1.4673777695495,0.735386710468257,0.617791598097288,3.53549354564724,-1.34495552757402,0.378390338109874,0.00100657543689389,0.185857603031932,0.707046572255022,0.0582876291633331,0.89241139313,-0.203201412841962,0.63403294548551
"PTHR10015_SF142",20.4882010183353,4.87516025552448e-05,5.7496332926055,0.0210144299760273,0.220890434466055,0.6407935845122,0.606647552103713,0.640697145961115,0.165355031483928,0.835658619844233,0.418796206589912,0.351826833505759,0.725951408503142,1.52985422475063,0.469989823789894,0.471894793458713,0.133550485107634,0.6407935845122,0.0723310484906273,0.861204362645706,0.22974707062511,0.215085811759587
"PTHR10024_SF10",57.9730265477228,1.94923389964088e-09,4.78923428415968,0.0342510714082108,1.19621363201945,0.280313095591388,2.19271232099836,-0.593965056313156,0.229499118965695,0.498398339429921,0.249775840238289,0.20983438143538,4.39951771008392,-2.37799242611498,1.09371551695103,7.28087748742015e-05,0.022033891091337,0.280313095591388,0.166410809599863,0.610872170928874,-0.344474376573905,0.290817618630291
"PTHR10024_SF173",3.419724561812,0.0714679044838058,19.8020918065466,6.21011464825242e-05,11.1775012259207,0.00174929171988054,2.40425084336993,1.20337795093252,2.71279307477808,1.92727746198132,0.965868682446498,0.811417378620823,1.2474855804614,1.24590223578264,3.34327701902201,0.219130653728788,0.219705609948719,0.00174929171988054,0.45846733665281,0.0314492228769828,0.188789812589047,0.00259435243254134
"PTHR10024_SF185",8.01160144707332,0.00710160703234213,19.8831363685196,6.03414482043066e-05,20.3973773122549,5.03301807478321e-05,2.30844382839526,0.227578802170678,1.73905673612346,0.914590158519229,0.458353303462262,0.385058386027694,2.52401997429401,0.49651393466921,4.51634557050885,0.0154706909629211,0.62212068281052,5.03301807478321e-05,0.571747134790457,0.0182029898411426,0.0763898997395991,0.00259435243254134
"PTHR10024_SF188",10.8499573316462,0.00201144495778715,21.6699936594266,3.23539152024573e-05,13.6738089404267,0.000624825529354795,1.74486403315965,0.537345121961649,1.42170190388489,0.913195429098589,0.457654324983835,0.384471180649794,1.91072357302751,1.17412879683947,3.69781137166659,0.0628822230834495,0.246958234871882,0.000624825529354795,0.495586293266244,0.0191236653445378,0.178269925080778,0.00250041985520966
"PTHR10025_SF29",3.22335385271235,0.079792314090306,1.02795330489032,0.316445262685506,4.62963787146084,0.0372205968490608,-1.6527752926431,0.719660999245748,-2.12455342519352,2.34527666936553,1.17535193105192,0.987402325164324,-0.704725081791832,0.61229405442986,-2.15165932978732,0.484871125174636,0.543644153866556,0.0372205968490608,-0.31509570949823,0.198971069569123,0.0940601525168116,0.786469309080643
"PTHR10025_SF30",5.79966483623074,0.0204969019769209,1.78734824954279,0.188446280293792,4.01043859299282,0.051702597176797,-0.37847847711246,0.220735354652509,-1.37915162831085,1.63574657167669,0.819765922223533,0.688677796249126,-0.231379654810774,0.269266321846835,-2.00260794790014,0.818143431619808,0.789043198697781,0.051702597176797,-0.295234936917933,0.239619482974792,0.0415128792244447,0.682570441180972
"PTHR10026_SF45",6.70688660669057,0.0131440439050568,0.141749959390125,0.708442858318947,0.38105594619108,0.540371110578325,2.18716982740566,-0.493115244609422,0.372884398771564,1.43476171450888,0.719040944624922,0.604059670855839,1.52441329127209,-0.685795778801788,0.617297291579252,0.13490080805381,0.496610230360448,0.540371110578325,0.0948218632362125,0.803957193587258,-0.105233026821788,0.953322425897193
"PTHR10026_SF60",1.87776771475776,0.177868454828842,2.83730809634629,0.0995168699024477,0.86893191395993,0.356579030911383,1.33570463341382,-0.970850016393514,-1.10739775323254,2.82169911287662,1.41411439617666,1.18798447166672,0.47336891000122,-0.686542771234351,-0.932165175255936,0.638401241886684,0.496144021580103,0.356579030911383,-0.142371002308754,0.681355957864403,-0.105346378876204,0.524206696874676
"PTHR10029_SF5",20.3538288350153,5.11060531890712e-05,0.136111094892282,0.714031509043056,0.753573668179875,0.390280406457781,3.66588859385886,-0.657902346091924,0.570016665140881,1.55964096369755,0.78162506043499,0.656636009768992,2.35046954984298,-0.84171091664562,0.868086210108118,0.0235213843496883,0.40471704459479,0.390280406457781,0.132762874291031,0.706993276166611,-0.128797050067191,0.955658643145189
"PTHR10030",193.372112700897,2.5684544072195e-17,0.376918213149129,0.542568464664811,20.542244859572,4.78370551611296e-05,0.558367766518048,0.632212666671094,-0.981342673218357,0.514276490097524,0.257733287345691,0.216519359414008,1.08573457521296,2.45297250185275,-4.53235533244824,0.283789024120796,0.0184020762687915,4.78370551611296e-05,-0.573108986078862,0.0182029898411426,0.353993129659881,0.918346541706506
"PTHR10031_SF3",16.9559067695464,0.000175262654987384,0.233672130648627,0.631324894953386,0.729641233852064,0.39784551924845,1.60810925822674,0.169104051789743,-0.669544682505008,1.86176481479008,0.93303655761008,0.783835413128538,0.863755317240786,0.181240542410143,-0.854190396721986,0.39262844572719,0.857050594270137,0.39784551924845,-0.130674263592365,0.713112157753832,0.0279550931621482,0.934333729646475
"PTHR10032_SF11",92.997909282954,3.27846662380523e-12,3.3838237235366,0.0729146139948606,0.0675893238613275,0.796149890348992,0.733796477135959,0.28212549510332,-0.0391541056687282,0.357715859533601,0.179271823986745,0.15060460715161,2.05133895403101,1.57373026518757,-0.259979468153405,0.0465047322617977,0.123053552407603,0.796149890348992,-0.0400834632729957,0.927652247769862,0.235974120062698,0.451350192917291
"PTHR10032_SF206",36.8598383074601,3.13702170527516e-07,0.00703821557042688,0.933539254934449,0.0825779633418783,0.775246872689026,1.30454125402584,-0.0725909565966227,0.070263888113798,0.580764460488455,0.291054202277167,0.244511952960433,2.24624842389401,-0.249407004017401,0.287363817036659,0.0300053373555113,0.804261727286817,0.775246872689026,0.0442976732533059,0.920945169671122,-0.0384558693403083,0.98607299071595
"PTHR10032_SF26",5.85822570666123,0.0199085130422124,4.54554150804903,0.0388971049544882,13.0691612859267,0.000797492007023015,-1.79112953688686,0.535298113199489,-2.31856830457556,1.52333693977659,0.763431042996525,0.641351383396071,-1.17579341123937,0.701174150710984,-3.61512949780871,0.246299533598022,0.487061321498429,0.000797492007023015,-0.487157763204377,0.0204821704909327,0.107565778298986,0.316756026234218
"PTHR10032_SF71",7.84496042238781,0.00767184481915969,0.389632629557538,0.535868640462086,4.54148370585505,0.038980053394502,-1.45886835414949,1.19483781932453,-1.15555492940822,1.28792819876536,0.64545429340949,0.542240203348652,-1.13272491086693,1.85115790773197,-2.13107571565514,0.263755021340226,0.071187133766533,0.038980053394502,-0.312376797438958,0.20433079235852,0.274654970507066,0.914332190482596
"PTHR10033",1070.00483234197,1.64323379918564e-31,0.247008881696123,0.621780867182726,4.8803662652298,0.0326716708595661,1.63888205974662,0.172849684112469,-0.177795440921887,0.191158823923836,0.0958005917899988,0.0804811942589,8.57340522454568,1.80426530653764,-2.20915510212158,8.99815152470396e-11,0.0783641672225688,0.0326716708595661,-0.322649287353481,0.185573295335586,0.268204044401062,0.931160252685406
"PTHR10036_SF6",7.99463421792795,0.00715754804396481,2.57284719787025,0.116206452024131,6.50741326207493,0.0144751643831591,2.16807088250068,-0.201707298353934,1.03250442246493,0.961363577205134,0.481794131869621,0.404750809940665,2.25520389362334,-0.418658686379598,2.55096320280692,0.0293913666328694,0.677598835346871,0.0144751643831591,0.366268977580744,0.121803431987599,-0.0644660624277568,0.565310210729154
"PTHR10037_SF133",96.2778549888139,1.97044622830306e-12,0.741117878933352,0.39419111109567,7.4707861444865,0.00913784108833948,0.882021105843704,0.361891630429012,-0.752528870979152,0.653943084986562,0.327728185666445,0.275321428416182,1.34877350352566,1.10424323038647,-2.73327388757265,0.184637598177027,0.27577396369699,0.00913784108833948,-0.388605324140046,0.0928377712537684,0.167967637704027,0.842653417101699
"PTHR10037_SF137",21.8895305713887,3.00091341474429e-05,0.300004621781111,0.586778790904863,0.626306942779215,0.433159961832138,0.461132789586333,0.350877289083943,-0.251125500936734,0.753697614581932,0.377720871187345,0.317319822786766,0.611827317301671,0.928932753916878,-0.791395566565302,0.543950006786375,0.358232253784561,0.433159961832138,-0.121214551540867,0.729876300805171,0.141887265651643,0.925639983488019
"PTHR10037_SF161",11.7627584931603,0.00136676934271735,0.00548378714383232,0.941320108599873,0.399893810021243,0.530571841605076,0.646155460997102,0.180597782035965,-0.273247180837693,1.02632116885281,0.51434808670866,0.432099087381783,0.629584072322462,0.351119770254459,-0.632371575911855,0.532376834745814,0.727253759711801,0.530571841605076,-0.0971158143892249,0.800197099240934,0.054099614066144,0.986906351181662
"PTHR10037_SF188",16.5466517199847,0.000204422249855769,3.55393360418009,0.0663351539103351,3.22172108155123,0.0798659145262492,1.58483565690831,0.118280965212409,0.628593189569508,0.831812877676624,0.416868885799972,0.350207709072432,1.90527905907756,0.283736611777651,1.79491534105407,0.0636052396738032,0.77800628870428,0.0798659145262492,0.266913429808077,0.309218685923259,0.0437396092815926,0.429930817271529
"PTHR10037_SF189",1.19312728764568,0.280925808381757,0.509061302769533,0.47949156858244,4.18921208389198,0.046973326938597,-2.66231886776914,1.04522522755663,-2.32116715064925,2.69364388906377,1.34993861830119,1.13407099212127,-0.988370763699755,0.774276114029521,-2.04675647889337,0.328631161894654,0.443104495053952,0.046973326938597,-0.301159034980113,0.226644932194981,0.11862974395235,0.892717959311779
"PTHR10037_SF200",8.56357838532563,0.0055134885024071,7.80983433589428,0.00779815708452575,13.3143372066121,0.000722082393775539,3.22167013795245,-0.133025541366124,1.8837798551315,1.22622540609583,0.614531504016355,0.516262252965722,2.62730662889288,-0.216466593651778,3.64888163779152,0.0119638367012675,0.829672054406564,0.000722082393775539,0.490615110011693,0.0191236653445378,-0.0333829037349362,0.0998308964226439
"PTHR10037_SF22",18.9732021507697,8.35311486099841e-05,0.352036516197799,0.556144461930498,0.962981612441761,0.332056032009571,0.638554304883368,0.0645329564475492,-0.296918069940231,0.718666778229868,0.36016492067175,0.302571230555284,0.888526260329128,0.179176129444222,-0.981316265248753,0.379318370947172,0.858660997908977,0.332056032009571,-0.14971378512522,0.660121005942104,0.0276369164298446,0.922479079668423
"PTHR10037_SF28",13.761153762708,0.000603347514073543,0.449142170427232,0.506410997560327,0.282628489409007,0.597784395447814,1.27873145222941,-0.100230113659144,-0.264082565296247,1.17986331798838,0.591296816827218,0.496743006390369,1.08379626074789,-0.169508968773008,-0.531628149564154,0.284637760194519,0.8662101385501,0.597784395447814,-0.0817573827132693,0.841289323675651,-0.0261468593867618,0.905789253082716
"PTHR10044_SF79",32.7283684138552,1.00037386524985e-06,2.08589250943521,0.156084386622322,0.328176556369646,0.569789203946844,2.46743277850994,-0.439393396574427,-0.287853248595554,1.1934859094323,0.598123874533749,0.502478354651061,2.06741676546782,-0.734619391203778,-0.572866962190739,0.0448927405122957,0.466653318512563,0.569789203946844,-0.0880519537425882,0.82236591913445,-0.112632922211361,0.632060227354008
"PTHR10046",142.949107351082,4.17780914319853e-15,0.112556931665041,0.73892179595574,0.00190608201535292,0.965383370510414,1.89196439118737,0.0731737531389257,-0.00943019202895175,0.513038175349404,0.25711269718272,0.215998007337492,3.68776532058038,0.284597975676494,-0.0436586991944666,0.000643703599419949,0.777350737312415,0.965383370510414,-0.00673653068076138,0.992373212507755,0.0438721382237996,0.955875650051926
