"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28661115970908,0.263106071860038,0.0201886523398801,0.887690870069645,0.281184785602322,0.598718268297786,-0.362337318596223,0.599227782721924,-0.590626149206835,2.64654261324343,1.32401116147699,1.1138244879638,-0.136909686163023,0.452585144413329,-0.530268597601557,0.891756382745662,0.653176710614832,0.598718268297786,-0.0815496938248226,0.847770027004584,0.0696657312313825,0.980632864581699
"PTHR10003_SF33",9.67722488466824,0.00334811463677976,0.147407304702706,0.702962339299413,0.0319697936300445,0.858953702530369,1.47423161441859,-0.125041423536104,-0.107091639850032,1.42314051193305,0.711968102353817,0.598943219002899,1.03590025163162,-0.1756278450154,-0.1788009888956,0.306176404802231,0.861430357716534,0.858953702530369,-0.027579097154502,0.957841065965383,-0.0270900190935785,0.943977998487784
"PTHR10010",61.5512153532006,9.20793905954263e-10,2.06727105654944,0.157900145350852,0.153102408346822,0.697566120034751,5.2045063241931,-0.994974315766851,0.243123569928459,1.47638009845909,0.738602779022224,0.621349642729097,3.52518049357688,-1.34710340121387,0.391283028442101,0.00103722221666562,0.185170508985655,0.697566120034751,0.0602665373271983,0.892953720972989,-0.203512492375359,0.594938095689545
"PTHR10015_SF142",20.4803282353789,4.88863541650621e-05,5.76488277110594,0.0208552139888682,0.224162146229868,0.638338467755462,0.612146054014514,0.638200863333013,0.167532520438881,0.840775626996939,0.420622856730617,0.353849009476036,0.72807302490554,1.5172757569419,0.473457649879974,0.470608766354897,0.136688741390163,0.638338467755462,0.0728619210889239,0.866256100972393,0.227956634279906,0.204400865066253
"PTHR10024_SF10",58.0179215575777,1.93065112726008e-09,4.77627019937027,0.0344824083248009,1.24474860725764,0.270900751597571,2.20419380275657,-0.598400206415075,0.235376999961959,0.50128571405336,0.250782994074755,0.210971212398043,4.39708082828377,-2.38612753078744,1.11568302275227,7.33695551101239e-05,0.0216107477580838,0.270900751597571,0.169657919160923,0.622548127953623,-0.345512352189204,0.272694533138388
"PTHR10024_SF173",3.41716579696086,0.0715699531739626,19.7861473991907,6.24536489977938e-05,11.2000995000164,0.00173259095934489,2.46853714445028,1.17009310138122,2.73123237941428,1.93914302017563,0.970113607680116,0.816108144538323,1.27300416666879,1.20614028307399,3.34665497176156,0.210018034266268,0.234514001795295,0.00173259095934489,0.458833076772131,0.0311565052515238,0.18296965648429,0.00251094128766035
"PTHR10024_SF185",8.03636622189234,0.00702079160427495,19.9951643137587,5.79948523722856e-05,20.6669997569729,4.57940822965404e-05,2.35775550642221,0.204201925187187,1.75689026883751,0.918265038394502,0.459389225000396,0.386461219663247,2.567619813278,0.444507433074886,4.54609720056367,0.0138893489717319,0.65895794419501,4.57940822965404e-05,0.574274147412185,0.017138663495538,0.068428216340801,0.00248657711489078
"PTHR10024_SF188",9.75250890727503,0.00323885449246939,21.0197355552216,4.04988016426178e-05,15.1763971095938,0.000345425031953719,1.99142529823896,0.458233599675783,1.57554950569419,0.960970027218353,0.480753657815719,0.404434050356471,2.0723073996422,0.953156761734785,3.89568955508441,0.0444121767622574,0.345964339595837,0.000345425031953719,0.515200111370443,0.017138663495538,0.145509928477004,0.00236776936006192
"PTHR10025_SF29",4.33184576332883,0.0435394390630913,1.52745226161739,0.223363125905662,4.0212883356047,0.0514011557836561,-0.832334227882676,0.377032561596139,-1.74854227355483,2.07183735336896,1.03649786967293,0.871953909871993,-0.401737243770241,0.363756233975774,-2.00531502153769,0.689914428896022,0.717864796431847,0.0514011557836561,-0.295599177236717,0.24213574068474,0.0560405985399554,0.690972242891411
"PTHR10025_SF30",8.04713938765795,0.00698594146987425,2.48061120278663,0.12276101962875,2.98776964578889,0.0912417763764791,0.321590984313297,-0.052048832747376,-1.02478947551256,1.40871529701718,0.704751462251467,0.592872219980615,0.228286712719195,-0.0738541677956876,-1.72851660269402,0.820531191672975,0.941477052820595,0.0912417763764791,-0.257707064511473,0.342757481465139,-0.0113952055897072,0.544201047357458
"PTHR10026_SF45",9.07315176283667,0.00438003571647962,0.151987505569132,0.698613277849798,0.0404636865964909,0.84154772480901,1.6215390898489,-0.26252043536683,0.104029147101051,1.22880916843276,0.614748104258312,0.517156888381812,1.31960204359236,-0.427037405318327,0.201155876365795,0.194116209917619,0.671533347899425,0.84154772480901,0.031024084556581,0.950504804868983,-0.0657507143984684,0.942114286660177
"PTHR10026_SF60",2.01469070220773,0.163162708562893,3.01862456762666,0.0896422427405313,0.501562708604531,0.482726464465098,1.89486557988878,-1.18757976781813,-0.82239348731629,2.75917452887632,1.38035860613564,1.16122677996938,0.686750895986444,-0.860341481220447,-0.708210920986489,0.496014171013148,0.39448553259136,0.482726464465098,-0.108632599052177,0.786355516749762,-0.131599018887795,0.456601374353248
"PTHR10029_SF5",25.262523656357,9.77764027128314e-06,0.187516962185615,0.667207089565711,1.90050550155008,0.175320850889354,4.18374282586668,-0.866551716613768,0.820388721733134,1.41399295303902,0.707391765658781,0.595093375418188,2.95881448127078,-1.22499548154447,1.37858822769893,0.00505584786988734,0.227402870312587,0.175320850889354,0.208065370936001,0.498026812691186,-0.185732024946424,0.928862026974824
"PTHR10030",192.788143330686,2.70669037669552e-17,0.360315482906569,0.551556411195483,20.4424567300154,4.9540060828681e-05,0.538135232116952,0.64336868177814,-0.985980932099214,0.518160259979647,0.259224984405634,0.218073037391117,1.0385497956522,2.48189302915108,-4.52133351236285,0.304956400664815,0.0171528192940235,4.9540060828681e-05,-0.572171936221115,0.017138663495538,0.357635608502789,0.905612273403938
"PTHR10031_SF3",15.7740595730502,0.000274285680283398,0.148911481959394,0.701525590825616,0.310478790136185,0.580344102506067,1.9414661862105,0.0666089996926121,-0.45389255751836,1.93552694803227,0.968304560716517,0.814586283645786,1.00306853809722,0.068789306995852,-0.557206236627145,0.321572050578685,0.94548379545381,0.580344102506067,-0.0856627473315531,0.838973508551239,0.0106138226198109,0.94327368129218
"PTHR10032_SF11",93.0004108374863,3.27717826299936e-12,3.38098295400346,0.0730304723271601,0.0715448572506545,0.790409766998955,0.731437375025991,0.282946422659121,-0.0405165598343381,0.359919587088586,0.180060410950824,0.151475834090495,2.03222442252348,1.57139718367296,-0.267478704293733,0.0484866618188153,0.123594407529732,0.790409766998955,-0.0412377518577485,0.930052573629498,0.235643723748892,0.413772648691968
"PTHR10032_SF206",36.8637158077397,3.13370415378342e-07,0.00694133924631249,0.933997143714617,0.084727700940043,0.772422637478808,1.30743998117817,-0.0738071193163827,0.0715827780045003,0.584329707961706,0.292328206412571,0.245921125363954,2.23750386701861,-0.252480320739958,0.291080231104833,0.0306158406644063,0.801901396192015,0.772422637478808,0.0448694194413264,0.925550033296683,-0.0389290278484198,0.984606030179377
"PTHR10032_SF26",6.70683030974993,0.0131444005389662,5.15650383631689,0.0283492267526457,11.6744805261931,0.001418285582566,-1.3199467220704,0.356391814803137,-2.07203127763614,1.44091928416824,0.720862458620354,0.606425596872955,-0.916044872584468,0.494396414380115,-3.41679389577321,0.364873332637069,0.623602409318127,0.001418285582566,-0.46637456564593,0.0282020633148701,0.0760660030152972,0.247199597179525
"PTHR10032_SF71",11.0728476311437,0.00182888385414423,0.630890344169336,0.431494193649984,2.92259586590898,0.09472706012966,-0.771117707163607,0.93862491540548,-0.787273065930021,1.09421619981228,0.547413993778436,0.460512062937831,-0.704721523311293,1.71465276020215,-1.70956013813758,0.484873317257176,0.0937800549520377,0.09472706012966,-0.255065641282315,0.351067312451858,0.255775819123049,0.847819470278543
"PTHR10033",1071.61933683465,1.59388035265511e-31,0.24746302298712,0.621461598188811,4.94763478647386,0.0315565951490851,1.6334326842806,0.175341070194784,-0.179923670752545,0.1921992174278,0.0961533390122457,0.080889003588045,8.49864378294987,1.82355674796123,-2.22432794040669,1.13970049686321e-10,0.0753408206960175,0.0315565951490851,-0.324632471715283,0.186516980753231,0.270862358374006,0.919017021207524
"PTHR10036_SF6",8.00456158444515,0.00712476076285983,2.58340498410698,0.115482036126866,6.59152986373008,0.0138970233097165,2.19893938450194,-0.215992464907684,1.04426466147613,0.966450463729972,0.483495408156272,0.406740548034168,2.27527376417745,-0.446731160759799,2.56739748845598,0.0280559044915104,0.657364291212502,0.0138970233097165,0.368309419177894,0.118297023363412,-0.0687689257949928,0.523860954496601
"PTHR10037_SF133",96.0326975216942,2.04600279583012e-12,0.722356804850819,0.400191000081486,7.40714805615655,0.00941560364268231,0.868579356979304,0.369947838930181,-0.75450670464105,0.658718286423735,0.329543291360487,0.277228318341391,1.31859001773722,1.12260770778518,-2.72160762347487,0.194451568775865,0.267980790417955,0.00941560364268231,-0.387195784083273,0.0959185632170789,0.170680346954451,0.830963677415342
"PTHR10037_SF137",21.8069359615962,3.08696210016757e-05,0.314761183107329,0.577754321372058,0.586059344498679,0.448227889944606,0.466524619184385,0.350967852615008,-0.244643851475889,0.759321395354135,0.379872969951944,0.319568164195845,0.614396778543037,0.923908465136142,-0.765545128975868,0.542267338728302,0.360811828209215,0.448227889944606,-0.117310549750402,0.761968990057907,0.141135171648159,0.916163124556182
"PTHR10037_SF161",11.7606934393626,0.00136795158629536,0.0052165271426698,0.942765284004059,0.398832715064612,0.531115128958435,0.640644219908281,0.183659382738191,-0.274471651907787,1.03267636639162,0.516626873285206,0.434612395535482,0.620372694445232,0.355497153236163,-0.631532038034977,0.538364306483122,0.72399644719023,0.531115128958435,-0.0969880968374062,0.812085831191159,0.0547720588324436,0.986144581277149
"PTHR10037_SF188",16.5566575198717,0.00020365148098362,3.57097049706958,0.0657133539768034,3.2722353222443,0.077623560995151,1.60518829791198,0.109135816379953,0.636815482047401,0.836475987791605,0.41847183514128,0.35203946240419,1.91898909393665,0.260796085220663,1.80893209442596,0.0617980431676802,0.795524267942384,0.077623560995151,0.268847681154215,0.31291525173094,0.0402091655120019,0.393329134657104
"PTHR10037_SF189",1.57573029388766,0.216316250654532,0.685771526921018,0.412287441161802,3.24336488432757,0.0788964015143717,-1.65822576261192,0.649794240764883,-1.82007632995019,2.40134094414998,1.20134177951883,1.01062886127741,-0.690541577051607,0.540890404248775,-1.8009344475376,0.493652427575426,0.591440500076121,0.0788964015143717,-0.267744437249011,0.316197206069226,0.0831720253594369,0.835892576786868
"PTHR10037_SF200",8.59608260816184,0.00543260187820546,7.89871096289452,0.00748276144501608,13.6207105883853,0.000638275197254061,3.28643301189648,-0.161377178340963,1.91122524423768,1.23047875536797,0.615583364467694,0.517859551095012,2.67085717454234,-0.262153247887893,3.69062468809622,0.0107170366524591,0.794484826972503,0.000638275197254061,0.494859162867445,0.0181965142952539,-0.0404180699568945,0.0961139793061693
"PTHR10037_SF22",18.9759929460065,8.3447178560158e-05,0.351023650535404,0.55671079242763,0.967168506569187,0.331018952522158,0.63107667848474,0.0682813619111528,-0.299273846862697,0.723069132752148,0.36173670414098,0.304311029234884,0.872775022331177,0.18875983866028,-0.983447256628024,0.387748308286782,0.851190215637899,0.331018952522158,-0.150031587862174,0.680464407371593,0.0291139288075307,0.908129802863941
"PTHR10037_SF28",13.7598128694822,0.000603671288052818,0.447069634698398,0.507388332135283,0.279591938345351,0.599752199955371,1.27503059086612,-0.0977604173385564,-0.264196288820396,1.18720719406692,0.593935487025467,0.499648272588346,1.07397478488852,-0.164597703747519,-0.528764539606573,0.28896565990795,0.870050269599626,0.599752199955371,-0.0813199174215266,0.847770027004584,-0.0253897894707074,0.886589835957555
"PTHR10044_SF79",32.7193531570947,1.00298215559357e-06,2.07847152667473,0.156805048259001,0.321086822348209,0.573971107994476,2.46539185646337,-0.437158746901114,-0.286421716552593,1.20103822966567,0.600854871363318,0.50546920517666,2.05271722045821,-0.727561292644956,-0.566645235000003,0.0463645931458376,0.470918771557072,0.573971107994476,-0.0871029442105326,0.835601725682912,-0.11156429788272,0.594454548862133
"PTHR10046",142.313264493613,4.49329420701691e-15,0.126287000174298,0.724091867608406,2.86289149618456e-08,0.999865798409941,1.9047249166099,0.0699152408957604,-3.68288695818452e-05,0.517187564525716,0.258738364756557,0.217663668575176,3.68285134302604,0.270215980384442,-0.000169200812533054,0.000653136630691043,0.788317492558533,0.999865798409941,-2.61082521812599e-05,0.999865798409941,0.0416590347561914,0.950147514986805
