"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.28736621494229,0.262968131047082,0.0121991093536683,0.912578936047923,0.487711408533296,0.488798910039431,-0.669596266730308,0.702930025241979,-0.76823927063835,2.62066298530067,1.31494619979299,1.10005663843231,-0.255506438823336,0.534569418393422,-0.698363378574003,0.799579142545015,0.595766394880672,0.488798910039431,-0.107139542633699,0.773993986188012,0.0822066625313035,0.981645378281979
"PTHR10003_SF33",9.67605971439108,0.00334983604885378,0.144402420483257,0.705857972026555,0.0241170596405582,0.877331394032158,1.50168423815769,-0.134918823225493,-0.0920393076749695,1.41191090661298,0.708441677358223,0.592667570918661,1.06358285860973,-0.190444503108011,-0.155296682645053,0.293594723237694,0.849878378525504,0.877331394032158,-0.023955921424039,0.959450725996036,-0.0293735447829384,0.943540864927412
"PTHR10010",61.5473770492464,9.21521767946608e-10,2.07079190618023,0.15755493908925,0.14655318446927,0.703781928134536,5.19030804724864,-0.989856699178575,0.235350777856652,1.46458349871906,0.734870724210725,0.614777561762477,3.54387991656887,-1.34698072268658,0.382822654070094,0.000982295866442861,0.185209700746024,0.703781928134536,0.0589680271719646,0.889200432561789,-0.20349472633181,0.58443697585035
"PTHR10015_SF142",20.4874806184205,4.87639167744017e-05,5.77822635757654,0.0207169622504721,0.226629880385697,0.636501181159278,0.608154326155123,0.640605955207702,0.166637166656416,0.833891249174826,0.418414017862454,0.350036463876005,0.729296927815132,1.53103368400599,0.476056593679466,0.469867804855907,0.133259202204003,0.636501181159278,0.0732597401602932,0.855781132518875,0.229914837229636,0.189580237855102
"PTHR10024_SF10",57.9757307129175,1.94810931331039e-09,4.78079211728981,0.0344015249857369,1.20497442137305,0.278583267980191,2.19230807283089,-0.59385956837034,0.229212668190797,0.49744587188833,0.249598884904777,0.208809235182419,4.40712888923729,-2.37925569497997,1.09771326919786,7.1084165902077e-05,0.0219676969116292,0.278583267980191,0.167002140578629,0.601367639021957,-0.344635642784098,0.258699467892742
"PTHR10024_SF173",3.40707607008984,0.0719739329119075,19.7616449070135,6.29994613090266e-05,11.0070880703081,0.00188084836648021,2.35886220687559,1.21837026746096,2.68286600467961,1.92645509522084,0.966619828929226,0.808654042135945,1.22445740506875,1.26044410739081,3.31769318507727,0.227603571358558,0.214467071423129,0.00188084836648021,0.455689736600488,0.0310706557570861,0.190913455131551,0.00248157878070604
"PTHR10024_SF185",7.986550137474,0.00718436616638997,19.9098169434573,5.97736729243451e-05,20.2362305417835,5.32646871638978e-05,2.28747163726169,0.234793022857622,1.72543239869431,0.913753951075635,0.458485998486708,0.383559849325372,2.50337810804426,0.512105110368882,4.49846980003018,0.0162751854319284,0.611259934213711,5.32646871638978e-05,0.570220949323667,0.0165030294431864,0.0787739809937772,0.00246477842564176
"PTHR10024_SF188",9.64752818602048,0.00339228242886712,20.7868699022114,4.39173481459742e-05,14.5801229871553,0.000436030883763415,1.90821644790202,0.492780274422643,1.53607736891224,0.958359882357768,0.480867510400549,0.402283756632644,1.99112721956537,1.02477348492971,3.81839272301257,0.0529981024585653,0.311336372517063,0.000436030883763415,0.507631601267513,0.0165030294431864,0.156185420600376,0.0023666748414455
"PTHR10025_SF29",8.17914094558433,0.00657356795281386,1.97030650568505,0.167766314946586,9.51636368055793,0.0035948855354716,-1.38500293463996,0.678769721135101,-1.91423000855541,1.47827330127806,0.741739731767915,0.620524030601976,-0.936905870817348,0.915104978288372,-3.08486039887673,0.354163425285078,0.365360755606815,0.0035948855354716,-0.429796540228025,0.0458902672058967,0.139816774633468,0.60189348611965
"PTHR10025_SF30",7.1287196100963,0.0107412975513131,1.90957689801044,0.174316585191146,4.14407125386559,0.0481209979678157,-0.219511821516604,0.189007088812585,-1.25958199122129,1.47403896591339,0.739615107874016,0.618746614446834,-0.148918601606019,0.255547901605033,-2.03569920515424,0.882330613870035,0.799547336556111,0.0481209979678157,-0.299678545659972,0.216246145154865,0.039401277170383,0.614117032666594
"PTHR10026_SF45",9.85031276241322,0.00310252419400783,0.325877529230642,0.571138651826047,0.330955601676491,0.568166390848282,2.07583211497217,-0.477324384273983,0.284573356106929,1.17843462928305,0.591292411947592,0.494662932308563,1.76151656051985,-0.807256062532205,0.575287407889736,0.0854294784377378,0.424067182862003,0.568166390848282,0.0884210833874903,0.822919348087627,-0.123607076280307,0.915565944920764
"PTHR10026_SF60",2.08343016612656,0.156323076744355,2.8802352046276,0.097072736408265,0.69731143815528,0.408413660654617,1.56411908956199,-1.01875523897161,-0.937236036477707,2.67381720029454,1.34161690617577,1.12236879661237,0.584976074426364,-0.759348838168373,-0.835051757770307,0.561693552658557,0.451884967873467,0.408413660654617,-0.127794784486537,0.719529800915184,-0.116373953803841,0.463695135526255
