"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.41993931932492,0.240103560619966,0.00640571560999547,0.936589004004894,0.295694790870684,0.589469129163796,-0.245291831957163,0.52504373948259,-0.577108364471026,2.53455319171324,1.27232755011988,1.0612935675728,-0.0967791217636105,0.412663971186603,-0.54377825523892,0.923362152856974,0.681951861511015,0.589469129163796,-0.0836129902070292,0.829162366841493,0.0635467364300882,0.98537890965247
"PTHR10003_SF33",9.68556466224881,0.00333582087178156,0.150218318705736,0.700284107042947,0.023234458239634,0.879578869720307,1.51015911660943,-0.139890135700112,-0.0902437593093842,1.41389377155703,0.709764547209564,0.592039800107888,1.06808527414786,-0.197093721079885,-0.152428534860222,0.291582839406369,0.844704913720301,0.879578869720307,-0.0235137305438195,0.956596951134154,-0.0303981669869795,0.9475755746734
"PTHR10010",61.5536702259021,9.20328701554013e-10,2.07095976568372,0.157538503218414,0.152887533323588,0.697767594943324,5.20109459336844,-0.994425633403789,0.240142988600199,1.46672857235416,0.736287238814176,0.614163318530515,3.54605118588537,-1.35059468775441,0.391008354544488,0.000976101881670013,0.184057819959798,0.697767594943324,0.0602243847603552,0.88124064525421,-0.204018008747443,0.618781525923345
"PTHR10015_SF142",20.478053354991,4.89253641816457e-05,5.76687115699844,0.020834549663516,0.214976312665412,0.645288692696168,0.601366751797489,0.642473119940677,0.162184669810046,0.835372884376102,0.419351205131493,0.349795724000493,0.71987822808807,1.53206456087141,0.463655381361429,0.475587149936835,0.13300503103937,0.645288692696168,0.0713611811547141,0.856115436484812,0.230061452650858,0.212245560118971
"PTHR10024_SF10",58.0060757038237,1.93553621387037e-09,4.78244799301299,0.034371957992848,1.23058808232303,0.273604259443384,2.19786215042251,-0.596439627281301,0.231355903907633,0.498069688453342,0.250027416497207,0.208556742185084,4.41276030518449,-2.38549690124869,1.10931874694473,6.98339636576828e-05,0.0216432857485293,0.273604259443384,0.16871775218369,0.591236790521336,-0.345431934066321,0.288697509313687
"PTHR10024_SF173",3.39201682262594,0.0725816087860184,19.6564677974111,6.53999583455436e-05,10.7876003770075,0.00206590103848088,2.33236524947826,1.22143860491371,2.65946738127437,1.93374017944651,0.970723720901853,0.809715108964201,1.20614200101373,1.25827625163927,3.28444826066838,0.234513346531448,0.215242045441663,0.00206590103848088,0.452060399781358,0.0357513250843385,0.190597038485157,0.0026366117984841
"PTHR10024_SF185",7.93579618862137,0.00735520117703618,19.7595600508133,6.30461340416753e-05,19.8607730658385,6.08217170780436e-05,2.27598385618079,0.234703565647026,1.71326381419966,0.918104351366812,0.460881809049481,0.384437874751234,2.47900345183252,0.509248924645293,4.45654272568305,0.0172740802317481,0.613243024247538,6.08217170780436e-05,0.566618047234402,0.0190287271505224,0.0783373351891504,0.0026339273777411
"PTHR10024_SF188",9.60687808646084,0.00345374540928853,20.7812093454403,4.40041282619677e-05,14.3244635482397,0.000482262512183138,1.89036953753342,0.497195161284462,1.52366513580134,0.961426802042053,0.482629369019039,0.402578286395957,1.96621264720134,1.03018007854563,3.78476730437153,0.0559064559679136,0.308821720910524,0.000482262512183138,0.50430195442028,0.0190287271505224,0.156989181498571,0.00250365906188962
"PTHR10025_SF29",3.41391755459578,0.0716997329338812,1.14675061000762,0.290345792279618,6.56514909374984,0.01407563119646,-2.27322814071454,0.960348361237017,-2.44379279031012,2.27775999260739,1.14341920328619,0.95376654020619,-0.998010390950954,0.839891754902288,-2.56225468947758,0.323989738843649,0.40572482979635,0.01407563119646,-0.36767147170676,0.115052985431934,0.128523288288753,0.775238468591017
"PTHR10025_SF30",6.36993614949211,0.0154762794088207,2.20005487894663,0.145471681324455,4.06607479483302,0.0501770992852086,-0.215103371785473,0.136319694691351,-1.33007648620968,1.57526931104048,0.790773912280918,0.65961258673448,-0.136550220510164,0.172387698398078,-2.01645103953283,0.892038777938498,0.863960766205374,0.0501770992852086,-0.297096186571773,0.226512583064904,0.0265905937987148,0.601069804153794
"PTHR10026_SF45",7.51067669212922,0.0089681975424455,0.166899528918145,0.684957665159447,0.947625366435625,0.335897924294508,2.55763995955665,-0.642381669117058,0.55426713486814,1.35977379445844,0.682596706305881,0.56937813975698,1.88093046797926,-0.941085216472167,0.973460510979066,0.066926315671816,0.35204275766509,0.335897924294508,0.148541826829531,0.654604120133084,-0.143705369703169,0.941190997707466
