"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",1.26912343683921,0.266326886112886,0.0210456794229988,0.885348547809743,0.422853683911375,0.519057940815151,-0.638161603199608,0.68978687480054,-0.746903857052672,2.66620875735779,1.32357354999675,1.14860219767283,-0.23935170171447,0.521154925468429,-0.650272007633248,0.81199709481286,0.604996051523246,0.519057940815151,-0.0998378269572449,0.777348701865574,0.0801571912443777,0.977784137180533
"PTHR10003_SF33",9.78246055322113,0.00319644225729309,0.0995907021142087,0.753884189265787,0.00583620554194033,0.939467556931545,1.5594937993455,-0.139956570720601,-0.0469367180569771,1.42617210476163,0.70798795120467,0.614394656558047,1.09348219204312,-0.197682136373168,-0.0763950622876919,0.280414288271397,0.844247424094389,0.939467556931545,-0.0117871951017471,0.989215329803684,-0.0304888352436926,0.965181052472584
"PTHR10010",61.4781585039367,9.34751764191212e-10,2.12539189261365,0.152313208023905,0.110381927803036,0.741362213741061,5.16022511957331,-0.98722714459633,0.211882758009836,1.48037293912199,0.734894618039797,0.637744365124642,3.48576023190066,-1.34335878963107,0.332237757943067,0.00116281103124038,0.186369655666698,0.741362213741061,0.051198165178487,0.908633209230001,-0.202970115172964,0.618116752545556
"PTHR10015_SF142",21.1570191490951,3.86155065378639e-05,6.55225897522988,0.0141637952099059,0.56116043289629,0.457968254768595,0.738926947380005,0.628775284179754,0.268531737291238,0.832102081575825,0.413076546625118,0.35846940977468,0.888024394772134,1.52217619062839,0.749106422944224,0.379585151516828,0.135459170255202,0.457968254768595,0.114825088953102,0.737312846135814,0.228654444821104,0.153354599445473
"PTHR10024_SF10",58.428502671737,1.7690755022703e-09,4.5447894140841,0.038912464514962,1.37377598916592,0.247769958096587,2.22348008369377,-0.596842498339682,0.253451139479357,0.501950388831845,0.249180885118239,0.216240126788249,4.42968096681491,-2.39521782762941,1.17208190377888,6.62056636577398e-05,0.0211466000842321,0.247769958096587,0.177968993654436,0.564922897380445,-0.34667070435061,0.310698751416763
"PTHR10024_SF173",3.70895452586292,0.0609084364106429,22.3852364541021,2.5347360486244e-05,14.8319048237365,0.000395044281629899,2.88966224945278,1.17225093131563,3.09703413576805,1.86668928635788,0.926671836429669,0.804169369996287,1.54801458955755,1.26501193327742,3.85122121199711,0.1291217606528,0.212840972290441,0.000395044281629899,0.510860540748785,0.00842218117949105,0.191579972586476,0.000949716547874925
"PTHR10024_SF185",8.72993458057795,0.00511256531566452,22.4131340142553,2.51087393342065e-05,25.9831235503983,7.7561081615106e-06,2.55407959858235,0.211995336164032,1.93357148300611,0.880519667211414,0.437112262330093,0.379327695951102,2.90065025653664,0.484990594942266,5.09736437292826,0.00590318526795799,0.630203118566128,7.7561081615106e-06,0.618222948111984,0.00339930352912999,0.0746269955674622,0.000949716547874925
"PTHR10024_SF188",10.6124866028083,0.00222733615520057,23.787348816378,1.58439318162644e-05,19.5436170530975,6.8082849660669e-05,2.19177010741056,0.467650391825159,1.75717508078857,0.922650180949044,0.458026916322214,0.397477512815436,2.37551582676339,1.02101072046206,4.4208163333368,0.0221641845033976,0.313094700660895,6.8082849660669e-05,0.563522114108854,0.00339930352912999,0.155625853152567,0.000886603132364752
"PTHR10025_SF29",3.18027419576083,0.0817598536384076,1.14053507781785,0.291639414618018,5.81329998194928,0.0203582508942464,-2.17512321929921,0.818258105275256,-2.50902040807655,2.41555724656649,1.19914379218632,1.04062157711925,-0.900464363819556,0.682368628855912,-2.41107859306769,0.373007602124125,0.49875226262537,0.0203582508942464,-0.348688004970238,0.131771088730208,0.10471292287044,0.768098365553519
"PTHR10025_SF30",5.90880602611178,0.0194149271881628,1.89077752324658,0.176405453327645,4.80732220090057,0.0339311151909776,-0.603780516576387,0.249569262955615,-1.55108455707817,1.64213314185646,0.81519647932152,0.707430628004127,-0.367680610777883,0.306146149163118,-2.19256064930952,0.714957843668065,0.761005846999361,0.0339311151909776,-0.320475414006392,0.179232557381716,0.0471867557268198,0.657584550477366
"PTHR10026_SF45",6.4276200688798,0.0150474649940705,0.0920313449379753,0.76310812947868,0.620394643774388,0.435323446641315,2.36340464077703,-0.533725077342312,0.49932669663054,1.47155085093176,0.730515110039123,0.633943811302519,1.60606386064101,-0.730614699145277,0.787651346583238,0.115753407707065,0.469070761817203,0.435323446641315,0.120649433331377,0.726181400442332,-0.112026643552001,0.965181052472584
"PTHR10026_SF60",1.90114832971729,0.175249459551657,2.99960628504014,0.0906243970180816,1.17376575975679,0.284809426780433,1.05560785912767,-0.940294519948678,-1.32350364982336,2.83569118223191,1.40770891791708,1.22161519230055,0.372257693553506,-0.667960902982689,-1.08340470728015,0.711572810295323,0.507812756622722,0.284809426780433,-0.16488484971876,0.60631332232874,-0.102525472518735,0.496153835114407
"PTHR10029_SF5",20.1425784623841,5.50522484344449e-05,0.15090170762025,0.699637372018714,0.653902940726958,0.423277786875834,3.63279763035679,-0.637264287633542,0.552074202645648,1.58476662450835,0.786718287279036,0.682717143841628,2.29232340849165,-0.810028567961221,0.80864265329437,0.0269642533100417,0.422489666936261,0.423277786875834,0.12381613897486,0.720443179637221,-0.124025083257022,0.952383268967098
"PTHR10030",195.833358083516,2.06223263625087e-17,0.315560488879592,0.577273517461542,21.4156379228327,3.53133379135991e-05,0.502031895477334,0.631631209850027,-1.02780595411181,0.51554921405064,0.255931686352747,0.22209849796379,0.973780740606506,2.46796799119066,-4.62770330972424,0.335740737217626,0.017744381856973,3.53133379135991e-05,-0.581122010468711,0.00339930352912999,0.355883803828968,0.922803034851997
"PTHR10031_SF3",15.9374549515934,0.000257652997553125,0.0795176497644413,0.779337029997422,0.25082693973603,0.619108057506625,1.95602337296923,0.0914636058897446,-0.418801249620296,1.9410887241739,0.96360560155821,0.836220632878564,1.00769395474268,0.0949180927776283,-0.500826257035342,0.319371907070097,0.924831302711406,0.619108057506625,-0.0770494393671971,0.838936918868922,0.0146446090600376,0.965181052472584
"PTHR10032_SF11",93.4248998294711,3.06605638912848e-12,3.64560502516147,0.0630643928953367,0.0161707947377822,0.899417132717104,0.758696115830784,0.279901200951205,-0.0197237849476722,0.360038616427849,0.178732287322308,0.155104563712382,2.10726316904072,1.56603602597251,-0.127164439753345,0.0411064572831232,0.124844516445724,0.899417132717104,-0.019618122739209,0.97240380998681,0.234884200824991,0.410762722858449
"PTHR10032_SF206",37.2139277853602,2.84872906315833e-07,4.7464526524266e-05,0.994535678062117,0.169229905567508,0.682888825430824,1.3472566890926,-0.0764772362558664,0.103565269952707,0.584386390299121,0.290104203972577,0.251753539678885,2.30542105609783,-0.263619882816643,0.411375625879206,0.0261516033807833,0.7933619669445,0.682888825430824,0.0633491396472339,0.878511418208505,-0.0406438192167137,0.998825033049393
"PTHR10032_SF26",6.15035425772197,0.0172325598440011,4.8581431637691,0.0330493895338688,15.4111356904912,0.000315407271155433,-2.08248098717927,0.559791155778028,-2.54660648892509,1.50580601241021,0.747520239723217,0.648700927993851,-1.3829676399326,0.748864212673762,-3.92570193602255,0.173983481537555,0.458112684937312,0.000315407271155433,-0.518106753252876,0.00724735818610484,0.114788451571237,0.278336842804558
"PTHR10032_SF71",7.81530851006514,0.00777832725186598,0.261402947544577,0.611835430168978,5.61188332622716,0.0225134374628114,-1.64713242039847,1.19938644347083,-1.30793360580134,1.28161000653948,0.636223664552006,0.55211733365153,-1.28520564913967,1.88516477820008,-2.3689413935822,0.205762638823062,0.0663383591759263,0.0225134374628114,-0.343318049337764,0.138564847241351,0.279310197021924,0.935338069520726
"PTHR10033",1067.55621045638,1.721162872576e-31,0.347590480033138,0.558638684410993,4.52902240326645,0.0392359909073018,1.64033223678741,0.172009245181095,-0.176980608730013,0.193040288391318,0.0958300879829445,0.0831617175038449,8.49735695308453,1.79493986493791,-2.12814999548116,1.14435213814354e-10,0.0798619441400414,0.0392359909073018,-0.31198971008638,0.193190545705477,0.266916816824295,0.918456575476167
"PTHR10036_SF6",8.30883060744478,0.00619356114231573,2.89652020509528,0.0961633068512492,7.99138951284425,0.00716829919654884,2.33050786158875,-0.212899024151057,1.16074040921308,0.953121929417219,0.473153863971505,0.410604735941117,2.44513087954416,-0.449957276823336,2.82690458148913,0.0187547363627004,0.655055136302096,0.00716829919654884,0.39981910772284,0.068313561006742,-0.0692631738377061,0.505703909138165
"PTHR10037_SF133",97.1765051463501,1.71756318183148e-12,0.738153682076875,0.395130230597179,8.05644304831538,0.00695599324692793,0.820727401549689,0.362649090537753,-0.802461661917848,0.656261806792629,0.325784980994735,0.282717454681889,1.25060973083419,1.11315472380114,-2.83838740278972,0.217999472894862,0.2719724795375,0.00695599324692793,-0.401182220423537,0.0667517124577585,0.169284479781579,0.839841856507596
"PTHR10037_SF137",21.8440236910228,3.04800704793346e-05,0.374140091779683,0.544053168853691,0.476606346485466,0.493761170649808,0.49495236174905,0.343872388792048,-0.226509907275711,0.76160852983135,0.378081762260679,0.328100801828276,0.649877650213098,0.909518583324196,-0.690366820237956,0.519310151807874,0.36826650887545,0.493761170649808,-0.105926593188776,0.76095758416945,0.138979778206101,0.918456575476167
"PTHR10037_SF161",11.8460586769832,0.0013199688219872,5.07702640042782e-05,0.994348598430779,0.305762101085424,0.583223858352233,0.68128830134375,0.175591400632219,-0.246663872009178,1.03547167929081,0.514034365350381,0.4460809916625,0.657949719890321,0.341594672396135,-0.552957594292206,0.514160753161889,0.734359204744795,0.583223858352233,-0.0850143161188993,0.818280449492463,0.0526361345612723,0.998825033049393
"PTHR10037_SF188",17.6307666352761,0.000136343855777067,4.36917404002391,0.0426867511743697,4.77498095354693,0.0345055068408796,1.76437253777173,0.103522877082215,0.769264415327138,0.817173602783438,0.40566567168265,0.352038224106443,2.15911592317956,0.255192599001081,2.1851729802345,0.0366007137833353,0.799819899399862,0.0345055068408796,0.319505995553755,0.181110122200353,0.0393465802308121,0.326065652335377
"PTHR10037_SF189",1.2538302192813,0.26918493807415,0.440284080128153,0.510611343146048,4.39400566546775,0.0421296330203048,-2.8509098813785,1.0810949173817,-2.45985587482653,2.72397967982407,1.35225249898162,1.17348989947909,-1.046597337893,0.799477108155368,-2.09618836593178,0.30127135721673,0.428512309793063,0.0421296330203048,-0.30775092763973,0.201442962048533,0.122433902933727,0.906807656730238
"PTHR10037_SF200",9.40835398935848,0.00377135490187347,9.27366756803865,0.00400438107893623,17.6847994062436,0.000133648974511393,3.55313405105801,-0.158454182630874,2.14429953854528,1.18361344758216,0.587575690882026,0.509900435716538,3.00193788632278,-0.269674503369964,4.20532988078743,0.00450265654702159,0.788731252947444,0.000133648974511393,0.544337431550663,0.00415618164345204,-0.0415757000130069,0.0550236549584062
