"Iteration","Removed_Species","Success","Error_Message"
1,"Ailuropoda_melanoleuca",FALSE,"the condition has length > 1"
2,"Bos_taurus",FALSE,"the condition has length > 1"
3,"Callithrix_jacchus",FALSE,"the condition has length > 1"
4,"Canis_familiaris",FALSE,"the condition has length > 1"
5,"Capra_hircus",FALSE,"the condition has length > 1"
6,"Cavia_porcellus",FALSE,"the condition has length > 1"
7,"Cebus_capucinus_imitator",FALSE,"the condition has length > 1"
8,"Chinchilla_lanigera",FALSE,"the condition has length > 1"
9,"Colobus_angolensis_palliatus",FALSE,"the condition has length > 1"
10,"Dasypus_novemcinctus",FALSE,"the condition has length > 1"
