"","F_value Intercept","p_value Intercept","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient cEi","Coef SE Intercept","Coef SE cEi","Coef tval Intercept","Coef tval cEi","Coef pval Intercept","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi"
"PTHR10000_SF7",1.32063914100383,0.256686056458319,0.166384896919424,0.685322957349189,0.626973069895655,-0.337226456978613,1.18286296190952,0.826731887088447,0.530047089211012,-0.407903048431148,0.598744090720664,0.685322957349189,-0.0613777585696458,0.888450490133705
"PTHR10003_SF33",10.1280510899582,0.00267923996019823,0.143329005871711,0.706814342197362,1.26042571231152,-0.167085718205697,0.631454452726279,0.441338978498452,1.99606750236645,-0.378588174500618,0.0521386819646913,0.706814342197362,-0.0569815821165336,0.896468604516495
"PTHR10010",61.8038079684256,6.38160019023523e-10,0.401527603556026,0.529581776160754,3.43915263873088,-0.296162424600594,0.668716436659078,0.467382291447986,5.14291626494627,-0.633662057847892,6.0058141390595e-06,0.529581776160754,-0.0950952331199809,0.815975440605859
"PTHR10015_SF142",20.3151284723562,4.81418568319779e-05,3.60072968615616,0.0643280995181269,1.73902014469667,0.508161358469516,0.383156433716705,0.267797413307563,4.53866878295056,1.89755887554409,4.35052568311607e-05,0.0643280995181269,0.275035310546954,0.25558215139959
"PTHR10024_SF10",53.5198754530258,3.94901685761193e-09,0.297654463866244,0.58811200659141,1.14105471188694,-0.0903292929776702,0.236887505949749,0.165566478221078,4.81686320818033,-0.545577184151101,1.76111651697343e-05,0.58811200659141,-0.0819720571924896,0.844675125787539
"PTHR10024_SF173",3.42235263168356,0.0710421624823275,29.0941576313178,2.60030399444037e-06,4.49295689125917,3.31553578959225,0.8794690714167,0.614682468267082,5.10871506148778,5.39390003905502,6.72782818157939e-06,2.60030399444037e-06,0.630901501528233,8.08635888797398e-05
"PTHR10024_SF185",8.2553979560148,0.00623290213776369,40.9099538381127,8.82141791638825e-08,2.68978588097114,1.83831281493207,0.411220412626577,0.287412015328675,6.54098337140111,6.3960889485773,5.39908376986877e-08,8.82141791638825e-08,0.694121013669038,3.30592524480295e-05
"PTHR10024_SF188",9.82409761311474,0.00306410802452433,34.8006125398141,4.7455359527454e-07,2.77094213867794,1.79153447267999,0.434511694632817,0.303690862621892,6.37714053017496,5.89920439888415,9.40645565370172e-08,4.7455359527454e-07,0.664551507331491,3.30592524480295e-05
"PTHR10025_SF29",3.23683268206526,0.0788604890926417,6.22307621487363,0.0164370697088889,-0.513429033099857,-1.88242232668073,1.07965313414732,0.754596011319564,-0.475549986251233,-2.49460943132861,0.636747535128618,0.0164370697088889,-0.352006679780525,0.0962722475145739
"PTHR10025_SF30",6.08190892032979,0.017625199687727,6.29149170411653,0.0158923952502051,-0.00803864256341957,-1.28227120208858,0.731430084199485,0.511214395289991,-0.0109903088990624,-2.50828461385795,0.991280860038176,0.0158923952502051,-0.353695517096317,0.0941704108235648
"PTHR10026_SF45",6.64627466770994,0.0133612711918509,0.151686453999686,0.698807648704235,1.37988989910752,0.178307231090933,0.655036199283366,0.45782083857843,2.10658571330435,0.389469451946729,0.0408909957661414,0.698807648704235,0.0586137828440397,0.892393462248165
"PTHR10026_SF60",1.95383240782894,0.169182217773227,3.44087512334712,0.0703100917635424,-0.393703295437202,-1.64142808489716,1.26606834020718,0.884886163307296,-0.310965279625251,-1.85495960154045,0.757295485512687,0.0703100917635424,-0.269313491219393,0.271524313290394
"PTHR10029_SF5",20.7471783351843,4.12848404683897e-05,0.110215488078403,0.741475255779719,2.45296908944873,0.163957224531932,0.706608713198389,0.493866131333251,3.47146736748493,0.331987180593473,0.0011723959842481,0.741475255779719,0.0499863843741156,0.90931772656094
"PTHR10030",175.198541036169,6.0476861084401e-17,13.0717779926513,0.000767267832196232,1.69398985039831,-0.623408463242152,0.246703384037787,0.172427035763647,6.86650431247771,-3.61549139020567,1.79430000348414e-08,0.000767267832196232,-0.478582297608806,0.00936112021818176
"PTHR10031_SF3",16.4589104012855,0.000200296760992127,0.551628494775585,0.461600098577768,2.03019306627394,-0.446250961830034,0.859657712413844,0.600835824368639,2.36162956134405,-0.742716968148423,0.0226862548843382,0.461600098577768,-0.111273450206109,0.774127259691802
"PTHR10032_SF11",91.9854916925351,2.38421686686913e-12,0.955966952463905,0.333550469617145,1.2328436322524,0.112246794166169,0.164256381462068,0.114802806906083,7.5056056956734,0.977735625035676,2.08966475834887e-09,0.333550469617145,0.145823583977364,0.676585938303709
"PTHR10032_SF206",38.5604575560168,1.6589539258659e-07,0.0286060744660641,0.866466963243647,1.17552872597474,0.0306534530287897,0.25931044821925,0.181238421610542,4.53328716234688,0.169133303834768,4.4266655665079e-05,0.866466963243647,0.0254895204187225,0.95389220953623
"PTHR10032_SF26",6.08477855606757,0.0176001510597862,17.8804745655654,0.000117028619449598,-0.834492903887233,-2.02078660736529,0.683755257818521,0.477893291789616,-1.22045555678743,-4.22853101745339,0.228792806374377,0.000117028619449598,-0.537542371249622,0.00208633780191181
