"","F_value Intercept","p_value Intercept","F_value log10MLSP","p_value log10MLSP","F_value cEi","p_value cEi","Coefficient Intercept","Coefficient log10MLSP","Coefficient cEi","Coef SE Intercept","Coef SE log10MLSP","Coef SE cEi","Coef tval Intercept","Coef tval log10MLSP","Coef tval cEi","Coef pval Intercept","Coef pval log10MLSP","Coef pval cEi","R t value cEi","p.adjusted GFS vs.cEi","R t value log10MLSP","p.adjusted GFS vs.log10MLSP"
"PTHR10000_SF7",4.40236005664894,0.0420938973565644,1.077505183998,0.305339671217037,0.213604548776728,0.646400027939527,1.16936529446326,-0.367591473876578,-0.292564520134578,1.50625188265656,0.75525551286601,0.63301850921319,0.776341133861935,-0.486711407748164,-0.462173721425968,0.442003376967841,0.629054671763265,0.646400027939527,-0.0719921176640284,0.854996130345089,-0.0757929103910795,0.730470004040524
"PTHR10003_SF33",16.5950820464321,0.000206566385404832,0.0156711648414803,0.900989279934832,0.99246793224985,0.324983446328982,0.461379949111024,0.40586915332513,-0.455625738812212,1.08825633072666,0.545666765735787,0.457351395241694,0.423962568453839,0.743804055535339,-0.99622684778611,0.673809299926773,0.461236608167089,0.324983446328982,-0.153734925575983,0.646692029164176,0.115386784887111,0.971813622286225
"PTHR10010",60.1531515115278,1.44247840135254e-09,2.06463318679175,0.158339013654475,0.156863649966225,0.694114334001181,5.24168834461243,-1.01832801204719,0.250713992060479,1.50625536911944,0.75525726102669,0.633019974436613,3.47994666248175,-1.34831939339832,0.396060159529111,0.00120365143805695,0.184957531754356,0.694114334001181,0.061736218176801,0.877054198124422,-0.206053392313563,0.586239512590049
"PTHR10015_SF142",20.1876527294071,5.63057293597693e-05,5.26400958672968,0.0269647458060044,0.24852233495933,0.620781492627788,0.662506311239111,0.607742916190101,0.179283779391254,0.855735364184125,0.429077539285524,0.359631965114267,0.774195316645302,1.41639414918357,0.498520144988475,0.44325697340103,0.164213378270859,0.620781492627788,0.0776208715903321,0.842667395124323,0.215982581847809,0.250058718954337
"PTHR10024_SF10",56.8111917856736,2.90376997759953e-09,4.77725565640881,0.0346048883458232,1.24596233287156,0.270824386305619,2.22455429405386,-0.611177545647421,0.239689779074148,0.510949822292665,0.256197303072472,0.214732143086187,4.35376273167518,-2.38557368995619,1.11622682859335,8.70690563745943e-05,0.0217554788859936,0.270824386305619,0.171735410635541,0.58892200933756,-0.349121364383044,0.29449756830931
"PTHR10024_SF173",3.47748387016246,0.0693780896417391,18.6656349166374,9.66026136265324e-05,11.8488749426687,0.00134118061477021,2.75313292520786,1.01495871553321,2.82454084982093,1.95249754338865,0.979009255013063,0.820558034409517,1.41005704951089,1.03672024583636,3.44221947915421,0.166064348282335,0.305942248268379,0.00134118061477021,0.473500764678131,0.0232097197602075,0.159827169090177,0.00370013107483854
"PTHR10024_SF185",8.27686102123539,0.00634639986831141,19.0679362805639,8.36320433854521e-05,22.2004375359558,2.82059094846789e-05,2.52904449612801,0.11268296681632,1.81579595793724,0.916996065003203,0.459794501400813,0.385377431694168,2.7579665743922,0.245072454048535,4.7117340264446,0.00864791799643778,0.807622847120262,2.82059094846789e-05,0.592680617166285,0.00993314378991197,0.0382458843205121,0.00370013107483854
"PTHR10024_SF188",9.87023623938944,0.00311527770025095,19.8441619541589,6.35160021249806e-05,15.855059961813,0.000273126035103222,2.12845680596888,0.381840560499775,1.61883759317196,0.967387632089558,0.485061529633039,0.406555028244395,2.20021089309506,0.787200256405918,3.98184127782775,0.0334836898339673,0.435691773844664,0.000273126035103222,0.528079591095254,0.0106894364531284,0.122021353037147,0.00367303472090237
"PTHR10025_SF29",3.2595474845273,0.0783552720501742,1.26064995346002,0.268060145698495,6.6975764190853,0.0132950838077606,-2.47248438038266,1.00429539354975,-2.61382104634077,2.40324587582688,1.20502069898798,1.00998985568442,-1.02881041230621,0.833425844380263,-2.58796762326836,0.309600167279422,0.409433760356101,0.0132950838077606,-0.374723286651485,0.105950802753175,0.129070521541911,0.704452091772747
"PTHR10025_SF30",5.71901973790153,0.021453465387783,1.71156658199654,0.198069430958118,4.51961799061745,0.0395772397879378,-0.625675232657797,0.328700620990714,-1.49500529246449,1.67329710506234,0.839014296222609,0.703221055597397,-0.373917597039341,0.391769988271454,-2.12593931959909,0.710392373965133,0.697257123740614,0.0395772397879378,-0.315102290422819,0.191430554690063,0.0610699917181149,0.637953722005601
