"","Ailuropoda_melanoleuca","Bos_taurus","Colobus_angolensis_palliatus","Cebus_capucinus_imitator","Canis_familiaris","Capra_hircus","Callithrix_jacchus","Chinchilla_lanigera","Cavia_porcellus","Dasypus_novemcinctus","Equus_asinus_asinus","Equus_caballus","Felis_catus","Gorilla_gorilla","Heterocephalus_glaber","Homo_sapiens","Ictidomys_tridecemlineatus","Loxodonta_africana","Monodelphis_domestica","Macaca_fascicularis","Myotis_lucifugus","Macaca_mulatta","Microcebus_murinus","Mus_musculus","Microtus_ochrogaster","Mustela_putorius_furo","Meriones_unguiculatus","Nomascus_leucogenys","Neovison_vison","Ovis_aries","Oryctolagus_cuniculus","Octodon_degus","Otolemur_garnettii","Papio_anubis","Phascolarctos_cinereus","Peromyscus_maniculatus_bairdii","Pan_paniscus","Panthera_pardus","Pan_troglodytes","Rattus_norvegicus","Saimiri_boliviensis_boliviensis","Sus_scrofa","Tursiops_truncatus","Vombatus_ursinus","Vulpes_vulpes"
"PTHR10000_SF7",1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,2,3,1,1,1,1,1,1
"PTHR10003_SF33",1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,4,3,1,1,1,2,1,1,1,2,1,1,2,1
"PTHR10010",3,3,3,3,3,3,3,3,3,2,3,2,3,3,3,3,3,5,10,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3
"PTHR10015_SF142",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10024_SF10",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
"PTHR10024_SF173",1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,5,1,2,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10024_SF185",1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,3,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10024_SF188",1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10025_SF29",2,1,4,2,1,1,3,1,1,3,1,1,2,3,3,1,1,1,0,3,1,1,1,1,1,1,2,3,2,2,3,1,1,2,1,1,2,1,2,1,3,1,1,1,1
"PTHR10025_SF30",1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,6,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2
"PTHR10026_SF45",1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1
"PTHR10026_SF60",1,1,2,1,1,1,3,1,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,1,1,1,1,3,1,1,1,1,2,1,1,1,4,1,1,1,2,1,1,1,1
"PTHR10029_SF5",2,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,3,2,3,3,2,2,2,2,2,2,3,2,3,2,3,3,2,3,2,2,1,2,1,2,2,2,2,2,4
"PTHR10030",2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2
"PTHR10031_SF3",1,1,2,2,4,2,4,2,3,3,1,2,2,2,2,2,3,3,4,4,2,4,2,1,3,1,1,3,2,1,2,4,2,3,3,1,2,2,2,1,3,2,1,3,1
"PTHR10032_SF11",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10032_SF206",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1
"PTHR10032_SF26",1,1,2,1,1,2,1,1,2,1,1,1,1,3,3,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,1,3,1,3,1,1,1,1,1,1
"PTHR10032_SF71",1,1,1,1,2,2,1,1,1,1,1,1,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1
"PTHR10033",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10036_SF6",1,1,1,1,1,2,1,1,0,0,1,1,1,1,0,2,1,0,1,1,3,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
"PTHR10037_SF133",2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2
"PTHR10037_SF137",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
"PTHR10037_SF161",1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"PTHR10037_SF188",1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
