"family","GO_accession","GO_name","GO_domain"
"ENSG00000210049","GO:0006412","translation","biological_process"
"ENSG00000209082","GO:0006412","translation","biological_process"
"ENSG00000198888","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198888","GO:0009410","response to xenobiotic stimulus","biological_process"
"ENSG00000210107","GO:0006412","translation","biological_process"
"ENSG00000198763","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000210135","GO:0006412","translation","biological_process"
"ENSG00000210144","GO:0006412","translation","biological_process"
"ENSG00000198804","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000210151","GO:0006412","translation","biological_process"
"ENSG00000198712","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000228253","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198899","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198938","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198840","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000212907","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198886","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198886","GO:0001701","in utero embryonic development","biological_process"
"ENSG00000210176","GO:0006412","translation","biological_process"
"ENSG00000198786","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198695","GO:1902600","proton transmembrane transport","biological_process"
"ENSG00000198727","GO:0009410","response to xenobiotic stimulus","biological_process"
"ENSG00000210195","GO:0006412","translation","biological_process"
"ENSG00000278625","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000278625","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000276197","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000273937","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000278793","GO:0000244","spliceosomal tri-snRNP complex assembly","biological_process"
"ENSG00000278793","GO:0000353","formation of quadruple SL/U4/U5/U6 snRNP","biological_process"
"ENSG00000276345","GO:0006412","translation","biological_process"
"ENSG00000277374","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000275987","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000275405","GO:0000395","mRNA 5'-splice site recognition","biological_process"
"ENSG00000275063","GO:0002250","adaptive immune response","biological_process"
"ENSG00000276312","GO:0006338","chromatin remodeling","biological_process"
"ENSG00000273739","GO:0006338","chromatin remodeling","biological_process"
